,Name,POS,Age,HT,WT,Exp,College,team
0,Tyler Bass2,PK,--,"5' 10""",183 lbs,R,Georgia Southern,Bills
1,Stephen Hauschka4,PK,34,"6' 4""",210 lbs,13,North Carolina State,Bills
2,Kaare Vedvik7,PK,26,"6' 3""",210 lbs,1,Marshall,Bills
3,Corey Bojorquez9,P,23,"6' 0""",208 lbs,3,New Mexico,Bills
4,Reid Ferguson69,LS,26,"6' 2""",235 lbs,4,LSU,Bills
0,Jason Sanders7,PK,24,"5' 11""",186 lbs,3,New Mexico,Dolphins
1,Matt Haack2,P,25,"6' 0""",205 lbs,4,Arizona State,Dolphins
2,Blake Ferguson48,LS,23,"6' 3""",227 lbs,R,LSU,Dolphins
3,Taybor Pepper46,LS,25,"6' 4""",245 lbs,2,Michigan State,Dolphins
0,Justin Rohrwasser16,PK,--,"6' 3""",230 lbs,R,Marshall,Patriots
1,Jake Bailey7,P,22,"6' 2""",205 lbs,2,Stanford,Patriots
2,Joe Cardona49,LS,28,"6' 3""",245 lbs,6,Navy,Patriots
0,Sam Ficken9,PK,27,"6' 1""",192 lbs,2,Penn State,Jets
1,Brett Maher2,PK,30,"6' 0""",190 lbs,3,Nebraska,Jets
2,Ian Berryman8,P,23,"6' 0""",200 lbs,1,Western Carolina,Jets
3,Braden Mann34,P,22,"5' 11""",195 lbs,R,Texas A&M,Jets
4,Thomas Hennessy42,LS,25,"6' 2""",246 lbs,4,Duke,Jets
0,Justin Tucker9,PK,30,"6' 1""",183 lbs,9,Texas,Ravens
1,Nick Vogel,PK,--,"5' 10""",190 lbs,R,UAB,Ravens
2,Sam Koch4,P,37,"6' 1""",222 lbs,15,Nebraska,Ravens
3,Dom Maggio,P,--,"6' 3""",190 lbs,R,Wake Forest,Ravens
4,Morgan Cox46,LS,34,"6' 4""",235 lbs,11,Tennessee,Ravens
5,Nick Moore42,LS,27,"6' 2""",248 lbs,1,Georgia,Ravens
0,Randy Bullock4,PK,30,"5' 9""",210 lbs,9,Texas A&M,Bengals
1,Kevin Huber10,P,34,"6' 1""",210 lbs,12,Cincinnati,Bengals
2,Dan Godsil84,LS,23,"6' 3""",218 lbs,1,Indiana,Bengals
3,Clark Harris46,LS,35,"6' 5""",250 lbs,12,Rutgers,Bengals
0,Austin Seibert4,PK,23,"5' 9""",211 lbs,2,Oklahoma,Browns
1,Jamie Gillan7,P,22,"6' 1""",207 lbs,2,Arkansas-Pine Bluff,Browns
2,Charley Hughlett47,LS,29,"6' 4""",248 lbs,6,UCF,Browns
0,Chris Boswell9,PK,29,"6' 2""",185 lbs,6,Rice,Steelers
1,Jordan Berry4,P,29,"6' 5""",195 lbs,6,Eastern Kentucky,Steelers
2,Corliss Waitman87,P,24,"6' 2""",210 lbs,R,South Alabama,Steelers
3,Kameron Canaday57,LS,27,"6' 4""",245 lbs,4,Portland State,Steelers
0,Ka'imi Fairbairn7,PK,26,"6' 0""",183 lbs,5,UCLA,Texans
1,Bryan Anger9,P,31,"6' 3""",205 lbs,9,California,Texans
2,Anthony Kukwa42,LS,27,"6' 3""",221 lbs,R,--,Texans
3,Jon Weeks46,LS,34,"5' 10""",242 lbs,11,Baylor,Texans
0,Rodrigo Blankenship3,PK,23,"6' 1""",187 lbs,R,Georgia,Colts
1,Chase McLaughlin5,PK,24,"6' 1""",175 lbs,2,Illinois,Colts
2,Rigoberto Sanchez8,P,25,"6' 0""",195 lbs,4,Hawai'i',Colts
3,Luke Rhodes46,LS,27,"6' 2""",238 lbs,4,William & Mary,Colts
0,Josh Lambo4,PK,29,"6' 0""",215 lbs,6,Texas A&M,Jaguars
1,Logan Cooke9,P,24,"6' 5""",230 lbs,3,Mississippi State,Jaguars
2,Brandon Wright2,P,23,"5' 10""",182 lbs,R,Georgia State,Jaguars
3,Ross Matiscik,LS,--,"6' 0""",235 lbs,R,Baylor,Jaguars
4,Matthew Orzech46,LS,25,"6' 3""",245 lbs,2,Azusa Pacific,Jaguars
0,Greg Joseph7,PK,25,"6' 0""",208 lbs,2,Florida Atlantic,Titans
1,Tucker McCann,PK,--,"6' 2""",215 lbs,R,Missouri,Titans
2,Brett Kern6,P,34,"6' 2""",214 lbs,13,Toledo,Titans
3,Beau Brinkley48,LS,30,"6' 4""",260 lbs,9,Missouri,Titans
0,Brandon McManus8,PK,28,"6' 3""",201 lbs,7,Temple,Broncos
1,Sam Martin5,P,30,"6' 1""",211 lbs,8,Appalachian State,Broncos
2,Jacob Bobenmoyer46,LS,--,"6' 2""",238 lbs,R,Northern Colorado,Broncos
3,Wes Farnsworth42,LS,23,"6' 1""",230 lbs,1,Nevada,Broncos
0,Harrison Butker7,PK,24,"6' 4""",205 lbs,4,Georgia Tech,Chiefs
1,Tyler Newsome6,P,24,"6' 3""",213 lbs,1,Notre Dame,Chiefs
2,Tommy Townsend,P,23,"6' 2""",176 lbs,R,Florida,Chiefs
3,James Winchester41,LS,30,"6' 3""",240 lbs,6,Oklahoma,Chiefs
0,Daniel Carlson8,PK,25,"6' 5""",215 lbs,3,Auburn,Raiders
1,Dominik Eberle62,PK,--,"6' 2""",190 lbs,R,Utah State,Raiders
2,AJ Cole6,P,24,"6' 4""",220 lbs,2,North Carolina State,Raiders
