,GP,REC,TGTS,YDS,AVG,TD,LNG,BIG,YDS/G,FUM,LST,YAC,FD,PlayerID
75,3,1,3,6,6.0,0,6,0,2.0,0,0,5,0,Jaleel Scott12
76,16,90,148,1046,11.6,5,47,12,65.4,2,2,358,51,Tyler Boyd83
77,12,40,80,575,14.4,1,33,8,47.9,1,1,202,29,Auden Tate19
78,16,43,78,529,12.3,0,52,5,33.1,1,0,230,26,Alex Erickson12
79,8,28,56,506,18.1,3,66,10,63.3,1,1,200,22,John Ross III11
80,16,43,63,436,10.1,3,27,4,27.3,0,0,115,24,Tyler Eifert88
81,16,35,45,287,8.2,3,33,4,17.9,0,0,335,14,Joe Mixon28
82,16,27,40,242,9.0,2,36,2,15.1,0,0,131,12,C.J. Uzomah87
83,16,30,43,234,7.8,0,35,2,14.6,2,1,220,7,Giovani Bernard25
84,10,9,16,82,9.1,0,17,0,8.2,0,0,17,3,Damion Willis15
85,9,5,6,30,6.0,0,21,1,3.3,0,0,12,1,Drew Sample89
86,11,3,10,18,6.0,0,9,0,1.6,0,0,11,0,Stanley Morgan17
87,15,2,3,13,6.5,1,8,0,0.9,0,0,7,2,Cethan Carter82
88,13,1,1,-4,-4.0,0,-4,0,-0.3,0,0,4,0,Andy Dalton
89,16,83,138,1174,14.1,6,65,20,73.4,0,0,440,55,Jarvis Landry80
90,16,74,133,1035,14.0,4,89,16,64.7,0,0,331,44,Odell Beckham Jr.13
91,8,37,44,285,7.7,1,29,2,35.6,0,0,281,17,Kareem Hunt27
92,16,36,49,278,7.7,0,32,4,17.4,1,1,320,13,Nick Chubb24
93,14,14,22,229,16.4,4,59,5,16.4,1,1,100,10,Ricky Seals-Jones83
94,13,12,24,200,16.7,1,46,4,15.4,0,0,53,11,Damion Ratley18
95,15,15,27,149,9.9,3,23,2,9.9,0,0,66,10,Demetrius Harris86
96,14,12,15,92,7.7,0,19,0,6.6,0,0,104,4,Dontrell Hilliard25
97,16,4,10,76,19.0,0,41,1,4.8,0,0,10,3,KhaDarel Hodge12
98,16,6,7,71,11.8,0,27,1,4.4,0,0,44,1,D'Ernest Johnson30
99,9,5,7,51,10.2,1,21,1,5.7,0,0,23,2,Stephen Carlson89
100,4,5,10,41,8.2,1,18,0,10.3,0,0,14,3,David Njoku85
101,9,2,3,27,13.5,0,18,0,3.0,0,0,14,1,Pharaoh Brown86
102,15,1,1,-5,-5.0,0,-5,0,-0.3,0,0,-1,0,Wyatt Teller77
103,15,44,80,735,16.7,3,79,13,49.0,1,1,203,31,James Washington13
104,16,59,92,680,11.5,5,45,7,42.5,3,1,307,31,Diontae Johnson18
105,12,42,70,552,13.1,3,76,7,46.0,1,1,243,23,JuJu Smith-Schuster19
106,14,47,57,305,6.5,1,27,1,21.8,1,1,372,19,Jaylen Samuels38
107,14,38,55,273,7.2,3,22,2,19.5,1,0,176,12,Vance McDonald89
108,10,34,38,251,7.4,3,26,4,25.1,0,0,297,14,James Conner30
109,13,13,17,128,9.8,0,18,0,9.8,0,0,68,4,Nick Vannett88
110,3,4,5,38,9.5,0,13,0,12.7,0,0,6,1,Nick Vannett88
111,6,5,6,72,14.4,0,35,2,12.0,0,0,13,4,Deon Cain17
112,7,4,14,52,13.0,0,25,1,7.4,0,0,11,3,Deon Cain17
113,5,4,10,61,15.3,0,28,1,12.2,0,0,12,1,Tevin Jones14
114,11,6,7,48,8.0,0,11,0,4.4,0,0,41,2,Trey Edmunds33
115,9,8,11,27,3.4,0,8,0,3.0,0,0,18,2,Ryan Switzer10
116,13,3,4,23,7.7,0,14,0,1.8,0,0,25,0,Benny Snell Jr.24
117,6,1,1,9,9.0,0,9,0,1.5,0,0,11,1,Kerrith Whyte40
118,3,2,3,4,2.0,0,4,0,1.3,0,0,10,0,Roosevelt Nix33
119,4,1,1,4,4.0,0,4,0,1.0,0,0,3,1,Zach Gentry81
120,3,1,3,3,3.0,0,3,0,1.0,0,0,3,0,Xavier Grimble85
121,15,104,150,1165,11.2,7,43,16,77.7,0,0,393,68,DeAndre Hopkins10
122,11,49,71,670,13.7,3,54,10,60.9,1,0,227,26,Will Fuller V15
123,13,40,55,561,14.0,4,45,9,43.2,0,0,141,27,Kenny Stills12
124,16,36,55,418,11.6,2,53,4,26.1,0,0,244,21,Jordan Akins88
125,16,44,62,410,9.3,3,21,1,25.6,0,0,362,18,Duke Johnson25
126,16,34,48,341,10.0,7,24,2,21.3,0,0,169,22,Darren Fells87
127,9,22,36,254,11.5,0,51,4,28.2,1,1,137,10,Keke Coutee16
128,16,11,14,162,14.7,0,46,4,10.1,0,0,57,6,DeAndre Carter14
129,3,2,6,37,18.5,0,21,1,12.3,0,0,14,2,Steven Mitchell Jr.11
130,11,1,1,9,9.0,0,9,0,0.8,0,0,12,0,Taiwan Jones26
131,5,1,3,8,8.0,0,8,0,1.6,0,0,3,0,Jordan Thomas83
132,15,1,1,6,6.0,1,6,0,0.4,0,0,6,1,Deshaun Watson4
133,16,41,72,607,14.8,5,37,11,37.9,0,0,234,29,Zach Pascal14
134,10,45,68,501,11.1,5,35,6,50.1,0,0,213,24,T.Y. Hilton13
135,16,43,72,448,10.4,4,23,4,28.0,1,0,223,29,Jack Doyle84
136,11,31,52,375,12.1,3,48,4,34.1,0,0,165,20,Eric Ebron85
137,16,44,58,320,7.3,0,21,2,20.0,1,1,313,15,Nyheim Hines21
138,8,17,33,277,16.3,2,50,3,34.6,0,0,45,12,Marcus Johnson83
139,7,18,24,127,7.1,1,27,1,18.1,2,1,109,6,Parris Campbell15
140,16,8,11,93,11.6,0,21,1,5.8,0,0,60,5,Mo Alie-Cox81
141,14,14,17,82,5.9,0,14,0,5.9,0,0,83,2,Marlon Mack25
142,3,4,6,51,12.8,0,25,1,17.0,1,1,29,1,Ross Travis43
143,14,7,11,43,6.1,0,11,0,3.1,0,0,32,1,Jordan Wilkins20
144,1,3,5,32,10.7,0,16,0,32.0,0,0,6,2,Devin Funchess11
145,13,2,2,17,8.5,0,13,0,1.3,0,0,23,0,Ashton Dulin16
146,15,1,1,2,2.0,0,2,0,0.1,0,0,8,0,Jacoby Brissett7
147,15,73,118,1008,13.8,8,69,17,67.2,0,0,316,42,DJ Chark Jr.17
148,16,47,90,775,16.5,5,70,13,48.4,0,0,253,36,Chris Conley18
149,15,66,101,660,10.0,3,39,10,44.0,0,0,316,31,Dede Westbrook12
150,15,76,100,522,6.9,0,27,3,34.8,1,1,576,23,Leonard Fournette27
151,16,24,35,361,15.0,3,55,5,22.6,0,0,101,19,Keelan Cole84
152,5,14,20,153,10.9,2,35,1,30.6,0,0,90,7,James O'Shaughnessy80
153,16,14,24,144,10.3,2,31,2,9.0,0,0,112,9,Ryquell Armstead23
154,12,12,18,140,11.7,0,20,1,11.7,0,0,64,7,Seth DeValve87
155,4,2,4,31,15.5,0,23,1,7.8,0,0,6,1,C.J. Board16
156,10,3,5,23,7.7,0,12,0,2.3,0,0,20,1,Devine Ozigbo33
157,6,3,4,18,6.0,0,8,0,3.0,0,0,5,2,Marqise Lee11
158,7,2,3,15,7.5,0,9,0,2.1,0,0,7,1,Michael Walker13
159,4,3,6,15,5.0,0,6,0,3.8,0,0,6,0,Josh Oliver89
160,16,1,1,7,7.0,0,7,0,0.4,0,0,6,1,Cody Davis22
161,4,1,1,5,5.0,0,5,0,1.3,0,0,2,0,Charles Jones85
162,16,52,84,1051,20.2,8,91,15,65.7,1,0,463,39,A.J. Brown11
163,15,43,69,601,14.0,2,38,10,40.1,1,0,211,33,Corey Davis84
164,16,35,44,439,12.5,3,57,8,27.4,0,0,284,16,Jonnu Smith81
165,12,37,47,374,10.1,2,30,4,31.2,0,0,122,20,Adam Humphries10
166,15,25,35,329,13.2,4,47,4,21.9,0,0,58,20,Tajae Sharpe19
167,15,18,24,206,11.4,2,75,2,13.7,0,0,240,4,Derrick Henry22
168,15,14,24,204,14.6,1,39,5,13.6,0,0,74,9,Anthony Firkser86
169,8,9,12,170,18.9,1,52,3,21.3,1,1,19,6,Kalif Raymond14
170,16,25,32,164,6.6,1,24,2,10.3,0,0,197,7,Dion Lewis33
171,16,6,8,90,15.0,1,42,2,5.6,0,0,68,4,MyCole Pruitt85
172,6,4,5,54,13.5,0,24,2,9.0,0,0,36,2,Khari Blasingame41
173,8,2,5,17,8.5,0,11,0,2.1,0,0,15,2,Darius Jennings11
174,1,1,1,16,16.0,0,16,0,16.0,0,0,0,1,Rashard Davis12
175,5,2,2,13,6.5,0,11,0,2.6,0,0,1,0,Cody Hollister16
176,16,1,1,11,11.0,0,11,0,0.7,0,0,8,1,Kevin Byard31
177,4,1,1,1,1.0,1,1,0,0.3,0,0,0,1,David Quessenberry72
178,15,1,1,1,1.0,1,1,0,0.1,0,0,0,1,Dennis Kelly71
179,16,72,124,1112,15.4,6,70,18,69.5,2,0,363,50,Courtland Sutton14
180,16,40,66,562,14.1,3,75,10,35.1,1,1,388,23,Noah Fant87
181,7,30,44,367,12.2,2,53,5,52.4,0,0,123,17,Emmanuel Sanders17
182,10,36,53,502,13.9,3,75,6,50.2,0,0,121,24,Emmanuel Sanders17
183,16,28,52,297,10.6,1,28,4,18.6,0,0,129,19,DaeSean Hamilton17
184,16,43,50,256,6.0,1,19,0,16.0,0,0,268,10,Royce Freeman28
185,8,16,31,218,13.6,0,38,3,27.3,0,0,41,14,Tim Patrick81
186,16,35,48,196,5.6,0,36,1,12.3,0,0,256,9,Phillip Lindsay30
187,14,14,20,114,8.1,1,26,1,8.1,0,0,47,9,Jeff Heuerman82
188,16,9,12,90,10.0,1,29,1,5.6,0,0,68,6,Andrew Beck83
189,7,5,5,42,8.4,0,22,1,6.0,0,0,35,1,Andy Janovich32
190,11,6,9,38,6.3,1,9,0,3.5,0,0,17,1,Troy Fumagalli84
191,16,6,8,31,5.2,0,20,1,1.9,1,1,32,1,Diontae Spencer11
192,13,2,3,21,10.5,0,16,0,1.6,0,0,0,1,Fred Brown19
193,16,97,136,1229,12.7,5,47,13,76.8,1,1,430,65,Travis Kelce87
194,12,58,89,860,14.8,7,57,11,71.7,0,0,276,39,Tyreek Hill10
195,14,52,90,673,12.9,3,68,9,48.1,2,1,302,30,Sammy Watkins14
