,GP,CMP,ATT,CMP%,YDS,AVG,YDS/G,LNG,TD,INT,SACK,SYL,QBR,RTG,PlayerID
59,8,187,291,64.3,2499,8.6,320.6,66,19,5,18,137,73.1,106.0,Matthew Stafford9
60,5,94,174,54.0,984,5.7,206.8,75,4,6,14,104,30.0,64.0,David Blough10
61,3,62,105,59.0,685,6.5,280.7,47,4,4,11,46,44.7,75.3,Jeff Driskel9
62,15,1,1,100.0,19,19.0,46.5,19,1,0,0,0,100.0,158.3,Danny Amendola80
63,16,353,569,62.0,4002,7.0,261.6,74,26,4,36,284,53.5,95.4,Aaron Rodgers12
64,3,3,4,75.0,15,3.8,2.7,7,0,0,0,0,94.8,80.2,Tim Boyle8
65,15,307,444,69.1,3603,8.1,244.4,66,26,6,28,206,59.8,107.4,Kirk Cousins8
66,3,12,21,57.1,126,6.0,40.3,35,0,2,0,0,24.4,35.1,Sean Mannion4
67,15,0,1,0.0,0,0.0,79.4,0,0,0,0,0,0.1,39.6,Stefon Diggs14
68,15,408,616,66.2,4466,7.3,307.5,93,26,14,48,316,58.4,92.1,Matt Ryan2
69,6,50,67,74.6,580,8.7,96.2,35,3,1,2,19,81.1,109.0,Matt Schaub8
70,13,303,489,62.0,3322,6.8,263.7,52,17,16,46,397,37.8,80.0,Kyle Allen10
71,2,28,52,53.8,228,4.4,125.0,28,0,4,6,44,2.8,33.2,Will Grier7
72,16,0,2,0.0,0,0.0,149.5,0,0,0,0,0,0.2,39.6,Christian McCaffrey22
73,11,281,378,74.3,2979,7.9,270.5,61,27,4,12,89,74.2,116.3,Drew Brees9
74,9,133,196,67.9,1384,7.1,157.2,45,9,2,12,89,45.0,99.1,Teddy Bridgewater5
75,16,3,6,50.0,55,9.2,27.8,20,0,0,1,9,83.9,81.9,Taysom Hill7
76,14,1,1,100.0,13,13.0,95.9,13,0,0,0,0,63.4,118.8,Alvin Kamara41
77,16,380,626,60.7,5109,8.2,334.9,71,33,30,47,282,57.1,84.3,Jameis Winston
78,2,2,4,50.0,18,4.5,8.5,13,0,0,0,0,37.4,62.5,Ryan Griffin84
79,2,2,4,50.0,18,4.5,8.5,13,0,0,0,0,37.4,62.5,Ryan Griffin4
80,16,349,542,64.4,3722,6.9,266.6,88,20,12,48,309,56.0,87.4,Kyler Murray1
81,3,5,11,45.5,49,4.5,30.0,28,0,0,2,11,76.4,58.5,Brett Hundley7
82,15,1,1,100.0,26,26.0,1.7,26,0,0,0,0,,118.8,Andy Lee4
83,16,394,626,62.9,4638,7.4,292.4,66,22,16,22,170,48.2,86.5,Jared Goff16
84,16,2,3,66.7,28,9.3,1.8,23,0,1,0,0,4.4,56.9,Johnny Hekker6
85,16,0,1,0.0,0,0.0,72.8,0,0,0,0,0,0.0,39.6,Cooper Kupp18
86,16,329,476,69.1,3978,8.4,252.5,75,27,13,36,237,60.2,102.0,Jimmy Garoppolo10
87,10,1,1,100.0,35,35.0,53.7,35,1,0,0,0,100.0,158.3,Emmanuel Sanders17
88,11,1,1,100.0,16,16.0,11.4,16,0,0,0,0,59.8,118.8,Dante Pettis18
89,16,341,516,66.1,4110,8.0,278.3,60,31,5,48,319,69.4,106.3,Russell Wilson3
