,GP,TACKLES_SOLO,TACKLES_AST,TACKLES_TOT,SACKS,SACKS_SCKYDS,SACKS_TFL,INTERCEPTIONS_PD,INTERCEPTIONS_INT,INTERCEPTIONS_YDS,INTERCEPTIONS_LNG,INTERCEPTIONS_TD,FUMBLES_FF,FUMBLES_FR,FUMBLES_FTD,KB,PlayerID
63,3,3,5,8,1.0,8,1.0,2,0,0,0,0,0,0,0,0,Zach Sieler92
64,4,2,1,3,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Zach Sieler92
65,16,7,1,8,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Durham Smythe81
66,4,6,2,8,0.0,0,0.0,1,0,0,0,0,0,0,0,0,Montre Hartage
67,2,5,2,7,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Calvin Munson48
68,2,4,3,7,0.0,0,0.0,2,0,0,0,0,0,0,0,0,Tae Hayes22
69,15,5,1,6,0.0,0,1.0,0,0,0,0,0,0,0,0,0,Patrick Laird42
70,4,6,0,6,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Ken Crawley32
71,4,4,1,5,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Johnson Bademosi29
72,6,1,0,1,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Johnson Bademosi29
73,3,3,0,3,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Linden Stephens32
74,16,3,0,3,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Michael Deiter63
75,8,2,1,3,0.0,0,0.0,0,0,0,0,0,0,0,0,0,De'Lance Turner34
76,10,3,0,3,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Jakeem Grant19
77,14,2,0,2,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Allen Hurns17
78,16,2,0,2,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Mike Gesicki88
79,8,2,0,2,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Preston Williams18
80,16,2,0,2,0.0,0,0.0,0,0,0,0,0,0,0,0,0,DeVante Parker11
81,2,0,2,2,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Gerald Willis53
82,4,0,1,1,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Mack Hollins86
83,12,2,0,2,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Mack Hollins86
84,16,0,1,1,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Matt Haack2
85,8,1,0,1,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Julie'n Davenport70
86,3,0,1,1,0.0,0,0.0,0,0,0,0,0,0,0,0,0,James Crawford51
87,3,1,0,1,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Danny Isidora65
88,8,1,0,1,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Isaiah Ford84
89,15,1,0,1,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Jesse Davis77
90,16,1,0,1,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Jason Sanders7
91,12,0,1,1,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Kalen Ballage27
92,16,58,23,81,7.0,54,14.0,7,3,85,69,1,3,1,0,0,Jamie Collins Sr.58
93,15,47,24,71,5.5,42,9.5,4,0,0,0,0,0,1,1,0,Dont'a Hightower54
94,16,35,26,61,3.0,21,6.0,1,1,5,5,0,0,2,0,0,Lawrence Guy93
95,16,30,31,61,3.0,24,3.5,0,0,0,0,0,1,0,0,0,Danny Shelton71
96,16,46,12,58,0.0,0,1.5,7,5,49,24,0,2,1,0,0,Devin McCourty32
97,15,41,15,56,6.5,42,9.0,3,0,0,0,0,3,2,1,0,Kyle Van Noy53
98,15,38,15,53,0.0,0,0.0,8,0,0,0,0,2,0,0,0,Jonathan Jones31
99,16,44,9,53,0.0,0,0.0,20,6,126,64,2,0,1,0,0,Stephon Gilmore24
100,13,38,13,51,0.0,0,1.0,3,0,0,0,0,0,0,0,0,Patrick Chung23
101,16,28,16,44,4.0,24,5.5,4,1,6,6,0,1,0,0,0,John Simon55
102,16,29,15,44,0.0,0,2.5,1,0,0,0,0,0,0,0,0,Ja'Whaun Bentley51
103,12,31,9,40,0.0,0,0.0,6,1,16,16,0,0,0,0,0,Jason McCourty30
104,16,29,7,36,0.0,0,0.0,10,5,39,19,0,0,0,0,1,J.C. Jackson27
105,16,18,11,29,1.0,11,1.5,1,0,0,0,0,0,0,0,0,Elandon Roberts52
106,16,17,9,26,6.0,35,8.0,5,0,0,0,0,0,0,0,0,Adam Butler70
107,14,20,6,26,2.0,12,3.0,0,0,0,0,0,1,0,0,0,Deatrich Wise Jr.91
108,16,17,9,26,5.5,37,5.5,0,0,0,0,0,0,0,0,0,Chase Winovich50
109,15,17,7,24,0.0,0,0.5,3,1,0,0,0,0,0,0,0,Terrence Brooks25
110,16,19,3,22,0.0,0,1.5,5,2,27,27,0,0,0,0,0,Duron Harmon21
111,16,7,3,10,0.0,0,0.0,0,0,0,0,0,0,1,0,1,Matthew Slater18
112,15,6,3,9,0.0,0,1.0,0,0,0,0,0,1,0,0,0,Shilique Calhoun90
113,14,7,1,8,0.0,0,0.0,0,0,0,0,0,0,0,0,1,Nate Ebner43
114,15,7,0,7,0.0,0,0.0,0,0,0,0,0,1,0,0,1,Brandon Bolden38
115,9,5,1,6,0.0,0,0.0,0,0,0,0,0,0,2,0,0,Justin Bethel29
116,7,4,2,6,0.0,0,0.0,0,0,0,0,0,0,1,0,0,Justin Bethel29
117,13,4,1,5,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Rex Burkhead34
118,9,4,1,5,0.0,0,0.0,1,0,0,0,0,0,0,0,0,Joejuan Williams33
119,16,0,2,2,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Joe Cardona49
120,15,2,0,2,0.0,0,0.0,0,0,0,0,0,0,0,0,0,James White28
121,5,1,1,2,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Byron Cowart99
122,3,2,0,2,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Jordan Richards28
123,9,4,1,5,0.0,0,0.0,0,0,0,0,0,0,1,1,0,Jordan Richards28
124,16,1,0,1,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Tom Brady12
125,15,1,0,1,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Shaq Mason69
126,16,1,0,1,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Jake Bailey7
127,16,1,0,1,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Sony Michel26
128,8,1,0,1,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Mohamed Sanu Sr.14
129,7,1,0,1,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Mohamed Sanu Sr.14
130,16,1,0,1,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Julian Edelman11
131,8,1,0,1,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Gunner Olszewski80
132,10,51,29,80,0.5,5,9.5,5,1,2,2,0,1,1,0,0,James Burgess58
133,12,44,31,75,3.0,18,6.0,5,2,13,9,0,0,0,0,0,Neville Hewitt46
134,14,61,14,75,6.5,45,13.5,7,1,61,61,1,2,1,1,0,Jamal Adams33
135,16,50,15,65,0.0,0,1.0,7,1,0,0,0,0,0,0,0,Marcus Maye20
136,13,58,5,63,0.0,0,2.0,6,1,13,13,0,0,0,0,0,Darryl Roberts27
137,14,48,11,59,0.0,0,4.5,5,1,15,15,1,1,0,0,0,Brian Poole34
138,12,27,15,42,1.5,8,6.5,2,0,0,0,0,1,0,0,0,Brandon Copeland51
139,7,27,13,40,0.5,4,4.0,1,0,0,0,0,0,1,0,0,Blake Cashman53
140,15,21,18,39,1.5,5,9.0,1,0,0,0,0,0,0,0,0,Kyle Phillips98
141,12,26,12,38,0.0,0,4.5,2,1,13,13,0,0,1,1,0,Arthur Maulet23
142,16,21,15,36,2.5,23,10.0,0,0,0,0,0,0,1,0,0,Steve McLendon99
143,16,18,15,33,2.0,10,4.0,6,1,1,1,0,0,1,0,1,Tarell Basham93
144,14,21,11,32,8.0,42,12.0,3,0,0,0,0,2,0,0,0,Jordan Jenkins48
145,13,15,13,28,2.5,16,6.0,1,0,0,0,0,0,1,0,0,Quinnen Williams95
146,14,14,13,27,1.0,5,8.0,1,0,0,0,0,0,0,0,0,Folorunso Fatukasi94
147,7,19,6,25,0.0,0,0.0,4,0,0,0,0,1,0,0,0,Blessuan Austin31
148,13,14,11,25,1.0,3,2.0,0,0,0,0,0,0,0,0,0,Henry Anderson96
149,8,18,7,25,0.0,0,1.0,2,0,0,0,0,0,0,0,0,Maurice Canady28
150,5,19,2,21,0.0,0,0.0,3,1,3,3,0,1,0,0,0,Maurice Canady28
151,11,21,3,24,0.0,0,2.0,3,1,0,0,0,0,0,0,0,Nate Hairston21
152,7,8,12,20,0.0,0,1.0,1,0,0,0,0,0,0,0,0,Leonard Williams99
153,8,13,13,26,0.5,5,2.5,2,0,0,0,0,1,0,0,0,Leonard Williams99
154,16,10,6,16,0.0,0,1.5,1,0,0,0,0,0,0,0,0,Harvey Langi44
155,13,10,2,12,1.0,9,1.0,0,0,0,0,0,0,0,0,0,Frankie Luvu50
156,9,6,5,11,2.0,23,5.0,0,0,0,0,0,0,0,0,0,Nathan Shepherd97
157,2,4,5,9,0.0,0,0.0,2,1,17,17,1,0,1,0,0,C.J. Mosley57
158,9,4,3,7,1.0,1,1.5,0,0,0,0,0,1,0,0,0,Jordan Willis60
159,13,5,1,6,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Ryan Griffin84
160,13,5,1,6,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Ryan Griffin4
161,13,5,1,6,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Matthias Farley41
162,16,4,2,6,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Daniel Brown87
163,8,3,2,5,0.0,0,0.0,0,0,0,0,0,0,0,0,0,B.J. Bello49
164,3,5,0,5,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Kyron Brown35
165,16,5,0,5,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Jamison Crowder82
166,16,3,1,4,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Thomas Hennessy42
167,7,1,2,3,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Josh Bellamy15
168,13,2,1,3,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Vyncint Smith17
169,4,1,2,3,0.0,0,0.0,0,0,0,0,0,0,1,0,0,Trenton Cannon25
170,16,2,1,3,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Trevon Wesco85
171,3,2,1,3,0.5,4,0.5,0,0,0,0,0,0,0,0,0,Bronson Kaufusi91
172,16,3,0,3,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Robby Anderson11
173,16,1,1,2,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Braxton Berrios10
174,15,2,0,2,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Sam Ficken9
175,15,1,0,1,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Brandon Shell72
176,15,0,1,1,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Alex Lewis71
177,2,1,0,1,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Bennett Jackson39
178,4,2,3,5,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Bennett Jackson39
179,8,1,0,1,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Chuma Edoga75
180,16,45,28,73,1.0,8,3.5,9,1,12,12,0,2,0,0,0,Chuck Clark36
181,16,53,12,65,0.0,0,5.0,14,3,14,14,0,2,3,2,1,Marlon Humphrey44
182,14,48,16,64,3.0,23,5.0,1,0,0,0,0,1,0,0,0,Patrick Onwuasor48
183,16,43,11,54,9.5,85,18.0,0,0,0,0,0,4,0,0,0,Matthew Judon99
184,15,32,17,49,2.0,12,3.5,4,2,38,24,0,1,1,0,0,Earl Thomas III29
185,12,23,23,46,1.0,0,7.0,4,2,7,6,0,0,0,0,0,Josh Bynes56
186,10,31,8,39,0.0,0,0.0,10,3,178,89,2,0,0,0,0,Marcus Peters24
187,6,9,5,14,0.0,0,1.0,4,2,32,32,1,0,1,0,0,Marcus Peters24
188,12,21,14,35,2.0,12,4.0,1,0,0,0,0,0,0,0,0,L.J. Fort58
189,4,1,1,2,0.0,0,0.0,0,0,0,0,0,0,0,0,0,L.J. Fort58
190,14,19,16,35,0.5,3,4.0,0,0,0,0,0,0,1,0,0,Michael Pierce98
