,Rank,SACK,INT,FR,FF,DEF TD,SFTY,SPC TD,G,FPTS,FPTS/G,OWN,Year,TeamID
78,12,0,0,0,0,0,0,0,0,0.0,0.0,56.1%,2014,NYJ
79,12,0,0,0,0,0,0,0,0,0.0,0.0,56.1%,2015,NYJ
80,12,0,0,0,0,0,0,0,0,0.0,0.0,56.1%,2016,NYJ
81,12,0,0,0,0,0,0,0,0,0.0,0.0,56.1%,2017,NYJ
82,25,39,13,7,12,3,0,2,16,91.0,5.7,56.1%,2018,NYJ
83,7,35,12,9,8,5,2,1,16,137.0,8.6,56.1%,2019,NYJ
84,13,0,0,0,0,0,0,0,0,0.0,0.0,0.7%,2013,NYG
85,13,0,0,0,0,0,0,0,0,0.0,0.0,0.7%,2014,NYG
86,13,0,0,0,0,0,0,0,0,0.0,0.0,0.7%,2015,NYG
87,13,0,0,0,0,0,0,0,0,0.0,0.0,0.7%,2016,NYG
88,13,0,0,0,0,0,0,0,0,0.0,0.0,0.7%,2017,NYG
89,27,30,16,5,9,3,0,0,16,84.0,5.3,0.7%,2018,NYG
90,26,36,10,6,8,2,1,0,16,83.0,5.2,0.7%,2019,NYG
91,14,0,0,0,0,0,0,0,0,0.0,0.0,66.6%,2013,NO
92,14,0,0,0,0,0,0,0,0,0.0,0.0,66.6%,2014,NO
93,14,0,0,0,0,0,0,0,0,0.0,0.0,66.6%,2015,NO
94,14,0,0,0,0,0,0,0,0,0.0,0.0,66.6%,2016,NO
95,14,0,0,0,0,0,0,0,0,0.0,0.0,66.6%,2017,NO
96,14,49,12,12,19,1,0,0,16,108.0,6.8,66.6%,2018,NO
97,9,51,13,10,11,3,1,1,16,135.0,8.4,66.6%,2019,NO
98,15,0,0,0,0,0,0,0,0,0.0,0.0,97.2%,2013,NE
99,15,0,0,0,0,0,0,0,0,0.0,0.0,97.2%,2014,NE
100,15,0,0,0,0,0,0,0,0,0.0,0.0,97.2%,2015,NE
101,15,0,0,0,0,0,0,0,0,0.0,0.0,97.2%,2016,NE
102,15,0,0,0,0,0,0,0,0,0.0,0.0,97.2%,2017,NE
103,4,30,18,10,12,2,0,2,16,135.0,8.4,97.2%,2018,NE
104,1,47,25,11,14,5,1,2,16,236.0,14.8,97.2%,2019,NE
105,16,0,0,0,0,0,0,0,0,0.0,0.0,2.2%,2013,MIA
106,16,0,0,0,0,0,0,0,0,0.0,0.0,2.2%,2014,MIA
107,16,0,0,0,0,0,0,0,0,0.0,0.0,2.2%,2015,MIA
108,16,0,0,0,0,0,0,0,0,0.0,0.0,2.2%,2016,MIA
109,16,0,0,0,0,0,0,0,0,0.0,0.0,2.2%,2017,MIA
110,18,31,21,7,10,3,0,2,16,104.0,6.5,2.2%,2018,MIA
111,32,23,13,3,9,1,1,1,16,44.0,2.8,2.2%,2019,MIA
112,17,0,0,0,0,0,0,0,0,0.0,0.0,0.9%,2013,ATL
113,17,0,0,0,0,0,0,0,0,0.0,0.0,0.9%,2014,ATL
