PlayerID,Salary
Senio Kelemete64,2750000
Chris Smith50,2750000
Allen Bailey93,2750000
Britton Colquitt2,2700000
Quandre Diggs37,2657000
Jack Conklin78,2617862
Leonard Floyd94,2602208
Lane Taylor65,2600000
Jack Crawford95,2550000
Rob Havenstein79,2500000
Duron Harmon21,2500000
Johnson Bademosi29,2500000
Terrance Mitchell39,2500000
Kenny Wiggins79,2500000
James White28,2500000
Jamon Brown68,2500000
Ben Roethlisberger7,2500000
Virgil Green88,2500000
Christian Jones52,2450000
Sam Martin5,2400000
Lawrence Guy93,2400000
Jon Feliciano76,2400000
Bobby Massie70,2400000
Kevin Huber10,2350000
Greg Zuerlein2,2325000
Khalil Mack52,2300000
Dustin Hopkins3,2275000
Mike Williams81,2260448
Jordan Phillips97,2250000
Buster Skrine24,2250000
Ryan Griffin84,2250000
Ryan Griffin4,2250000
Ryan Griffin84,805000
Ryan Griffin4,805000
Daryl Williams60,2250000
Eddie Goldman91,2250000
Justin Ellis71,2250000
Cole Beasley10,2200000
Matt Prater5,2200000
Sheldon Rankins98,2195680
Laremy Tunsil78,2148770
Karl Joseph42,2070589
Christian McCaffrey22,2032390
Rashod Hill69,2025000
Will Parks28,2025000
Quinton Jefferson99,2025000
Jordan Howard24,2025000
De'Vondre Campbell59,2025000
Kenyan Drake41,2025000
Blake Martinez54,2025000
D.J. Reader98,2025000
Jordan Jenkins48,2025000
Justin Simmons31,2025000
Joe Schobert47,2025000
Austin Hooper81,2025000
Ryan Smith29,2025000
Wes Schweitzer71,2025000
Elandon Roberts52,2025000
Brennan Scarlett57,2025000
Connor McGovern60,2025000
Connor McGovern66,2025000
Graham Glasgow61,2025000
Brandon Dunn92,2025000
Caleb Benenoch74,2025000
Carl Nassib94,2025000
Tajae Sharpe19,2025000
Anthony Brown30,2025000
Xavier Grimble85,2025000
Troy Hill22,2025000
Maliek Collins96,2025000
Ken Crawley32,2025000
Dean Lowry94,2025000
Halapoulivaati Vaitai72,2025000
Peyton Barber25,2025000
Jatavis Brown53,2025000
Austin Blythe66,2025000
Yannick Ngakoue91,2025000
Brandon Shell72,2025000
Nick Kwiatkoski44,2025000
Kevin Byard31,2025000
Dak Prescott4,2025000
Joe Haeg73,2025000
Javon Hargrave93,2025000
Trevor Williams41,2025000
David Onyemata93,2025000
Tyler Higbee89,2025000
Jalen Mills21,2025000
Kendall Fuller29,2025000
Alex Lewis71,2025000
Jordan Lucas21,2025000
Eric Murray22,2015500
Demarcus Robinson11,2015500
Kyler Fackrell51,2010000
Jordan Hicks58,2000000
Beau Allen91,2000000
Jacoby Brissett7,2000000
Lerentee McCray55,2000000
Nate Ebner43,2000000
Adam Humphries10,2000000
Jeff Heath38,2000000
Stephen Hauschka4,2000000
Ereck Flowers77,2000000
Nick Easton62,2000000
Henry Anderson96,2000000
Randall Cobb18,2000000
Nick Vigil59,2000000
Angelo Blackson97,2000000
Laken Tomlinson75,2000000
Kevin Johnson29,2000000
Jared Cook87,2000000
Jimmie Ward20,2000000
Andre Roberts18,2000000
Jeff Heuerman82,2000000
