,Rank,TACKLE,ASSIST,SACK,PD,INT,FF,FR,DEF TD,G,FPTS,FPTS/G,OWN,Year,PlayerID
61,278,0,1,0.0,0,0,0,0,0,1,0.8,0.8,3.1%,2018,Ifeadi Odenigbo95
62,53,18,5,7.0,0,0,1,2,1,16,94.4,5.9,3.1%,2019,Ifeadi Odenigbo95
63,12,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%,2013,Tashawn Bower96
64,345,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%,2014,Tashawn Bower96
65,354,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%,2015,Tashawn Bower96
66,367,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%,2016,Tashawn Bower96
67,253,1,0,1.0,0,0,0,0,0,2,8.0,4.0,0.0%,2017,Tashawn Bower96
68,232,4,2,0.0,0,0,0,0,0,5,10.0,2.0,0.0%,2018,Tashawn Bower96
69,315,0,0,0.0,0,0,0,0,0,1,0.0,0.0,0.0%,2019,Tashawn Bower96
70,14,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.8%,2013,Jeremiah Ledbetter95
71,359,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.8%,2014,Jeremiah Ledbetter95
72,340,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.8%,2015,Jeremiah Ledbetter95
73,370,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.8%,2016,Jeremiah Ledbetter95
74,225,6,8,0.5,0,0,0,0,0,16,16.7,1.0,0.8%,2017,Jeremiah Ledbetter95
75,271,1,0,0.0,0,0,0,0,0,1,1.5,1.5,0.8%,2018,Jeremiah Ledbetter95
76,316,0,0,0.0,0,0,0,0,0,1,0.0,0.0,0.8%,2019,Jeremiah Ledbetter95
77,16,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%,2013,Cameron Malveaux48
78,339,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%,2014,Cameron Malveaux48
79,389,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%,2015,Cameron Malveaux48
80,379,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%,2016,Cameron Malveaux48
81,219,4,1,1.0,0,0,0,0,0,4,18.3,4.6,0.0%,2017,Cameron Malveaux48
82,206,2,8,1.0,1,0,0,0,0,9,17.1,1.9,0.0%,2018,Cameron Malveaux48
83,324,0,0,0.0,0,0,0,0,0,1,0.0,0.0,0.0%,2019,Cameron Malveaux48
84,17,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%,2013,Jarron Jones72
85,353,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%,2014,Jarron Jones72
86,343,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%,2015,Jarron Jones72
87,383,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%,2016,Jarron Jones72
88,366,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%,2017,Jarron Jones72
89,288,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%,2018,Jarron Jones72
90,317,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%,2019,Jarron Jones72
91,18,0,0,0.0,0,0,0,0,0,0,0.0,0.0,1.6%,2013,Eli Ankou91
92,355,0,0,0.0,0,0,0,0,0,0,0.0,0.0,1.6%,2014,Eli Ankou91
93,403,0,0,0.0,0,0,0,0,0,0,0.0,0.0,1.6%,2015,Eli Ankou91
94,282,0,0,0.0,0,0,0,0,0,0,0.0,0.0,1.6%,2016,Eli Ankou91
95,191,8,7,1.5,0,0,0,0,0,9,27.6,3.1,1.6%,2017,Eli Ankou91
96,255,2,2,0.0,0,0,0,0,0,2,4.6,2.3,1.6%,2018,Eli Ankou91
97,230,5,2,0.0,0,0,0,0,0,10,11.6,1.2,1.6%,2019,Eli Ankou91
98,19,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%,2013,Daniel Ross93
99,354,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%,2014,Daniel Ross93
100,402,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%,2015,Daniel Ross93
101,283,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%,2016,Daniel Ross93
102,213,4,1,1.0,0,0,0,1,0,3,19.8,6.6,0.0%,2017,Daniel Ross93
103,164,6,8,1.0,0,0,1,1,0,13,34.7,2.7,0.0%,2018,Daniel Ross93
104,323,0,0,0.0,0,0,0,0,0,1,0.0,0.0,0.0%,2019,Daniel Ross93
105,20,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.8%,2013,Josh Tupou91
106,356,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.8%,2014,Josh Tupou91
107,404,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.8%,2015,Josh Tupou91
108,377,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.8%,2016,Josh Tupou91
109,367,0,0,0.0,0,0,0,0,0,1,0.0,0.0,0.8%,2017,Josh Tupou91
110,221,6,4,0.0,0,0,0,0,0,6,12.1,2.0,0.8%,2018,Josh Tupou91
111,154,14,14,0.0,0,0,1,0,0,16,43.1,2.7,0.8%,2019,Josh Tupou91
112,21,0,0,0.0,0,0,0,0,0,0,0.0,0.0,1.6%,2013,Adam Butler70
113,351,0,0,0.0,0,0,0,0,0,0,0.0,0.0,1.6%,2014,Adam Butler70
114,405,0,0,0.0,0,0,0,0,0,0,0.0,0.0,1.6%,2015,Adam Butler70
115,378,0,0,0.0,0,0,0,0,0,0,0.0,0.0,1.6%,2016,Adam Butler70
116,170,11,8,2.0,0,0,0,0,0,16,35.0,2.2,1.6%,2017,Adam Butler70
117,121,9,9,3.0,2,0,2,0,0,16,53.4,3.3,1.6%,2018,Adam Butler70
118,64,17,9,6.0,5,0,0,0,0,16,84.0,5.3,1.6%,2019,Adam Butler70
119,22,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%,2013,Avery Moss93
120,357,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%,2014,Avery Moss93
121,342,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%,2015,Avery Moss93
122,375,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%,2016,Avery Moss93
123,197,10,3,0.0,2,0,1,0,0,11,25.9,2.4,0.0%,2017,Avery Moss93
124,289,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%,2018,Avery Moss93
125,178,11,14,0.0,0,0,1,0,0,11,31.2,2.8,0.0%,2019,Avery Moss93
