,Rank,TACKLE,ASSIST,SACK,PD,INT,FF,FR,DEF TD,G,FPTS,FPTS/G,OWN,Year,PlayerID
2229,13,78,37,3.5,5,0,0,2,0,16,176.0,11.0,57.9%,2014,Demario Davis56
2230,41,57,32,2.0,2,0,0,1,0,16,149.9,9.4,57.9%,2015,Demario Davis56
2231,39,59,40,2.0,2,0,1,0,0,16,166.5,10.4,57.9%,2016,Demario Davis56
2232,5,97,38,5.0,3,0,0,1,0,16,239.7,15.0,57.9%,2017,Demario Davis56
2233,13,74,36,5.0,4,0,2,1,0,16,202.4,12.7,57.9%,2018,Demario Davis56
2234,12,87,24,4.0,12,1,0,0,0,16,215.3,13.5,57.9%,2019,Demario Davis56
2235,464,71,48,5.0,7,2,0,1,0,14,0.0,0.0,84.3%,2013,Bobby Wagner54
2236,31,67,37,2.0,3,0,0,0,0,11,141.1,12.8,84.3%,2014,Bobby Wagner54
2237,17,67,47,0.5,7,0,2,3,2,15,201.6,13.4,84.3%,2015,Bobby Wagner54
2238,1,85,82,4.5,3,1,0,1,0,16,272.3,17.0,84.3%,2016,Bobby Wagner54
2239,2,97,36,1.5,6,2,0,1,1,16,255.7,16.0,84.3%,2017,Bobby Wagner54
2240,5,82,55,1.0,10,1,2,1,1,15,222.5,14.8,84.3%,2018,Bobby Wagner54
2241,3,86,73,3.0,6,1,1,1,0,16,235.8,14.7,84.3%,2019,Bobby Wagner54
2242,465,55,42,1.0,3,0,0,0,0,16,0.0,0.0,14.9%,2013,Dont'a Hightower54
2243,36,51,38,6.0,2,0,1,0,0,12,137.7,11.5,14.9%,2014,Dont'a Hightower54
2244,67,51,10,3.5,2,0,0,1,0,12,113.1,9.4,14.9%,2015,Dont'a Hightower54
2245,77,31,34,2.5,2,0,1,0,0,13,101.8,7.8,14.9%,2016,Dont'a Hightower54
2246,148,12,2,2.0,0,0,0,0,0,5,32.6,6.5,14.9%,2017,Dont'a Hightower54
2247,91,24,24,1.0,1,1,0,1,0,15,77.9,5.2,14.9%,2018,Dont'a Hightower54
2248,46,47,24,5.5,4,0,0,1,1,15,146.9,9.8,14.9%,2019,Dont'a Hightower54
2249,492,0,0,0.0,0,0,0,0,0,16,0.0,0.0,0.0%,2013,Nick Bellore44
2250,566,0,0,0.0,0,0,0,0,0,16,0.0,0.0,0.0%,2014,Nick Bellore44
2251,203,2,0,0.0,0,0,0,0,0,16,4.5,0.3,0.0%,2015,Nick Bellore44
2252,60,55,22,1.0,5,1,0,1,0,14,130.3,9.3,0.0%,2016,Nick Bellore44
2253,204,5,1,0.0,0,0,0,0,0,13,9.0,0.7,0.0%,2017,Nick Bellore44
2254,503,0,0,0.0,0,0,0,0,0,14,0.0,0.0,0.0%,2018,Nick Bellore44
2255,215,0,0,0.0,0,0,0,1,0,14,4.0,0.3,0.0%,2019,Nick Bellore44
2256,519,46,34,1.5,4,0,0,1,0,13,0.0,0.0,29.3%,2013,K.J. Wright50
2257,19,73,33,2.0,4,0,3,1,0,16,162.4,10.2,29.3%,2014,K.J. Wright50
2258,18,71,45,1.0,3,0,4,2,0,16,198.0,12.4,29.3%,2015,K.J. Wright50
2259,8,72,54,4.0,5,0,1,1,0,16,226.9,14.2,29.3%,2016,K.J. Wright50
2260,25,71,37,0.0,6,1,0,1,0,15,174.7,11.6,29.3%,2017,K.J. Wright50
2261,135,15,8,0.0,3,0,0,0,0,5,38.1,7.6,29.3%,2018,K.J. Wright50
2262,20,67,65,0.0,11,3,0,0,0,16,193.6,12.1,29.3%,2019,K.J. Wright50
2263,529,47,19,8.5,3,0,4,0,0,16,0.0,0.0,11.5%,2013,Ryan Kerrigan91
2264,16,51,13,13.5,1,0,5,1,0,16,166.1,10.4,11.5%,2014,Ryan Kerrigan91
2265,52,33,9,9.5,3,0,2,0,0,16,134.3,8.4,11.5%,2015,Ryan Kerrigan91
2266,54,26,7,11.0,2,0,2,0,0,16,134.5,8.4,11.5%,2016,Ryan Kerrigan91
2267,29,34,12,13.0,1,1,3,0,1,16,168.6,10.5,11.5%,2017,Ryan Kerrigan91
2268,46,29,12,12.0,1,0,2,1,0,16,141.8,8.9,11.5%,2018,Ryan Kerrigan91
2269,99,16,9,5.5,1,0,1,0,0,12,73.4,6.1,11.5%,2019,Ryan Kerrigan91
2270,579,85,38,4.0,7,2,1,0,0,16,0.0,0.0,10.5%,2013,Thomas Davis Sr.58
2271,25,66,34,2.5,3,0,2,1,0,15,147.3,9.8,10.5%,2014,Thomas Davis Sr.58
2272,9,75,30,5.5,7,4,4,1,0,16,233.8,14.6,10.5%,2015,Thomas Davis Sr.58
2273,17,73,33,2.5,4,3,1,2,1,16,203.7,12.7,10.5%,2016,Thomas Davis Sr.58
2274,59,52,24,2.5,0,0,0,1,0,15,128.3,8.6,10.5%,2017,Thomas Davis Sr.58
2275,60,46,33,0.0,6,0,0,2,0,15,119.4,8.0,10.5%,2018,Thomas Davis Sr.58
2276,43,65,47,1.0,2,0,0,0,0,16,147.6,9.2,10.5%,2019,Thomas Davis Sr.58
2277,611,0,0,0.0,0,0,0,0,0,0,0.0,0.0,1.5%,2013,Joe Thomas48
2278,713,0,0,0.0,0,0,0,0,0,0,0.0,0.0,1.5%,2014,Joe Thomas48
2279,133,17,2,1.0,1,0,1,0,0,14,44.1,3.2,1.5%,2015,Joe Thomas48
2280,65,53,15,0.0,5,1,0,1,0,16,121.0,7.6,1.5%,2016,Joe Thomas48
2281,171,5,7,0.5,1,0,0,0,0,12,21.6,1.8,1.5%,2017,Joe Thomas48
2282,181,5,3,0.0,0,0,0,0,0,10,12.4,1.2,1.5%,2018,Joe Thomas48
2283,136,19,10,0.0,1,0,1,0,0,15,41.8,2.8,1.5%,2019,Joe Thomas48
2284,612,0,0,0.0,0,0,0,0,0,0,0.0,0.0,28.4%,2013,Todd Davis51
2285,165,9,8,0.0,2,0,0,0,0,9,22.6,2.5,28.4%,2014,Todd Davis51
2286,153,11,3,0.0,0,0,0,1,0,16,25.3,1.6,28.4%,2015,Todd Davis51
2287,47,64,33,0.5,3,0,1,1,0,16,148.4,9.3,28.4%,2016,Todd Davis51
2288,64,48,34,1.0,0,0,0,0,0,14,123.8,8.8,28.4%,2017,Todd Davis51
2289,22,81,33,0.5,7,1,0,0,1,16,187.8,11.7,28.4%,2018,Todd Davis51
2290,29,78,56,0.0,1,0,0,0,0,15,175.8,11.7,28.4%,2019,Todd Davis51
2291,618,0,0,0.0,0,0,0,0,0,0,0.0,0.0,56.0%,2013,Shaquil Barrett58
2292,710,0,0,0.0,0,0,0,0,0,0,0.0,0.0,56.0%,2014,Shaquil Barrett58
2293,64,28,13,5.5,4,0,3,2,0,16,118.3,7.4,56.0%,2015,Shaquil Barrett58
2294,107,20,11,1.5,2,0,1,0,0,16,69.0,4.3,56.0%,2016,Shaquil Barrett58
2295,80,30,6,4.0,0,0,2,1,0,16,97.3,6.1,56.0%,2017,Shaquil Barrett58
2296,104,20,6,3.0,1,0,0,0,0,13,63.2,4.9,56.0%,2018,Shaquil Barrett58
2297,5,45,13,19.5,2,1,6,0,0,16,235.1,14.7,56.0%,2019,Shaquil Barrett58
2298,619,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%,2013,Brandon Copeland51
2299,708,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%,2014,Brandon Copeland51
2300,186,6,2,0.5,0,0,0,0,0,16,11.3,0.7,0.0%,2015,Brandon Copeland51
2301,174,7,4,0.0,0,0,1,0,0,16,19.1,1.2,0.0%,2016,Brandon Copeland51
