,Rank,TACKLE,ASSIST,SACK,PD,INT,FF,FR,DEF TD,G,FPTS,FPTS/G,OWN,Year,PlayerID
138,748,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%,2014,Chris Westry39
139,731,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%,2015,Chris Westry39
140,665,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%,2016,Chris Westry39
141,637,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%,2017,Chris Westry39
142,586,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%,2018,Chris Westry39
143,582,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%,2019,Chris Westry39
144,151,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.9%,2013,Kareem Orr20
145,746,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.9%,2014,Kareem Orr20
146,730,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.9%,2015,Kareem Orr20
147,686,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.9%,2016,Kareem Orr20
148,649,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.9%,2017,Kareem Orr20
149,606,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.9%,2018,Kareem Orr20
150,284,8,0,0.0,0,0,0,0,0,2,12.0,6.0,0.9%,2019,Kareem Orr20
151,152,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%,2013,Dylan Mabin37
152,749,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%,2014,Dylan Mabin37
153,732,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%,2015,Dylan Mabin37
154,666,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%,2016,Dylan Mabin37
155,628,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%,2017,Dylan Mabin37
156,587,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%,2018,Dylan Mabin37
157,583,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%,2019,Dylan Mabin37
158,153,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%,2013,Anthony Chesley43
159,745,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%,2014,Anthony Chesley43
160,729,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%,2015,Anthony Chesley43
161,685,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%,2016,Anthony Chesley43
162,648,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%,2017,Anthony Chesley43
163,605,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%,2018,Anthony Chesley43
164,586,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%,2019,Anthony Chesley43
165,154,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%,2013,Jayson Stanley
166,747,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%,2014,Jayson Stanley
167,711,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%,2015,Jayson Stanley
168,664,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%,2016,Jayson Stanley
169,629,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%,2017,Jayson Stanley
170,588,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%,2018,Jayson Stanley
171,584,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%,2019,Jayson Stanley
172,156,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.9%,2013,Nate Meadors26
173,742,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.9%,2014,Nate Meadors26
174,713,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.9%,2015,Nate Meadors26
175,668,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.9%,2016,Nate Meadors26
176,631,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.9%,2017,Nate Meadors26
177,590,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.9%,2018,Nate Meadors26
178,343,2,0,0.0,0,0,0,0,0,2,3.0,1.5,0.9%,2019,Nate Meadors26
179,157,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%,2013,Levonta Taylor
180,343,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%,2014,Levonta Taylor
181,365,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%,2015,Levonta Taylor
182,334,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%,2016,Levonta Taylor
183,358,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%,2017,Levonta Taylor
184,400,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%,2018,Levonta Taylor
185,587,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%,2019,Levonta Taylor
186,158,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%,2013,Stanford Samuels III
187,342,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%,2014,Stanford Samuels III
188,366,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%,2015,Stanford Samuels III
189,335,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%,2016,Stanford Samuels III
190,359,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%,2017,Stanford Samuels III
191,346,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%,2018,Stanford Samuels III
192,588,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%,2019,Stanford Samuels III
193,159,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.4%,2013,Amik Robertson21
194,329,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.4%,2014,Amik Robertson21
195,361,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.4%,2015,Amik Robertson21
196,364,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.4%,2016,Amik Robertson21
197,360,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.4%,2017,Amik Robertson21
198,347,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.4%,2018,Amik Robertson21
199,589,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.4%,2019,Amik Robertson21
200,160,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%,2013,Luq Barcoo3
201,331,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%,2014,Luq Barcoo3
202,367,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%,2015,Luq Barcoo3
203,360,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%,2016,Luq Barcoo3
204,361,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%,2017,Luq Barcoo3
205,521,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%,2018,Luq Barcoo3
