,Rank,REC,REC_TGT,REC_YDS,REC_Y/R,REC_LG,REC_20+,REC_TD,RUSH_ATT,RUSH_YDS,RUSH_TD,FL,G,FPTS,FPTS/G,OWN,Year,PlayerID
2521,634,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1%,2014,Seth Roberts15
2522,55,32,55,480,15.0,43,7,5,0,0,0,0,16,80.0,5.0,0.1%,2015,Seth Roberts15
2523,67,38,77,397,10.4,41,5,5,0,0,0,0,16,73.7,4.6,0.1%,2016,Seth Roberts15
2524,86,43,65,455,10.6,29,6,1,0,0,0,2,15,47.5,3.2,0.1%,2017,Seth Roberts15
2525,80,45,64,494,11.0,44,7,2,3,5,0,0,15,61.9,4.1,0.1%,2018,Seth Roberts15
2526,96,21,35,271,12.9,33,3,2,0,0,0,0,16,39.1,2.4,0.1%,2019,Seth Roberts15
2527,651,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,98.9%,2013,Adam Thielen19
2528,128,8,13,137,17.1,44,2,1,0,0,0,0,16,27.7,1.7,98.9%,2014,Adam Thielen19
2529,121,12,18,144,12.0,30,1,0,4,89,0,0,16,23.3,1.5,98.9%,2015,Adam Thielen19
2530,29,69,92,967,14.0,71,16,5,2,15,0,1,16,126.2,7.9,98.9%,2016,Adam Thielen19
2531,12,91,142,1276,14.0,65,20,4,1,11,0,2,16,148.8,9.3,98.9%,2017,Adam Thielen19
2532,7,113,153,1373,12.2,68,17,9,5,30,0,1,16,194.3,12.1,98.9%,2018,Adam Thielen19
2533,56,30,48,418,13.9,44,8,6,4,6,1,0,10,84.4,8.4,98.9%,2019,Adam Thielen19
2534,639,0,0,0,0.0,0,0,0,1,-8,0,0,7,-0.8,-0.1,0.0%,2014,Chris Williams66
