,Rank,REC,REC_TGT,REC_YDS,REC_Y/R,REC_LG,REC_20+,REC_TD,RUSH_ATT,RUSH_YDS,RUSH_TD,FL,G,FPTS,FPTS/G,OWN,Year,PlayerID
180,185,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,2013,Deante Burton33
181,198,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,2014,Deante Burton33
182,205,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,2015,Deante Burton33
183,243,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,2016,Deante Burton33
184,243,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,2017,Deante Burton33
185,210,0,0,0,0.0,0,0,0,0,0,0,0,3,0.0,0.0,0.0%,2018,Deante Burton33
186,220,0,0,0,0.0,0,0,0,0,0,0,0,3,0.0,0.0,0.0%,2019,Deante Burton33
187,186,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,2013,Cyril Grayson15
188,203,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,2014,Cyril Grayson15
189,230,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,2015,Cyril Grayson15
190,242,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,2016,Cyril Grayson15
191,241,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,2017,Cyril Grayson15
192,214,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,2018,Cyril Grayson15
193,210,1,1,3,3.0,3,0,0,0,0,0,0,2,0.3,0.2,0.0%,2019,Cyril Grayson15
194,187,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,2013,Reggie Davis19
195,196,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,2014,Reggie Davis19
196,201,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,2015,Reggie Davis19
197,236,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,2016,Reggie Davis19
198,244,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,2017,Reggie Davis19
199,209,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,2018,Reggie Davis19
200,222,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,2019,Reggie Davis19
201,188,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,1.2%,2013,Kendrick Bourne84
202,186,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,1.2%,2014,Kendrick Bourne84
203,228,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,1.2%,2015,Kendrick Bourne84
204,244,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,1.2%,2016,Kendrick Bourne84
205,116,16,34,257,16.1,54,3,0,0,0,0,0,11,25.7,2.3,1.2%,2017,Kendrick Bourne84
206,66,42,66,487,11.6,33,6,4,0,0,0,0,16,72.7,4.5,1.2%,2018,Kendrick Bourne84
207,68,30,44,358,11.9,30,4,5,0,0,0,0,16,67.8,4.2,1.2%,2019,Kendrick Bourne84
208,189,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,2013,Victor Bolden Jr.13
209,191,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,2014,Victor Bolden Jr.13
210,227,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,2015,Victor Bolden Jr.13
211,245,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,2016,Victor Bolden Jr.13
212,242,0,0,0,0.0,0,0,0,0,0,0,0,9,0.0,0.0,0.0%,2017,Victor Bolden Jr.13
213,195,1,4,10,10.0,10,0,0,0,0,0,0,6,1.0,0.2,0.0%,2018,Victor Bolden Jr.13
214,216,0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2019,Victor Bolden Jr.13
215,190,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.2%,2013,Robert Foster16
216,206,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.2%,2014,Robert Foster16
217,199,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.2%,2015,Robert Foster16
218,467,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.2%,2016,Robert Foster16
219,419,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.2%,2017,Robert Foster16
220,69,27,45,541,20.0,75,9,3,0,0,0,0,13,72.1,5.5,0.2%,2018,Robert Foster16
221,154,3,18,64,21.3,24,3,0,2,29,0,0,13,9.3,0.7,0.2%,2019,Robert Foster16
222,191,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,2013,Ray-Ray McCloud14
223,194,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,2014,Ray-Ray McCloud14
224,292,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,2015,Ray-Ray McCloud14
225,452,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,2016,Ray-Ray McCloud14
226,409,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,2017,Ray-Ray McCloud14
227,185,5,6,36,7.2,16,0,0,2,4,0,1,10,2.0,0.2,0.0%,2018,Ray-Ray McCloud14
228,528,0,0,0,0.0,0,0,0,0,0,0,1,6,-2.0,-0.3,0.0%,2019,Ray-Ray McCloud14
229,192,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.9%,2013,Marquez Valdes-Scantling83
230,192,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.9%,2014,Marquez Valdes-Scantling83
231,200,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.9%,2015,Marquez Valdes-Scantling83
232,444,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.9%,2016,Marquez Valdes-Scantling83
233,410,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.9%,2017,Marquez Valdes-Scantling83
234,65,38,72,581,15.3,60,8,2,2,29,0,0,16,73.0,4.6,0.9%,2018,Marquez Valdes-Scantling83
235,76,26,56,452,17.4,74,7,2,2,9,0,0,16,58.1,3.6,0.9%,2019,Marquez Valdes-Scantling83
236,193,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,2013,Daurice Fountain10
237,193,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,2014,Daurice Fountain10
238,204,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,2015,Daurice Fountain10
239,462,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,2016,Daurice Fountain10
240,412,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,2017,Daurice Fountain10
241,396,0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2018,Daurice Fountain10
242,394,0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2019,Daurice Fountain10
243,194,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.9%,2013,Keke Coutee16
244,190,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.9%,2014,Keke Coutee16
245,203,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.9%,2015,Keke Coutee16
246,464,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.9%,2016,Keke Coutee16
247,408,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.9%,2017,Keke Coutee16
248,110,28,41,287,10.3,40,2,1,3,0,0,0,6,34.7,5.8,0.9%,2018,Keke Coutee16
249,108,22,36,254,11.5,51,4,0,2,14,1,1,10,30.8,3.1,0.9%,2019,Keke Coutee16
250,195,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,1.8%,2013,DaeSean Hamilton17
251,187,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,1.8%,2014,DaeSean Hamilton17
252,202,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,1.8%,2015,DaeSean Hamilton17
253,466,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,1.8%,2016,DaeSean Hamilton17
254,418,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,1.8%,2017,DaeSean Hamilton17
255,107,30,46,243,8.1,24,1,2,0,0,0,0,14,36.3,2.6,1.8%,2018,DaeSean Hamilton17
256,102,28,52,297,10.6,28,4,1,0,0,0,0,16,35.7,2.2,1.8%,2019,DaeSean Hamilton17
257,196,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,2013,Quadree Henderson15
258,208,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,2014,Quadree Henderson15
259,194,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,2015,Quadree Henderson15
260,468,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,2016,Quadree Henderson15
261,421,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,2017,Quadree Henderson15
262,397,0,0,0,0.0,0,0,0,0,0,0,0,5,0.0,0.0,0.0%,2018,Quadree Henderson15
263,395,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,2019,Quadree Henderson15
264,198,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,2013,Emmanuel Butler17
265,225,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,2014,Emmanuel Butler17
266,195,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,2015,Emmanuel Butler17
267,469,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,2016,Emmanuel Butler17
268,434,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,2017,Emmanuel Butler17
269,394,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,2018,Emmanuel Butler17
270,396,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,2019,Emmanuel Butler17
271,199,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.6%,2013,Javon Wims83
272,226,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.6%,2014,Javon Wims83
273,197,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.6%,2015,Javon Wims83
274,463,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.6%,2016,Javon Wims83
275,422,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.6%,2017,Javon Wims83
276,178,4,5,32,8.0,16,0,0,0,0,0,0,4,3.2,0.8,0.6%,2018,Javon Wims83
277,125,18,39,186,10.3,37,1,1,0,0,0,0,16,24.6,1.5,0.6%,2019,Javon Wims83
278,200,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.3%,2013,Equanimeous St. Brown19
279,227,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.3%,2014,Equanimeous St. Brown19
280,196,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.3%,2015,Equanimeous St. Brown19
281,470,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.3%,2016,Equanimeous St. Brown19
282,435,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.3%,2017,Equanimeous St. Brown19
283,114,21,36,328,15.6,54,5,0,1,5,0,0,12,33.3,2.8,0.3%,2018,Equanimeous St. Brown19
284,397,0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.3%,2019,Equanimeous St. Brown19
285,201,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,1.4%,2013,Auden Tate19
286,228,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,1.4%,2014,Auden Tate19
287,225,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,1.4%,2015,Auden Tate19
288,472,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,1.4%,2016,Auden Tate19
289,454,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,1.4%,2017,Auden Tate19
290,177,4,12,35,8.8,15,0,0,0,0,0,0,7,3.5,0.5,1.4%,2018,Auden Tate19
291,73,40,80,575,14.4,33,8,1,0,0,0,1,13,61.5,4.7,1.4%,2019,Auden Tate19
292,203,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,2.8%,2013,Allen Lazard13
293,232,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,2.8%,2014,Allen Lazard13
294,231,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,2.8%,2015,Allen Lazard13
295,474,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,2.8%,2016,Allen Lazard13
296,457,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,2.8%,2017,Allen Lazard13
297,201,1,1,7,7.0,7,0,0,0,0,0,0,1,0.7,0.7,2.8%,2018,Allen Lazard13
298,69,35,52,477,13.6,43,6,3,1,21,0,0,16,67.8,4.2,2.8%,2019,Allen Lazard13
299,204,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1%,2013,Damion Ratley18
300,189,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1%,2014,Damion Ratley18
301,446,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1%,2015,Damion Ratley18
302,441,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1%,2016,Damion Ratley18
303,416,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1%,2017,Damion Ratley18
304,151,13,20,144,11.1,27,3,0,0,0,0,0,13,14.4,1.1,0.1%,2018,Damion Ratley18
305,121,12,24,200,16.7,46,4,1,0,0,0,0,13,26.0,2.0,0.1%,2019,Damion Ratley18
306,205,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,2013,J'Mon Moore16
307,235,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,2014,J'Mon Moore16
308,226,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,2015,J'Mon Moore16
309,476,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,2016,J'Mon Moore16
310,459,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,2017,J'Mon Moore16
311,540,2,3,15,7.5,10,0,0,0,0,0,1,12,-0.5,-0.0,0.0%,2018,J'Mon Moore16
312,390,0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2019,J'Mon Moore16
313,206,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.2%,2013,Byron Pringle13
314,424,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.2%,2014,Byron Pringle13
315,441,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.2%,2015,Byron Pringle13
316,446,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.2%,2016,Byron Pringle13
317,477,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.2%,2017,Byron Pringle13
318,402,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.2%,2018,Byron Pringle13
319,130,12,16,170,14.2,28,3,1,0,0,0,0,16,23.0,1.4,0.2%,2019,Byron Pringle13
320,208,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1%,2013,Vyncint Smith17
321,197,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1%,2014,Vyncint Smith17
322,438,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1%,2015,Vyncint Smith17
323,449,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1%,2016,Vyncint Smith17
324,424,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1%,2017,Vyncint Smith17
325,150,5,10,91,18.2,35,2,1,0,0,0,0,7,15.1,2.2,0.1%,2018,Vyncint Smith17
326,107,17,31,225,13.2,37,4,0,3,52,1,1,14,31.7,2.3,0.1%,2019,Vyncint Smith17
327,209,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,2013,Darvin Kidsy84
328,200,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,2014,Darvin Kidsy84
329,439,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,2015,Darvin Kidsy84
330,443,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,2016,Darvin Kidsy84
331,426,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,2017,Darvin Kidsy84
332,198,1,2,8,8.0,8,0,0,0,0,0,0,2,0.8,0.4,0.0%,2018,Darvin Kidsy84
333,391,0,0,0,0.0,0,0,0,0,0,0,0,4,0.0,0.0,0.0%,2019,Darvin Kidsy84
334,210,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,2013,Da'Mari Scott18
335,201,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,2014,Da'Mari Scott18
336,440,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,2015,Da'Mari Scott18
337,442,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,2016,Da'Mari Scott18
338,423,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,2017,Da'Mari Scott18
339,403,0,0,0,0.0,0,0,0,0,0,0,0,3,0.0,0.0,0.0%,2018,Da'Mari Scott18
340,184,2,3,22,11.0,11,0,0,1,5,0,0,5,2.7,0.5,0.0%,2019,Da'Mari Scott18
341,212,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1%,2013,Chris Lacy15
342,204,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1%,2014,Chris Lacy15
343,442,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1%,2015,Chris Lacy15
344,433,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1%,2016,Chris Lacy15
345,430,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1%,2017,Chris Lacy15
346,401,0,1,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.1%,2018,Chris Lacy15
347,165,3,10,60,20.0,48,1,0,0,0,0,0,7,6.0,0.9,0.1%,2019,Chris Lacy15
348,213,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,2.6%,2013,Russell Gage83
349,205,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,2.6%,2014,Russell Gage83
350,443,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,2.6%,2015,Russell Gage83
351,434,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,2.6%,2016,Russell Gage83
352,431,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,2.6%,2017,Russell Gage83
353,166,6,10,63,10.5,22,1,0,0,0,0,0,15,6.3,0.4,2.6%,2018,Russell Gage83
354,84,49,74,446,9.1,19,0,1,4,12,0,1,16,49.8,3.1,2.6%,2019,Russell Gage83
355,214,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.3%,2013,Justin Watson17
356,199,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.3%,2014,Justin Watson17
357,444,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.3%,2015,Justin Watson17
358,430,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.3%,2016,Justin Watson17
359,432,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.3%,2017,Justin Watson17
360,203,1,3,5,5.0,5,0,0,0,0,0,0,12,0.5,0.0,0.3%,2018,Justin Watson17
361,115,15,26,159,10.6,17,0,2,0,0,0,0,16,27.9,1.7,0.3%,2019,Justin Watson17
362,216,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,2013,Braxton Berrios10
363,236,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,2014,Braxton Berrios10
364,224,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,2015,Braxton Berrios10
365,471,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,2016,Braxton Berrios10
366,460,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,2017,Braxton Berrios10
367,398,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,2018,Braxton Berrios10
368,152,6,13,115,19.2,69,2,0,0,0,0,1,16,9.5,0.6,0.0%,2019,Braxton Berrios10
369,217,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,2013,Rashard Davis12
370,212,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,2014,Rashard Davis12
371,208,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,2015,Rashard Davis12
372,220,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,2016,Rashard Davis12
373,233,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,2017,Rashard Davis12
374,212,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,2018,Rashard Davis12
375,197,1,1,16,16.0,16,0,0,0,0,0,0,1,1.6,1.6,0.0%,2019,Rashard Davis12
376,218,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,2013,Fred Brown19
377,234,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,2014,Fred Brown19
378,235,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,2015,Fred Brown19
379,222,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,2016,Fred Brown19
380,219,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,2017,Fred Brown19
381,217,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,2018,Fred Brown19
382,188,2,3,21,10.5,16,0,0,0,0,0,0,13,2.1,0.2,0.0%,2019,Fred Brown19
383,219,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,2013,Tim White14
384,231,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,2014,Tim White14
385,234,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,2015,Tim White14
386,240,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,2016,Tim White14
387,222,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,2017,Tim White14
388,191,1,1,14,14.0,14,0,0,0,0,0,0,3,1.4,0.5,0.0%,2018,Tim White14
389,218,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,2019,Tim White14
390,221,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1%,2013,Cedrick Wilson11
391,216,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1%,2014,Cedrick Wilson11
392,219,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1%,2015,Cedrick Wilson11
393,311,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1%,2016,Cedrick Wilson11
394,438,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1%,2017,Cedrick Wilson11
395,381,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1%,2018,Cedrick Wilson11
396,169,5,8,46,9.2,14,0,0,0,0,0,0,6,4.6,0.8,0.1%,2019,Cedrick Wilson11
397,222,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,2013,Jester Weah19
398,210,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,2014,Jester Weah19
399,217,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,2015,Jester Weah19
400,454,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,2016,Jester Weah19
401,462,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,2017,Jester Weah19
402,399,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,2018,Jester Weah19
403,388,0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2019,Jester Weah19
404,223,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,60.5%,2013,Christian Kirk13
405,211,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,60.5%,2014,Christian Kirk13
406,223,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,60.5%,2015,Christian Kirk13
407,455,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,60.5%,2016,Christian Kirk13
408,463,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,60.5%,2017,Christian Kirk13
409,57,43,68,590,13.7,75,8,3,3,35,0,0,12,80.5,6.7,60.5%,2018,Christian Kirk13
410,46,68,108,709,10.4,69,6,3,10,93,0,0,13,100.2,7.7,60.5%,2019,Christian Kirk13
411,224,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.3%,2013,Trey Quinn18
412,213,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.3%,2014,Trey Quinn18
413,206,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.3%,2015,Trey Quinn18
414,456,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.3%,2016,Trey Quinn18
415,451,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.3%,2017,Trey Quinn18
416,155,9,10,75,8.3,15,0,1,1,0,0,0,3,13.5,4.5,0.3%,2018,Trey Quinn18
417,122,26,47,198,7.6,19,0,1,0,0,0,1,12,25.8,2.2,0.3%,2019,Trey Quinn18
418,226,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.6%,2013,Dante Pettis18
419,209,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.6%,2014,Dante Pettis18
420,221,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.6%,2015,Dante Pettis18
421,458,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.6%,2016,Dante Pettis18
422,450,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.6%,2017,Dante Pettis18
423,61,27,45,467,17.3,75,9,5,1,-2,0,0,12,76.5,6.4,0.6%,2018,Dante Pettis18
424,128,11,24,109,9.9,21,2,2,0,0,0,0,11,23.5,2.1,0.6%,2019,Dante Pettis18
425,227,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.2%,2013,Deon Cain17
426,215,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.2%,2014,Deon Cain17
427,220,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.2%,2015,Deon Cain17
428,459,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.2%,2016,Deon Cain17
