,GP,TD_RUSH,TD_REC,TD_RET,TD,SCORING_FG,SCORING_PAT,SCORING_2PT,SCORING_PTS,SCORING_TP/G,PlayerID
406,16,0,0,1,1,0,0,0,6,0.4,Dante Fowler Jr.56
407,15,0,0,1,1,0,0,0,6,0.4,Taylor Rapp24
408,16,0,0,0,0,0,0,0,2,0.1,Aaron Donald99
409,13,0,0,0,0,23,41,0,110,8.5,Robbie Gould9
410,16,8,2,0,10,0,0,0,60,3.8,Raheem Mostert31
411,14,6,1,0,7,0,0,0,42,3.0,Tevin Coleman26
412,15,3,3,0,6,0,0,1,38,2.5,Deebo Samuel19
413,16,0,5,0,5,0,0,1,32,2.0,Kendrick Bourne84
414,10,4,1,0,5,0,0,0,30,3.0,Jeff Wilson Jr.30
415,14,0,5,0,5,0,0,0,30,2.1,George Kittle85
416,16,0,2,0,2,0,0,0,12,0.8,Ross Dwelley82
417,13,1,1,0,2,0,0,0,12,0.9,Matt Breida22
418,11,0,2,0,2,0,0,0,12,1.1,Dante Pettis18
419,12,0,1,0,1,0,0,0,6,0.5,Kyle Juszczyk44
420,15,0,0,1,1,0,0,0,6,0.4,Richard Sherman25
421,16,0,0,1,1,0,0,0,6,0.4,D.J. Reed Jr.32
422,16,0,0,1,1,0,0,0,6,0.4,Fred Warner54
423,16,0,0,1,1,0,0,0,6,0.4,DeForest Buckner99
424,9,0,1,0,1,0,0,0,6,0.7,Marquise Goodwin1
425,10,0,0,1,1,0,0,0,6,0.6,Ahkello Witherspoon23
426,16,1,0,0,1,0,0,0,6,0.4,Jimmy Garoppolo10
427,16,0,1,0,1,0,0,0,6,0.4,Richie James Jr.13
428,16,0,0,0,0,23,40,0,109,6.8,Jason Myers5
429,15,7,2,0,9,0,0,0,54,3.6,Chris Carson32
430,16,0,8,0,8,0,0,0,48,3.0,Tyler Lockett16
431,16,0,7,0,7,0,0,1,44,2.8,DK Metcalf14
432,6,0,4,0,4,0,0,0,24,4.0,Will Dissly89
433,10,3,1,0,4,0,0,0,24,2.4,Rashaad Penny20
434,16,3,0,0,3,0,0,0,18,1.1,Russell Wilson3
435,11,0,3,0,3,0,0,0,18,1.6,Jacob Hollister48
436,14,0,2,0,2,0,0,0,12,0.9,David Moore83
437,14,0,1,0,1,0,0,0,6,0.4,Nick Bellore44
438,5,0,0,1,1,0,0,0,6,1.2,Quandre Diggs37
