,Name,"('Unnamed: 0_level_0', 'GP')","('Tackles', 'SOLO')","('Tackles', 'AST')","('Tackles', 'TOT')","('Sacks', 'SACK')","('Sacks', 'SCKYDS')","('Sacks', 'TFL')","('Interceptions', 'PD')","('Interceptions', 'INT')","('Interceptions', 'YDS')","('Interceptions', 'LNG')","('Interceptions', 'TD')","('Fumbles', 'FF')","('Fumbles', 'FR')","('Fumbles', 'FTD')","('Unnamed: 15_level_0', 'KB')",class,team
214,Chuck Clark S,14,2,2,4,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Defense,Ravens
215,Chuck Clark S,4,2,1,3,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Defense,Ravens
216,Chuck Clark S,16,3,0,3,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Defense,Ravens
217,Chuck Clark S,4,2,0,2,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Defense,Ravens
218,Chuck Clark S,16,2,0,2,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Defense,Ravens
219,Chuck Clark S,14,1,0,1,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Defense,Ravens
220,Chuck Clark S,16,1,0,1,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Defense,Ravens
221,Chuck Clark S,15,1,0,1,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Defense,Ravens
222,Chuck Clark S,15,1,0,1,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Defense,Ravens
223,Chuck Clark S,11,1,0,1,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Defense,Ravens
224,Chuck Clark S,16,1,0,1,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Defense,Ravens
225,Chuck Clark S,16,1,0,1,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Defense,Ravens
226,Chuck Clark S,15,1,0,1,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Defense,Ravens
227,Chuck Clark S,3,1,0,1,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Defense,Ravens
228,Chuck Clark S,15,1,0,1,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Defense,Ravens
229,Shawn Williams S,16,80,34,114,1.0,3,6.0,3,1,12,12,0,0,0,0,0,Defense,Bengals
230,Shawn Williams S,16,60,51,111,1.0,0,5.0,5,1,34,34,0,1,2,0,0,Defense,Bengals
231,Shawn Williams S,16,70,29,99,0.0,0,0.5,9,3,33,20,0,1,1,0,0,Defense,Bengals
232,Shawn Williams S,16,50,26,76,0.0,0,3.5,0,0,0,0,0,0,0,0,0,Defense,Bengals
233,Shawn Williams S,15,46,30,76,8.5,56,11.0,3,0,0,0,0,1,0,0,0,Defense,Bengals
234,Shawn Williams S,14,39,24,63,9.0,63,17.0,8,0,0,0,0,2,0,0,0,Defense,Bengals
235,Shawn Williams S,9,27,27,54,0.0,0,0.5,0,0,0,0,0,1,1,0,0,Defense,Bengals
236,Shawn Williams S,16,18,29,47,4.5,23,6.5,0,0,0,0,0,0,0,0,0,Defense,Bengals
237,Shawn Williams S,15,30,7,37,0.0,0,1.0,7,1,1,1,0,0,0,0,0,Defense,Bengals
238,Shawn Williams S,9,25,12,37,0.0,0,2.0,5,0,0,0,0,0,0,0,0,Defense,Bengals
239,Shawn Williams S,14,26,11,37,0.0,0,1.0,3,1,19,19,0,0,0,0,0,Defense,Bengals
240,Shawn Williams S,16,18,17,35,1.0,13,5.0,0,0,0,0,0,0,0,0,0,Defense,Bengals
241,Shawn Williams S,6,27,6,33,1.0,9,2.0,4,0,0,0,0,0,1,0,0,Defense,Bengals
242,Shawn Williams S,16,14,13,27,0.0,0,4.0,0,0,0,0,0,1,0,0,0,Defense,Bengals
243,Shawn Williams S,12,14,10,24,0.0,0,0.0,0,0,0,0,0,2,0,0,0,Defense,Bengals
244,Shawn Williams S,12,17,6,23,5.0,36,6.5,0,0,0,0,0,0,0,0,0,Defense,Bengals
245,Shawn Williams S,16,17,5,22,0.0,0,1.0,1,0,0,0,0,0,0,0,0,Defense,Bengals
246,Shawn Williams S,16,13,2,15,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Defense,Bengals
247,Shawn Williams S,14,10,4,14,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Defense,Bengals
248,Shawn Williams S,16,6,6,12,0.0,0,0.0,1,0,0,0,0,0,0,0,0,Defense,Bengals
249,Shawn Williams S,11,4,4,8,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Defense,Bengals
250,Shawn Williams S,5,1,6,7,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Defense,Bengals
251,Shawn Williams S,15,4,3,7,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Defense,Bengals
252,Shawn Williams S,7,5,1,6,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Defense,Bengals
253,Shawn Williams S,15,5,1,6,0.0,0,0.0,1,0,0,0,0,0,0,0,0,Defense,Bengals
254,Shawn Williams S,11,4,1,5,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Defense,Bengals
255,Shawn Williams S,4,3,2,5,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Defense,Bengals
256,Shawn Williams S,8,4,1,5,0.0,0,0.0,7,4,82,28,0,0,0,0,0,Defense,Bengals
257,Shawn Williams S,6,3,1,4,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Defense,Bengals
258,Shawn Williams S,2,0,3,3,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Defense,Bengals
259,Shawn Williams S,16,3,0,3,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Defense,Bengals
260,Shawn Williams S,16,3,0,3,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Defense,Bengals
261,Shawn Williams S,16,1,1,2,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Defense,Bengals
262,Shawn Williams S,9,2,0,2,0.0,0,0.0,1,0,0,0,0,0,0,0,0,Defense,Bengals
263,Shawn Williams S,5,2,0,2,0.0,0,1.0,0,0,0,0,0,0,0,0,0,Defense,Bengals
264,Shawn Williams S,13,2,0,2,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Defense,Bengals
265,Shawn Williams S,16,1,1,2,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Defense,Bengals
266,Shawn Williams S,9,1,0,1,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Defense,Bengals
267,Shawn Williams S,16,1,0,1,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Defense,Bengals
268,Shawn Williams S,8,1,0,1,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Defense,Bengals
269,Shawn Williams S,4,0,1,1,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Defense,Bengals
270,Shawn Williams S,6,1,0,1,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Defense,Bengals
271,Shawn Williams S,16,1,0,1,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Defense,Bengals
272,Shawn Williams S,13,0,1,1,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Defense,Bengals
273,Shawn Williams S,11,1,0,1,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Defense,Bengals
274,Joe Schobert LB,16,89,44,133,2.0,19,6.5,9,4,24,20,0,2,1,0,0,Defense,Browns
275,Joe Schobert LB,16,57,25,82,1.0,8,5.0,7,1,21,21,0,1,0,0,0,Defense,Browns
276,Joe Schobert LB,16,43,19,62,3.0,17,5.5,4,0,0,0,0,3,0,0,0,Defense,Browns
277,Joe Schobert LB,11,45,16,61,2.5,13,3.5,6,0,0,0,0,0,0,0,0,Defense,Browns
278,Joe Schobert LB,16,40,12,52,1.0,3,4.0,4,1,0,0,0,1,1,0,0,Defense,Browns
279,Joe Schobert LB,15,35,15,50,5.5,40,10.0,1,0,0,0,0,0,0,0,0,Defense,Browns
280,Joe Schobert LB,12,37,10,47,0.0,0,3.0,2,0,0,0,0,0,0,0,0,Defense,Browns
281,Joe Schobert LB,12,38,6,44,0.0,0,1.0,11,2,61,61,1,0,1,0,1,Defense,Browns
282,Joe Schobert LB,12,28,14,42,0.0,0,0.0,2,0,0,0,0,0,0,0,0,Defense,Browns
283,Joe Schobert LB,8,26,15,41,2.0,19,4.5,2,1,43,43,0,0,0,0,0,Defense,Browns
284,Joe Schobert LB,8,31,10,41,0.0,0,1.0,2,1,0,0,0,1,0,0,0,Defense,Browns
285,Joe Schobert LB,14,26,6,32,1.0,14,3.5,7,2,42,27,0,1,0,0,0,Defense,Browns
286,Joe Schobert LB,10,20,9,29,10.0,63,13.0,0,0,0,0,0,2,0,0,0,Defense,Browns
287,Joe Schobert LB,10,20,6,26,3.5,24,5.5,0,0,0,0,0,1,0,0,0,Defense,Browns
288,Joe Schobert LB,16,17,9,26,4.0,32,5.0,1,0,0,0,0,0,1,0,0,Defense,Browns
289,Joe Schobert LB,9,15,9,24,1.0,4,3.5,1,0,0,0,0,0,0,0,0,Defense,Browns
290,Joe Schobert LB,15,17,4,21,0.0,0,2.0,3,1,28,28,0,0,0,0,0,Defense,Browns
291,Joe Schobert LB,15,14,7,21,0.0,0,0.5,0,0,0,0,0,0,0,0,0,Defense,Browns
292,Joe Schobert LB,6,7,6,13,1.0,10,1.0,0,0,0,0,0,0,1,0,0,Defense,Browns
293,Joe Schobert LB,16,10,3,13,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Defense,Browns
294,Joe Schobert LB,6,9,3,12,0.5,4,2.5,0,0,0,0,0,0,0,0,0,Defense,Browns
295,Joe Schobert LB,14,8,3,11,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Defense,Browns
296,Joe Schobert LB,2,6,5,11,0.0,0,2.0,0,0,0,0,0,0,0,0,0,Defense,Browns
297,Joe Schobert LB,16,4,5,9,0.0,0,0.0,0,0,0,0,0,0,0,0,1,Defense,Browns
298,Joe Schobert LB,15,4,5,9,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Defense,Browns
299,Joe Schobert LB,11,4,4,8,0.0,0,2.0,1,1,0,0,0,0,1,0,0,Defense,Browns
300,Joe Schobert LB,9,5,2,7,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Defense,Browns
301,Joe Schobert LB,16,5,2,7,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Defense,Browns
302,Joe Schobert LB,4,5,2,7,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Defense,Browns
303,Joe Schobert LB,9,4,2,6,0.0,0,1.0,0,0,0,0,0,0,0,0,0,Defense,Browns
304,Joe Schobert LB,2,2,3,5,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Defense,Browns
305,Joe Schobert LB,7,3,1,4,0.0,0,1.5,0,0,0,0,0,0,0,0,0,Defense,Browns
306,Joe Schobert LB,6,3,0,3,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Defense,Browns
307,Joe Schobert LB,4,2,1,3,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Defense,Browns
308,Joe Schobert LB,16,2,0,2,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Defense,Browns
309,Joe Schobert LB,16,1,1,2,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Defense,Browns
310,Joe Schobert LB,16,2,0,2,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Defense,Browns
311,Joe Schobert LB,9,1,1,2,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Defense,Browns
312,Joe Schobert LB,14,2,0,2,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Defense,Browns
313,Joe Schobert LB,15,2,0,2,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Defense,Browns
314,Joe Schobert LB,16,2,0,2,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Defense,Browns
315,Joe Schobert LB,16,1,0,1,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Defense,Browns
316,Joe Schobert LB,16,1,0,1,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Defense,Browns
317,Joe Schobert LB,13,1,0,1,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Defense,Browns
318,Joe Schobert LB,2,1,0,1,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Defense,Browns
319,Joe Schobert LB,9,0,1,1,0.0,0,0.0,1,0,0,0,0,0,0,0,0,Defense,Browns
320,Joe Schobert LB,4,1,0,1,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Defense,Browns
321,Joe Schobert LB,16,1,0,1,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Defense,Browns
322,Joe Schobert LB,4,1,0,1,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Defense,Browns
323,Joe Schobert LB,9,1,0,1,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Defense,Browns
324,Joe Schobert LB,15,1,0,1,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Defense,Browns
325,Joe Schobert LB,16,1,0,1,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Defense,Browns
326,Joe Schobert LB,4,1,0,1,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Defense,Browns
327,Joe Schobert LB,2,0,1,1,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Defense,Browns
328,Joe Schobert LB,16,1,0,1,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Defense,Browns
329,Joe Schobert LB,8,1,0,1,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Defense,Browns
330,Devin Bush LB,16,72,37,109,1.0,9,10.0,4,2,6,6,0,1,4,1,0,Defense,Steelers
331,Devin Bush LB,16,71,34,105,0.0,0,4.0,3,0,0,0,0,0,0,0,0,Defense,Steelers
332,Devin Bush LB,16,51,32,83,9.0,61,14.5,6,0,0,0,0,1,1,0,1,Defense,Steelers
333,Devin Bush LB,15,58,24,82,3.0,21,5.0,3,1,0,0,0,0,1,0,0,Defense,Steelers
334,Devin Bush LB,16,49,19,68,11.5,57,19.5,3,0,0,0,0,4,2,0,0,Defense,Steelers
335,Devin Bush LB,16,52,13,65,1.5,10,5.5,11,1,1,1,0,1,1,0,0,Defense,Steelers
336,Devin Bush LB,16,59,6,65,0.0,0,3.0,17,5,20,16,0,1,1,0,0,Defense,Steelers
337,Devin Bush LB,15,52,9,61,0.0,0,0.0,8,1,33,33,0,0,1,0,0,Defense,Steelers
338,Devin Bush LB,16,35,25,60,4.0,20,5.5,0,0,0,0,0,1,0,0,0,Defense,Steelers
339,Devin Bush LB,14,36,21,57,0.0,0,1.0,9,5,130,96,1,1,2,1,0,Defense,Steelers
340,Devin Bush LB,16,35,20,55,14.5,104,23.0,8,2,7,7,0,8,4,0,0,Defense,Steelers
341,Devin Bush LB,14,28,27,55,2.5,18,7.5,1,0,0,0,0,0,0,0,0,Defense,Steelers
342,Devin Bush LB,16,21,20,41,1.0,8,4.5,2,0,0,0,0,1,0,0,0,Defense,Steelers
343,Devin Bush LB,6,18,4,22,3.5,24,6.5,0,0,0,0,0,0,0,0,0,Defense,Steelers
344,Devin Bush LB,14,17,4,21,0.0,0,0.0,1,1,10,10,0,0,0,0,0,Defense,Steelers
345,Devin Bush LB,11,9,10,19,0.5,2,0.5,0,0,0,0,0,0,0,0,0,Defense,Steelers
346,Devin Bush LB,16,16,2,18,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Defense,Steelers
347,Devin Bush LB,16,13,3,16,1.0,1,2.0,5,1,26,26,0,0,0,0,0,Defense,Steelers
348,Devin Bush LB,16,6,7,13,0.0,0,1.0,0,0,0,0,0,1,0,0,0,Defense,Steelers
349,Devin Bush LB,8,8,3,11,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Defense,Steelers
350,Devin Bush LB,16,4,4,8,0.0,0,1.0,0,0,0,0,0,0,1,0,0,Defense,Steelers
351,Devin Bush LB,16,3,5,8,0.0,0,0.5,1,0,0,0,0,0,0,0,0,Defense,Steelers
352,Devin Bush LB,10,5,3,8,0.0,0,0.5,0,0,0,0,0,0,0,0,0,Defense,Steelers
353,Devin Bush LB,16,5,3,8,0.0,0,0.0,0,0,0,0,0,2,0,0,0,Defense,Steelers
354,Devin Bush LB,11,4,2,6,0.0,0,0.0,1,1,2,2,0,0,0,0,0,Defense,Steelers
355,Devin Bush LB,7,3,2,5,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Defense,Steelers
356,Devin Bush LB,12,5,0,5,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Defense,Steelers
357,Devin Bush LB,1,5,0,5,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Defense,Steelers
358,Devin Bush LB,13,4,0,4,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Defense,Steelers
359,Devin Bush LB,5,4,0,4,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Defense,Steelers
360,Devin Bush LB,10,3,0,3,0.0,0,1.0,0,0,0,0,0,0,0,0,0,Defense,Steelers
361,Devin Bush LB,10,3,0,3,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Defense,Steelers
362,Devin Bush LB,9,2,1,3,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Defense,Steelers
363,Devin Bush LB,15,2,0,2,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Defense,Steelers
364,Devin Bush LB,16,2,0,2,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Defense,Steelers
365,Devin Bush LB,16,1,0,1,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Defense,Steelers
366,Devin Bush LB,13,1,0,1,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Defense,Steelers
367,Devin Bush LB,13,1,0,1,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Defense,Steelers
368,Devin Bush LB,16,1,0,1,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Defense,Steelers
369,Devin Bush LB,16,1,0,1,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Defense,Steelers
370,Devin Bush LB,16,1,0,1,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Defense,Steelers
371,Devin Bush LB,5,1,0,1,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Defense,Steelers
372,Devin Bush LB,14,1,0,1,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Defense,Steelers
373,Zach Cunningham LB,16,99,43,142,2.0,11,9.5,2,0,0,0,0,0,2,0,0,Defense,Texans
374,Zach Cunningham LB,14,54,47,101,1.0,4,5.5,3,0,0,0,0,1,2,0,0,Defense,Texans
375,Zach Cunningham LB,15,57,21,78,0.0,0,1.5,5,2,55,37,0,0,1,0,0,Defense,Texans
376,Zach Cunningham LB,15,28,24,52,2.5,17,6.0,0,0,0,0,0,0,0,0,0,Defense,Texans
377,Zach Cunningham LB,14,37,14,51,0.0,0,2.0,8,3,105,79,1,0,0,0,0,Defense,Texans
378,Zach Cunningham LB,14,43,8,51,0.0,0,0.0,13,1,0,0,0,0,0,0,0,Defense,Texans
379,Zach Cunningham LB,15,31,20,51,3.5,7,3.5,1,0,0,0,0,2,0,0,0,Defense,Texans
380,Zach Cunningham LB,16,33,15,48,7.5,44,14.0,2,2,88,86,0,4,1,0,0,Defense,Texans
381,Zach Cunningham LB,16,35,10,45,0.0,0,0.0,3,2,5,4,0,0,0,0,0,Defense,Texans
382,Zach Cunningham LB,14,34,7,41,0.0,0,0.0,7,0,0,0,0,0,0,0,0,Defense,Texans
383,Zach Cunningham LB,10,35,3,38,1.0,10,2.0,8,2,49,27,1,1,0,0,0,Defense,Texans
384,Zach Cunningham LB,8,20,7,27,0.0,0,0.0,11,0,0,0,0,0,0,0,0,Defense,Texans
385,Zach Cunningham LB,16,11,14,25,1.0,3,1.0,0,0,0,0,0,0,0,0,0,Defense,Texans
386,Zach Cunningham LB,8,15,9,24,4.0,34,6.5,3,0,0,0,0,1,2,0,0,Defense,Texans
387,Zach Cunningham LB,10,10,13,23,1.0,3,1.5,1,0,0,0,0,0,1,0,0,Defense,Texans
388,Zach Cunningham LB,6,16,5,21,0.0,0,1.0,2,0,0,0,0,0,0,0,0,Defense,Texans
389,Zach Cunningham LB,15,11,9,20,0.0,0,1.5,0,0,0,0,0,0,0,0,2,Defense,Texans
390,Zach Cunningham LB,16,10,8,18,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Defense,Texans
391,Zach Cunningham LB,11,13,3,16,0.0,0,0.0,1,0,0,0,0,0,1,0,0,Defense,Texans
392,Zach Cunningham LB,16,9,5,14,0.0,0,1.0,0,0,0,0,0,0,0,0,0,Defense,Texans
393,Zach Cunningham LB,5,7,6,13,0.0,0,0.0,0,0,0,0,0,1,0,0,0,Defense,Texans
394,Zach Cunningham LB,14,8,5,13,3.0,34,4.0,2,0,0,0,0,2,0,0,0,Defense,Texans
395,Zach Cunningham LB,16,10,3,13,0.0,0,1.0,1,0,0,0,0,0,0,0,0,Defense,Texans
396,Zach Cunningham LB,6,12,1,13,0.0,0,1.0,2,0,0,0,0,0,0,0,0,Defense,Texans
397,Zach Cunningham LB,14,6,5,11,3.5,27,3.5,0,0,0,0,0,1,0,0,0,Defense,Texans
398,Zach Cunningham LB,11,4,5,9,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Defense,Texans
399,Zach Cunningham LB,3,5,3,8,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Defense,Texans
400,Zach Cunningham LB,16,3,3,6,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Defense,Texans
401,Zach Cunningham LB,16,5,1,6,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Defense,Texans
402,Zach Cunningham LB,16,3,3,6,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Defense,Texans
403,Zach Cunningham LB,1,4,1,5,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Defense,Texans
404,Zach Cunningham LB,5,3,1,4,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Defense,Texans
405,Zach Cunningham LB,6,2,1,3,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Defense,Texans
406,Zach Cunningham LB,16,3,0,3,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Defense,Texans
407,Zach Cunningham LB,16,3,0,3,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Defense,Texans
408,Zach Cunningham LB,4,1,1,2,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Defense,Texans
409,Zach Cunningham LB,16,2,0,2,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Defense,Texans
410,Zach Cunningham LB,9,2,0,2,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Defense,Texans
411,Zach Cunningham LB,16,0,2,2,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Defense,Texans
412,Zach Cunningham LB,1,2,0,2,1.0,19,1.0,0,0,0,0,0,1,0,0,0,Defense,Texans
413,Zach Cunningham LB,13,1,0,1,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Defense,Texans
414,Zach Cunningham LB,16,0,1,1,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Defense,Texans
415,Zach Cunningham LB,16,1,0,1,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Defense,Texans
416,Zach Cunningham LB,15,1,0,1,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Defense,Texans
417,Anthony Walker LB,16,84,40,124,2.5,3,8.0,2,1,0,0,0,1,0,0,0,Defense,Colts
418,Anthony Walker LB,13,71,50,121,5.0,26,9.5,7,5,92,80,1,2,0,0,0,Defense,Colts
419,Anthony Walker LB,14,53,18,71,0.0,0,3.0,1,0,0,0,0,0,0,0,0,Defense,Colts
420,Anthony Walker LB,16,48,17,65,1.0,12,3.5,2,0,0,0,0,2,1,0,0,Defense,Colts
421,Anthony Walker LB,15,54,8,62,0.0,0,2.0,5,1,0,0,0,0,1,0,0,Defense,Colts
422,Anthony Walker LB,11,50,11,61,2.5,15,5.0,3,2,36,35,0,0,1,0,0,Defense,Colts
423,Anthony Walker LB,15,40,14,54,0.0,0,1.0,1,1,0,0,0,0,0,0,0,Defense,Colts
424,Anthony Walker LB,13,30,21,51,0.0,0,1.5,3,2,39,26,0,0,1,0,0,Defense,Colts
425,Anthony Walker LB,12,38,12,50,0.0,0,1.0,11,3,0,0,0,0,0,0,0,Defense,Colts
426,Anthony Walker LB,16,33,11,44,11.0,66,15.0,0,0,0,0,0,2,3,0,0,Defense,Colts
427,Anthony Walker LB,16,30,7,37,0.0,0,0.0,0,0,0,0,0,2,1,0,0,Defense,Colts
428,Anthony Walker LB,14,20,12,32,3.5,28,7.0,4,0,0,0,0,1,0,0,0,Defense,Colts
429,Anthony Walker LB,16,14,16,30,3.0,29,5.0,1,0,0,0,0,0,0,0,0,Defense,Colts
430,Anthony Walker LB,16,21,7,28,3.0,24,7.5,0,0,0,0,0,1,0,0,0,Defense,Colts
431,Anthony Walker LB,13,23,3,26,0.0,0,0.0,5,0,0,0,0,1,0,0,0,Defense,Colts
432,Anthony Walker LB,13,20,5,25,4.5,26,5.5,2,0,0,0,0,0,0,0,0,Defense,Colts
433,Anthony Walker LB,16,14,3,17,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Defense,Colts
434,Anthony Walker LB,11,11,4,15,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Defense,Colts
435,Anthony Walker LB,16,7,4,11,2.5,5,4.5,1,0,0,0,0,1,0,0,0,Defense,Colts
436,Anthony Walker LB,9,9,2,11,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Defense,Colts
437,Anthony Walker LB,2,8,3,11,1.0,2,1.0,0,0,0,0,0,0,0,0,0,Defense,Colts
438,Anthony Walker LB,16,8,2,10,0.0,0,1.0,0,0,0,0,0,0,0,0,0,Defense,Colts
439,Anthony Walker LB,13,7,0,7,0.0,0,1.0,0,0,0,0,0,0,0,0,0,Defense,Colts
440,Anthony Walker LB,12,4,3,7,0.0,0,1.0,0,0,0,0,0,0,0,0,0,Defense,Colts
441,Anthony Walker LB,5,6,1,7,0.0,0,0.0,1,0,0,0,0,0,0,0,0,Defense,Colts
442,Anthony Walker LB,16,4,2,6,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Defense,Colts
443,Anthony Walker LB,16,6,0,6,0.0,0,1.0,0,0,0,0,0,0,0,0,0,Defense,Colts
444,Anthony Walker LB,7,3,3,6,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Defense,Colts
445,Anthony Walker LB,9,3,2,5,0.0,0,1.0,0,0,0,0,0,0,0,0,0,Defense,Colts
446,Anthony Walker LB,4,2,3,5,1.5,12,1.5,0,0,0,0,0,1,0,0,0,Defense,Colts
447,Anthony Walker LB,16,3,1,4,0.0,0,1.0,0,0,0,0,0,0,0,0,0,Defense,Colts
448,Anthony Walker LB,15,3,0,3,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Defense,Colts
449,Anthony Walker LB,3,1,2,3,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Defense,Colts
450,Anthony Walker LB,16,2,0,2,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Defense,Colts
451,Anthony Walker LB,16,1,0,1,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Defense,Colts
452,Anthony Walker LB,16,1,0,1,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Defense,Colts
453,Anthony Walker LB,16,1,0,1,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Defense,Colts
454,Anthony Walker LB,10,1,0,1,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Defense,Colts
455,Anthony Walker LB,16,1,0,1,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Defense,Colts
456,Anthony Walker LB,11,1,0,1,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Defense,Colts
457,Jarrod Wilson S,16,57,22,79,0.0,0,5.5,4,2,4,4,0,1,0,0,0,Defense,Jaguars
