,Name,"('Unnamed: 0_level_0', 'GP')","('Kickoffs', 'ATT')","('Kickoffs', 'YDS')","('Kickoffs', 'AVG')","('Kickoffs', 'LNG')","('Kickoffs', 'TD')","('Punts', 'ATT')","('Punts', 'YDS')","('Punts', 'AVG')","('Punts', 'LNG')","('Punts', 'TD')","('Punts', 'FC')",class,team
2,Mecole Hardman WR,16,2,41,20.5,22,0,0,0,0.0,0,0,0,Returning,Chiefs
3,Mecole Hardman WR,12,1,27,27.0,27,0,0,0,0.0,0,0,0,Returning,Chiefs
0,Trevor Davis WR,9,19,411,21.6,52,0,13,111,8.5,32,0,11,Returning,Raiders
1,Trevor Davis WR,16,9,188,20.9,29,0,6,21,3.5,12,0,5,Returning,Raiders
2,Trevor Davis WR,3,4,149,37.3,72,0,3,20,6.7,11,0,2,Returning,Raiders
3,Trevor Davis WR,14,3,63,21.0,26,0,0,0,0.0,0,0,0,Returning,Raiders
0,Desmond King II CB,15,16,331,20.7,43,0,21,118,5.6,68,1,11,Returning,Chargers
1,Desmond King II CB,14,14,288,20.6,34,0,1,0,0.0,0,0,6,Returning,Chargers
0,Tony Pollard RB,15,14,245,17.5,30,0,0,0,0.0,0,0,0,Returning,Cowboys
1,Tony Pollard RB,6,3,64,21.3,22,0,2,13,6.5,13,0,2,Returning,Cowboys
2,Tony Pollard RB,15,2,11,5.5,11,0,4,34,8.5,14,0,9,Returning,Cowboys
3,Tony Pollard RB,16,1,5,5.0,5,0,0,0,0.0,0,0,0,Returning,Cowboys
0,Cody Latimer WR,15,24,570,23.8,50,0,0,0,0.0,0,0,0,Returning,Giants
1,Cody Latimer WR,13,10,256,25.6,52,0,0,0,0.0,0,0,0,Returning,Giants
2,Cody Latimer WR,14,9,189,21.0,30,0,0,0,0.0,0,0,0,Returning,Giants
3,Cody Latimer WR,5,4,110,27.5,35,0,6,32,5.3,12,0,1,Returning,Giants
4,Cody Latimer WR,11,1,23,23.0,23,0,4,49,12.3,40,0,4,Returning,Giants
5,Cody Latimer WR,16,1,5,5.0,5,0,0,0,0.0,0,0,0,Returning,Giants
6,Cody Latimer WR,11,0,0,0.0,0,0,10,97,9.7,17,0,7,Returning,Giants
0,Miles Sanders RB,16,14,314,22.4,67,0,0,0,0.0,0,0,0,Returning,Eagles
1,Miles Sanders RB,11,10,229,22.9,33,0,6,43,7.2,13,0,4,Returning,Eagles
2,Miles Sanders RB,4,3,73,24.3,26,0,1,0,0.0,0,0,0,Returning,Eagles
3,Miles Sanders RB,16,1,21,21.0,21,0,0,0,0.0,0,0,0,Returning,Eagles
4,Miles Sanders RB,15,1,16,16.0,16,0,0,0,0.0,0,0,0,Returning,Eagles
5,Miles Sanders RB,7,0,0,0.0,0,0,7,24,3.4,16,0,12,Returning,Eagles
6,Miles Sanders RB,11,0,0,0.0,0,0,2,7,3.5,4,0,0,Returning,Eagles
0,Steven Sims Jr. WR,16,32,819,25.6,91,1,6,26,4.3,11,0,4,Returning,Redskins
1,Steven Sims Jr. WR,15,1,14,14.0,14,0,0,0,0.0,0,0,0,Returning,Redskins
0,Cordarrelle Patterson WR,16,28,825,29.5,102,1,0,0,0.0,0,0,0,Returning,Bears
1,Cordarrelle Patterson WR,16,1,28,28.0,28,0,0,0,0.0,0,0,0,Returning,Bears
2,Cordarrelle Patterson WR,14,2,27,13.5,16,0,0,0,0.0,0,0,0,Returning,Bears
3,Cordarrelle Patterson WR,16,2,23,11.5,16,0,33,302,9.2,71,0,19,Returning,Bears
