,Name,"('Unnamed: 0_level_0', 'GP')","('Touchdowns', 'RUSH')","('Touchdowns', 'REC')","('Touchdowns', 'RET')","('Touchdowns', 'TD')","('Scoring', 'FG')","('Scoring', 'PAT')","('Scoring', '2PT')","('Scoring', 'PTS')","('Scoring', 'TP/G')",class,team
351,Anthony Barr LB,14,0,0,0,0,0,0,0,2,0.1,Scoring,Vikings
352,Younghoe Koo PK,8,0,0,0,0,23,15,0,84,10.5,Scoring,Falcons
353,Calvin Ridley WR,13,0,7,0,7,0,0,1,44,3.4,Scoring,Falcons
354,Matt Bryant PK,7,0,0,0,0,9,14,0,41,5.9,Scoring,Falcons
355,Austin Hooper TE,13,0,6,0,6,0,0,1,38,2.9,Scoring,Falcons
356,Julio Jones WR,15,0,6,0,6,0,0,0,36,2.4,Scoring,Falcons
357,Devonta Freeman RB,14,2,4,0,6,0,0,0,36,2.6,Scoring,Falcons
358,Qadree Ollison RB,8,4,0,0,4,0,0,0,24,3.0,Scoring,Falcons
359,Brian Hill RB,12,2,1,0,3,0,0,0,18,1.5,Scoring,Falcons
360,Olamide Zaccheaus WR,10,0,1,1,2,0,0,0,12,1.2,Scoring,Falcons
361,Deion Jones LB,16,0,0,1,1,0,0,0,6,0.4,Scoring,Falcons
362,Ito Smith RB,7,1,0,0,1,0,0,0,6,0.9,Scoring,Falcons
363,Kenjon Barner RB,14,0,0,1,1,0,0,0,6,0.4,Scoring,Falcons
364,Jaeden Graham TE,16,0,1,0,1,0,0,0,6,0.4,Scoring,Falcons
365,Mohamed Sanu Sr. WR,7,0,1,0,1,0,0,0,6,0.9,Scoring,Falcons
366,Russell Gage WR,16,0,1,0,1,0,0,0,6,0.4,Scoring,Falcons
367,Matt Ryan QB,15,1,0,0,1,0,0,0,6,0.4,Scoring,Falcons
368,Ty Sambrailo OT,13,0,1,0,1,0,0,0,6,0.5,Scoring,Falcons
369,Christian McCaffrey RB,16,15,4,0,19,0,0,1,116,7.3,Scoring,Panthers
370,Joey Slye PK,16,0,0,0,0,25,31,0,106,6.6,Scoring,Panthers
371,Curtis Samuel WR,16,1,6,0,7,0,0,0,42,2.6,Scoring,Panthers
372,DJ Moore WR,15,0,4,0,4,0,0,0,24,1.6,Scoring,Panthers
373,Kyle Allen QB,13,2,0,0,2,0,0,0,12,0.9,Scoring,Panthers
374,Greg Olsen TE,14,0,2,0,2,0,0,0,12,0.9,Scoring,Panthers
375,Brian Burns DE,16,0,0,1,1,0,0,0,6,0.4,Scoring,Panthers
376,Ian Thomas TE,16,0,1,0,1,0,0,0,6,0.4,Scoring,Panthers
377,Reggie Bonnafon RB,16,1,0,0,1,0,0,0,6,0.4,Scoring,Panthers
378,Alex Armah FB,16,1,0,0,1,0,0,0,6,0.4,Scoring,Panthers
379,Luke Kuechly LB,16,0,0,0,0,0,0,0,2,0.1,Scoring,Panthers
380,Bruce Irvin DE,13,0,0,0,0,0,0,0,2,0.2,Scoring,Panthers
381,Wil Lutz PK,16,0,0,0,0,32,48,0,144,9.0,Scoring,Saints
