,Name,"('Unnamed: 0_level_0', 'GP')","('Touchdowns', 'RUSH')","('Touchdowns', 'REC')","('Touchdowns', 'RET')","('Touchdowns', 'TD')","('Scoring', 'FG')","('Scoring', 'PAT')","('Scoring', '2PT')","('Scoring', 'PTS')","('Scoring', 'TP/G')",class,team
48,Elandon Roberts LB,16,0,1,0,1,0,0,0,6,0.4,Scoring,Patriots
49,Matthew Slater WR,16,0,0,1,1,0,0,0,6,0.4,Scoring,Patriots
50,Kai Forbath PK,1,0,0,0,0,1,1,0,4,4.0,Scoring,Patriots
51,Sam Ficken PK,15,0,0,0,0,19,23,0,80,5.3,Scoring,Jets
52,Jamison Crowder WR,16,0,6,0,6,0,0,0,36,2.3,Scoring,Jets
53,Ryan Griffin TE,13,0,5,0,5,0,0,1,32,2.5,Scoring,Jets
54,Robby Anderson WR,16,0,5,0,5,0,0,1,32,2.0,Scoring,Jets
55,Le'Veon Bell RB,15,3,1,0,4,0,0,1,26,1.7,Scoring,Jets
56,Jamal Adams S,14,0,0,2,2,0,0,0,12,0.9,Scoring,Jets
57,Sam Darnold QB,13,2,0,0,2,0,0,0,12,0.9,Scoring,Jets
58,Brian Poole CB,14,0,0,1,1,0,0,0,8,0.6,Scoring,Jets
59,Demaryius Thomas WR,11,0,1,0,1,0,0,0,6,0.5,Scoring,Jets
60,Daniel Brown TE,16,0,1,0,1,0,0,0,6,0.4,Scoring,Jets
61,Vyncint Smith WR,13,1,0,0,1,0,0,0,6,0.5,Scoring,Jets
62,Arthur Maulet CB,12,0,0,1,1,0,0,0,6,0.5,Scoring,Jets
63,C.J. Mosley LB,2,0,0,1,1,0,0,0,6,3.0,Scoring,Jets
64,B.J. Bello LB,8,0,0,1,1,0,0,0,6,0.8,Scoring,Jets
65,James Burgess LB,10,0,0,0,0,0,0,0,2,0.2,Scoring,Jets
66,Justin Tucker PK,16,0,0,0,0,28,57,0,141,8.8,Scoring,Ravens
67,Mark Ingram II RB,15,10,5,0,15,0,0,2,94,6.3,Scoring,Ravens
68,Mark Andrews TE,15,0,10,0,10,0,0,0,60,4.0,Scoring,Ravens
69,Marquise Brown WR,14,0,7,0,7,0,0,0,42,3.0,Scoring,Ravens
70,Lamar Jackson QB,15,7,0,0,7,0,0,0,42,2.8,Scoring,Ravens
71,Willie Snead IV WR,16,0,5,0,5,0,0,0,30,1.9,Scoring,Ravens
72,Miles Boykin WR,16,0,3,0,3,0,0,0,18,1.1,Scoring,Ravens
73,Justice Hill RB,16,2,0,0,2,0,0,0,12,0.8,Scoring,Ravens
74,Hayden Hurst TE,16,0,2,0,2,0,0,0,12,0.8,Scoring,Ravens
75,Gus Edwards RB,16,2,0,0,2,0,0,0,12,0.8,Scoring,Ravens
76,Nick Boyle TE,16,0,2,0,2,0,0,0,12,0.8,Scoring,Ravens
77,Marcus Peters CB,10,0,0,2,2,0,0,0,12,1.2,Scoring,Ravens
78,Seth Roberts WR,16,0,2,0,2,0,0,0,12,0.8,Scoring,Ravens
79,Marlon Humphrey CB,16,0,0,2,2,0,0,0,12,0.8,Scoring,Ravens
80,Tyus Bowser LB,16,0,0,1,1,0,0,0,6,0.4,Scoring,Ravens
81,Patrick Ricard FB,16,0,1,0,1,0,0,0,6,0.4,Scoring,Ravens
82,Jordan Richards S,9,0,0,1,1,0,0,0,6,0.7,Scoring,Ravens
83,Randy Bullock PK,16,0,0,0,0,27,24,0,105,6.6,Scoring,Bengals
84,Joe Mixon RB,16,5,3,0,8,0,0,0,48,3.0,Scoring,Bengals
85,Tyler Boyd WR,16,0,5,0,5,0,0,0,30,1.9,Scoring,Bengals
86,Andy Dalton QB,13,4,0,0,4,0,0,1,26,2.0,Scoring,Bengals
87,Tyler Eifert TE,16,0,3,0,3,0,0,1,20,1.3,Scoring,Bengals
88,John Ross III WR,8,0,3,0,3,0,0,0,18,2.3,Scoring,Bengals
89,C.J. Uzomah TE,16,0,2,0,2,0,0,0,12,0.8,Scoring,Bengals
90,Auden Tate WR,12,0,1,0,1,0,0,0,6,0.5,Scoring,Bengals
91,Brandon Wilson S,12,0,0,1,1,0,0,0,6,0.5,Scoring,Bengals
92,Cethan Carter TE,15,0,1,0,1,0,0,0,6,0.4,Scoring,Bengals
93,Austin Seibert PK,16,0,0,0,0,25,30,0,105,6.6,Scoring,Browns
94,Nick Chubb RB,16,8,0,0,8,0,0,0,48,3.0,Scoring,Browns
95,Jarvis Landry WR,16,0,6,0,6,0,0,0,36,2.3,Scoring,Browns
96,Ricky Seals-Jones TE,14,0,4,0,4,0,0,0,24,1.7,Scoring,Browns
97,Odell Beckham Jr. WR,16,0,4,0,4,0,0,0,24,1.5,Scoring,Browns
98,Demetrius Harris TE,15,0,3,0,3,0,0,1,20,1.3,Scoring,Browns
99,Baker Mayfield QB,16,3,0,0,3,0,0,0,18,1.1,Scoring,Browns
100,Kareem Hunt RB,8,2,1,0,3,0,0,0,18,2.3,Scoring,Browns
101,Dontrell Hilliard RB,14,2,0,0,2,0,0,0,12,0.9,Scoring,Browns
102,Damion Ratley WR,13,0,1,0,1,0,0,0,6,0.5,Scoring,Browns
103,David Njoku TE,4,0,1,0,1,0,0,0,6,1.5,Scoring,Browns
104,Denzel Ward CB,12,0,0,1,1,0,0,0,6,0.5,Scoring,Browns
105,Stephen Carlson TE,9,0,1,0,1,0,0,0,6,0.7,Scoring,Browns
106,Rashard Higgins WR,10,0,1,0,1,0,0,0,6,0.6,Scoring,Browns
107,Chris Boswell PK,16,0,0,0,0,29,28,0,115,7.2,Scoring,Steelers
108,James Conner RB,10,4,3,0,7,0,0,0,42,4.2,Scoring,Steelers
109,Diontae Johnson WR,16,0,5,1,6,0,0,0,36,2.3,Scoring,Steelers
110,James Washington WR,15,0,3,0,3,0,0,0,18,1.2,Scoring,Steelers
111,Vance McDonald TE,14,0,3,0,3,0,0,0,18,1.3,Scoring,Steelers
112,JuJu Smith-Schuster WR,12,0,3,0,3,0,0,0,18,1.5,Scoring,Steelers
113,Jaylen Samuels RB,14,1,1,0,2,0,0,0,12,0.9,Scoring,Steelers
114,Benny Snell Jr. RB,13,2,0,0,2,0,0,0,12,0.9,Scoring,Steelers
115,Minkah Fitzpatrick S,14,0,0,2,2,0,0,0,12,0.9,Scoring,Steelers
116,Devin Bush LB,16,0,0,1,1,0,0,0,6,0.4,Scoring,Steelers
117,Ka'imi Fairbairn PK,16,0,0,0,0,20,40,0,100,6.3,Scoring,Texans
118,Deshaun Watson QB,15,7,1,0,8,0,0,0,48,3.2,Scoring,Texans
119,DeAndre Hopkins WR,15,0,7,0,7,0,0,1,44,2.9,Scoring,Texans
120,Darren Fells TE,16,0,7,0,7,0,0,0,42,2.6,Scoring,Texans
121,Carlos Hyde RB,16,6,0,0,6,0,0,0,36,2.3,Scoring,Texans
122,Duke Johnson RB,16,2,3,0,5,0,0,0,30,1.9,Scoring,Texans
123,Kenny Stills WR,13,0,4,0,4,0,0,0,24,1.8,Scoring,Texans
124,Will Fuller V WR,11,0,3,0,3,0,0,0,18,1.6,Scoring,Texans
125,Jordan Akins TE,16,0,2,0,2,0,0,0,12,0.8,Scoring,Texans
126,Tashaun Gipson Sr. S,14,0,0,1,1,0,0,0,6,0.4,Scoring,Texans
127,Keke Coutee WR,9,1,0,0,1,0,0,0,6,0.7,Scoring,Texans
128,AJ McCarron QB,2,1,0,0,1,0,0,0,6,3.0,Scoring,Texans
129,Bradley Roby CB,10,0,0,1,1,0,0,0,6,0.6,Scoring,Texans
130,Adam Vinatieri PK,12,0,0,0,0,17,22,0,73,6.1,Scoring,Colts
131,Marlon Mack RB,14,8,0,0,8,0,0,1,50,3.6,Scoring,Colts
132,Zach Pascal WR,16,0,5,0,5,0,0,1,34,2.1,Scoring,Colts
133,T.Y. Hilton WR,10,0,5,0,5,0,0,0,30,3.0,Scoring,Colts
134,Chase McLaughlin PK,4,0,0,0,0,5,11,0,26,6.5,Scoring,Colts
135,Jacoby Brissett QB,15,4,0,0,4,0,0,0,24,1.6,Scoring,Colts
136,Nyheim Hines RB,16,2,0,2,4,0,0,0,24,1.5,Scoring,Colts
137,Jack Doyle TE,16,0,4,0,4,0,0,0,24,1.5,Scoring,Colts
138,Eric Ebron TE,11,0,3,0,3,0,0,0,18,1.6,Scoring,Colts
