,Name,GP,REC,TGTS,YDS,AVG,TD,LNG,BIG,YDS/G,FUM,LST,YAC,FD,class,team
151,Deon Cain WR,7,4,14,52,13.0,0,25,1,7.4,0,0,11,3,Receiving,Colts
152,Ross Travis TE,3,4,6,51,12.8,0,25,1,17.0,1,1,29,1,Receiving,Colts
153,Dontrelle Inman WR,3,4,8,49,12.3,0,22,1,16.3,0,0,11,2,Receiving,Colts
154,Jordan Wilkins RB,14,7,11,43,6.1,0,11,0,3.1,0,0,32,1,Receiving,Colts
155,Devin Funchess WR,1,3,5,32,10.7,0,16,0,32.0,0,0,6,2,Receiving,Colts
156,Ashton Dulin WR,13,2,2,17,8.5,0,13,0,1.3,0,0,23,0,Receiving,Colts
157,Jacoby Brissett QB,15,1,1,2,2.0,0,2,0,0.1,0,0,8,0,Receiving,Colts
158,DJ Chark Jr. WR,15,73,118,1008,13.8,8,69,17,67.2,0,0,316,42,Receiving,Jaguars
159,Chris Conley WR,16,47,90,775,16.5,5,70,13,48.4,0,0,253,36,Receiving,Jaguars
160,Dede Westbrook WR,15,66,101,660,10.0,3,39,10,44.0,0,0,316,31,Receiving,Jaguars
161,Leonard Fournette RB,15,76,100,522,6.9,0,27,3,34.8,1,1,576,23,Receiving,Jaguars
162,Keelan Cole WR,16,24,35,361,15.0,3,55,5,22.6,0,0,101,19,Receiving,Jaguars
163,James O'Shaughnessy TE,5,14,20,153,10.9,2,35,1,30.6,0,0,90,7,Receiving,Jaguars
164,Ryquell Armstead RB,16,14,24,144,10.3,2,31,2,9.0,0,0,112,9,Receiving,Jaguars
165,Seth DeValve TE,12,12,18,140,11.7,0,20,1,11.7,0,0,64,7,Receiving,Jaguars
166,Nick O'Leary TE,5,9,13,72,8.0,1,15,0,14.4,0,0,21,2,Receiving,Jaguars
167,Geoff Swaim TE,6,13,17,65,5.0,0,9,0,10.8,0,0,46,1,Receiving,Jaguars
168,C.J. Board WR,4,2,4,31,15.5,0,23,1,7.8,0,0,6,1,Receiving,Jaguars
169,Devine Ozigbo RB,10,3,5,23,7.7,0,12,0,2.3,0,0,20,1,Receiving,Jaguars
170,Marqise Lee WR,6,3,4,18,6.0,0,8,0,3.0,0,0,5,2,Receiving,Jaguars
171,Michael Walker WR,7,2,3,15,7.5,0,9,0,2.1,0,0,7,1,Receiving,Jaguars
172,Josh Oliver TE,4,3,6,15,5.0,0,6,0,3.8,0,0,6,0,Receiving,Jaguars
173,Ben Koyack TE,11,1,3,9,9.0,0,9,0,0.8,0,0,3,0,Receiving,Jaguars
174,Cody Davis S,16,1,1,7,7.0,0,7,0,0.4,0,0,6,1,Receiving,Jaguars
175,Charles Jones TE,4,1,1,5,5.0,0,5,0,1.3,0,0,2,0,Receiving,Jaguars
176,A.J. Brown WR,16,52,84,1051,20.2,8,91,15,65.7,1,0,463,39,Receiving,Titans
177,Corey Davis WR,15,43,69,601,14.0,2,38,10,40.1,1,0,211,33,Receiving,Titans
178,Jonnu Smith TE,16,35,44,439,12.5,3,57,8,27.4,0,0,284,16,Receiving,Titans
179,Adam Humphries WR,12,37,47,374,10.1,2,30,4,31.2,0,0,122,20,Receiving,Titans
180,Tajae Sharpe WR,15,25,35,329,13.2,4,47,4,21.9,0,0,58,20,Receiving,Titans
181,Delanie Walker TE,7,21,31,215,10.2,2,29,1,30.7,1,0,73,11,Receiving,Titans
182,Derrick Henry RB,15,18,24,206,11.4,2,75,2,13.7,0,0,240,4,Receiving,Titans
183,Anthony Firkser TE,15,14,24,204,14.6,1,39,5,13.6,0,0,74,9,Receiving,Titans
184,Kalif Raymond WR,8,9,12,170,18.9,1,52,3,21.3,1,1,19,6,Receiving,Titans
185,Dion Lewis RB,16,25,32,164,6.6,1,24,2,10.3,0,0,197,7,Receiving,Titans
186,MyCole Pruitt TE,16,6,8,90,15.0,1,42,2,5.6,0,0,68,4,Receiving,Titans
187,Khari Blasingame RB,6,4,5,54,13.5,0,24,2,9.0,0,0,36,2,Receiving,Titans
188,Darius Jennings WR,8,2,5,17,8.5,0,11,0,2.1,0,0,15,2,Receiving,Titans
189,Rashard Davis WR,1,1,1,16,16.0,0,16,0,16.0,0,0,0,1,Receiving,Titans
190,Cody Hollister WR,5,2,2,13,6.5,0,11,0,2.6,0,0,1,0,Receiving,Titans
191,Kevin Byard S,16,1,1,11,11.0,0,11,0,0.7,0,0,8,1,Receiving,Titans
192,David Quessenberry G,4,1,1,1,1.0,1,1,0,0.3,0,0,0,1,Receiving,Titans
193,Dennis Kelly OT,15,1,1,1,1.0,1,1,0,0.1,0,0,0,1,Receiving,Titans
194,Courtland Sutton WR,16,72,124,1112,15.4,6,70,18,69.5,2,0,363,50,Receiving,Broncos
195,Noah Fant TE,16,40,66,562,14.1,3,75,10,35.1,1,1,388,23,Receiving,Broncos
196,Emmanuel Sanders WR,7,30,44,367,12.2,2,53,5,52.4,0,0,123,17,Receiving,Broncos
197,DaeSean Hamilton WR,16,28,52,297,10.6,1,28,4,18.6,0,0,129,19,Receiving,Broncos
198,Royce Freeman RB,16,43,50,256,6.0,1,19,0,16.0,0,0,268,10,Receiving,Broncos
199,Tim Patrick WR,8,16,31,218,13.6,0,38,3,27.3,0,0,41,14,Receiving,Broncos
200,Phillip Lindsay RB,16,35,48,196,5.6,0,36,1,12.3,0,0,256,9,Receiving,Broncos
201,Jeff Heuerman TE,14,14,20,114,8.1,1,26,1,8.1,0,0,47,9,Receiving,Broncos
202,Andrew Beck TE,16,9,12,90,10.0,1,29,1,5.6,0,0,68,6,Receiving,Broncos
203,Devontae Booker RB,16,6,9,57,9.5,0,25,1,3.6,0,0,41,1,Receiving,Broncos
204,Andy Janovich FB,7,5,5,42,8.4,0,22,1,6.0,0,0,35,1,Receiving,Broncos
205,Troy Fumagalli TE,11,6,9,38,6.3,1,9,0,3.5,0,0,17,1,Receiving,Broncos
206,Diontae Spencer WR,16,6,8,31,5.2,0,20,1,1.9,1,1,32,1,Receiving,Broncos
207,Fred Brown WR,13,2,3,21,10.5,0,16,0,1.6,0,0,0,1,Receiving,Broncos
208,Travis Kelce TE,16,97,136,1229,12.7,5,47,13,76.8,1,1,430,65,Receiving,Chiefs
209,Tyreek Hill WR,12,58,89,860,14.8,7,57,11,71.7,0,0,276,39,Receiving,Chiefs
210,Sammy Watkins WR,14,52,90,673,12.9,3,68,9,48.1,2,1,302,30,Receiving,Chiefs
211,Mecole Hardman WR,16,26,41,538,20.7,6,83,9,33.6,0,0,305,18,Receiving,Chiefs
212,Demarcus Robinson WR,16,32,55,449,14.0,4,44,7,28.1,0,0,105,19,Receiving,Chiefs
213,Damien Williams RB,11,30,37,213,7.1,2,32,1,19.4,0,0,241,10,Receiving,Chiefs
214,LeSean McCoy RB,13,28,34,181,6.5,1,23,2,13.9,1,1,247,6,Receiving,Chiefs
215,Byron Pringle WR,16,12,16,170,14.2,1,28,3,10.6,0,0,63,7,Receiving,Chiefs
216,Darrel Williams RB,12,15,19,167,11.1,1,52,2,13.9,0,0,188,7,Receiving,Chiefs
217,Blake Bell TE,15,8,15,67,8.4,0,30,1,4.5,0,0,10,3,Receiving,Chiefs
218,Deon Yelder TE,9,3,4,50,16.7,0,24,1,5.6,0,0,32,2,Receiving,Chiefs
219,Darwin Thompson RB,12,9,10,43,4.8,0,19,0,3.6,0,0,65,2,Receiving,Chiefs
220,Spencer Ware RB,3,5,7,22,4.4,0,18,0,7.3,1,0,16,1,Receiving,Chiefs
221,Anthony Sherman FB,16,2,3,22,11.0,0,15,0,1.4,0,0,27,2,Receiving,Chiefs
222,De'Anthony Thomas WR,6,1,2,6,6.0,0,6,0,1.0,0,0,3,0,Receiving,Chiefs
223,Darren Waller TE,16,90,117,1145,12.7,3,75,14,71.6,1,1,601,53,Receiving,Raiders
224,Tyrell Williams WR,14,42,64,651,15.5,6,46,12,46.5,0,0,204,33,Receiving,Raiders
225,Hunter Renfrow WR,13,49,71,605,12.3,4,65,7,46.5,0,0,327,31,Receiving,Raiders
226,Jalen Richard RB,16,36,43,323,9.0,0,33,5,20.2,1,0,249,15,Receiving,Raiders
227,DeAndre Washington RB,16,36,41,292,8.1,0,28,4,18.3,0,0,255,10,Receiving,Raiders
228,Foster Moreau TE,13,21,25,174,8.3,5,23,1,13.4,0,0,106,14,Receiving,Raiders
229,Josh Jacobs RB,13,20,27,166,8.3,0,28,2,12.8,0,0,188,8,Receiving,Raiders
230,Zay Jones WR,10,20,27,147,7.3,0,16,0,14.7,0,0,60,6,Receiving,Raiders
231,Keelan Doss WR,8,11,14,133,12.1,0,31,1,16.6,0,0,58,6,Receiving,Raiders
232,Marcell Ateman WR,11,5,10,116,23.2,0,36,3,10.5,1,1,29,3,Receiving,Raiders
233,Derek Carrier TE,16,13,19,108,8.3,1,25,2,6.8,0,0,50,4,Receiving,Raiders
234,Trevor Davis WR,9,7,10,83,11.9,0,21,1,9.2,1,1,58,3,Receiving,Raiders
235,Rico Gafford WR,4,2,2,66,33.0,1,49,1,16.5,0,0,18,2,Receiving,Raiders
236,Alec Ingold FB,16,6,6,44,7.3,1,14,0,2.8,0,0,41,4,Receiving,Raiders
237,J.J. Nelson WR,2,4,5,36,9.0,1,29,1,18.0,0,0,14,1,Receiving,Raiders
238,Ryan Grant WR,2,4,9,14,3.5,0,9,0,7.0,0,0,6,1,Receiving,Raiders
239,Dwayne Harris WR,3,1,1,7,7.0,0,7,0,2.3,0,0,8,0,Receiving,Raiders
240,Keenan Allen WR,16,104,149,1199,11.5,6,45,15,74.9,0,0,368,63,Receiving,Chargers
241,Mike Williams WR,15,49,90,1001,20.4,2,56,17,66.7,0,0,219,41,Receiving,Chargers
242,Austin Ekeler RB,16,92,108,993,10.8,8,84,9,62.1,2,1,944,42,Receiving,Chargers
243,Hunter Henry TE,12,55,76,652,11.9,5,30,8,54.3,1,1,174,36,Receiving,Chargers
244,Melvin Gordon RB,12,42,55,296,7.0,1,25,2,24.7,1,1,331,11,Receiving,Chargers
245,Dontrelle Inman WR,4,8,13,132,16.5,0,28,3,33.0,0,0,18,7,Receiving,Chargers
246,Virgil Green TE,15,9,13,78,8.7,1,15,0,5.2,0,0,43,4,Receiving,Chargers
247,Andre Patton WR,13,6,17,56,9.3,0,15,0,4.3,0,0,28,4,Receiving,Chargers
248,Lance Kendricks TE,12,3,7,50,16.7,0,24,1,4.2,0,0,10,3,Receiving,Chargers
249,Jason Moore WR,10,2,5,43,21.5,0,32,1,4.3,0,0,7,2,Receiving,Chargers
250,Geremy Davis WR,7,3,3,38,12.7,0,19,0,5.4,0,0,2,1,Receiving,Chargers
251,Derek Watt FB,16,3,5,32,10.7,0,21,1,2.0,0,0,28,1,Receiving,Chargers
252,Travis Benjamin WR,5,6,16,30,5.0,0,13,0,6.0,0,0,16,3,Receiving,Chargers
253,Justin Jackson RB,7,9,11,22,2.4,0,9,0,3.1,0,0,39,0,Receiving,Chargers
254,Troymaine Pope RB,14,2,3,14,7.0,1,13,0,1.0,0,0,13,1,Receiving,Chargers
255,Sean Culkin TE,4,1,2,12,12.0,0,12,0,3.0,0,0,3,1,Receiving,Chargers
256,Amari Cooper WR,16,79,119,1189,15.1,8,53,17,74.3,0,0,245,54,Receiving,Cowboys
257,Michael Gallup WR,14,66,113,1107,16.8,6,62,18,79.1,0,0,343,50,Receiving,Cowboys
258,Randall Cobb WR,15,55,83,828,15.1,3,59,15,55.2,2,1,343,41,Receiving,Cowboys
259,Jason Witten TE,16,63,83,529,8.4,4,33,2,33.1,1,1,171,27,Receiving,Cowboys
260,Ezekiel Elliott RB,16,54,71,420,7.8,2,27,3,26.3,0,0,402,21,Receiving,Cowboys
261,Blake Jarwin TE,16,31,41,365,11.8,3,42,8,22.8,1,0,160,17,Receiving,Cowboys
262,Tavon Austin WR,14,13,24,177,13.6,1,59,2,12.6,0,0,82,8,Receiving,Cowboys
263,Devin Smith WR,4,5,9,113,22.6,1,51,2,28.3,0,0,31,4,Receiving,Cowboys
264,Tony Pollard RB,15,15,20,107,7.1,1,21,1,7.1,0,0,139,4,Receiving,Cowboys
265,Cedrick Wilson WR,6,5,8,46,9.2,0,14,0,7.7,0,0,13,2,Receiving,Cowboys
266,Ventell Bryant WR,12,1,1,15,15.0,1,15,0,1.3,0,0,0,1,Receiving,Cowboys
267,Dalton Schultz TE,16,1,2,6,6.0,0,6,0,0.4,0,0,1,0,Receiving,Cowboys
268,Darius Slayton WR,14,48,84,740,15.4,8,55,12,52.9,0,0,198,32,Receiving,Giants
269,Golden Tate WR,11,49,85,676,13.8,6,64,10,61.5,1,1,289,30,Receiving,Giants
270,Sterling Shepard WR,10,57,83,576,10.1,3,36,8,57.6,0,0,180,29,Receiving,Giants
271,Evan Engram TE,8,44,68,467,10.6,3,75,4,58.4,0,0,254,23,Receiving,Giants
272,Saquon Barkley RB,13,52,73,438,8.4,2,65,6,33.7,1,0,441,14,Receiving,Giants
273,Cody Latimer WR,15,24,42,300,12.5,2,43,4,20.0,0,0,80,19,Receiving,Giants
274,Kaden Smith TE,9,31,42,268,8.6,3,32,3,29.8,2,0,89,12,Receiving,Giants
275,Bennie Fowler WR,8,23,36,193,8.4,0,17,0,24.1,0,0,26,12,Receiving,Giants
276,Rhett Ellison TE,10,18,28,167,9.3,1,31,3,16.7,0,0,85,4,Receiving,Giants
277,Wayne Gallman RB,10,11,15,102,9.3,1,21,3,10.2,0,0,109,4,Receiving,Giants
278,TJ Jones WR,3,3,4,38,12.7,1,28,1,12.7,0,0,20,2,Receiving,Giants
279,Cody Core WR,16,3,5,28,9.3,0,11,0,1.8,0,0,3,2,Receiving,Giants
280,Russell Shepard WR,3,3,8,25,8.3,0,12,0,8.3,0,0,15,1,Receiving,Giants
281,Da'Mari Scott WR,5,2,3,22,11.0,0,11,0,4.4,0,0,14,2,Receiving,Giants
282,Scott Simonson TE,5,2,2,11,5.5,0,10,0,2.2,0,0,3,1,Receiving,Giants
283,Javorius Allen RB,10,1,2,9,9.0,0,9,0,0.9,0,0,5,0,Receiving,Giants
284,Elijhaa Penny RB,16,2,4,9,4.5,0,9,0,0.6,0,0,21,0,Receiving,Giants
285,Jonathan Hilliman RB,3,3,4,1,0.3,0,5,0,0.3,1,1,9,0,Receiving,Giants
286,Zach Ertz TE,15,88,135,916,10.4,6,30,12,61.1,1,1,276,50,Receiving,Eagles
287,Dallas Goedert TE,15,58,87,607,10.5,5,28,8,40.5,2,2,363,33,Receiving,Eagles
288,Miles Sanders RB,16,50,63,509,10.2,3,45,8,31.8,0,0,419,19,Receiving,Eagles
289,Alshon Jeffery WR,10,43,73,490,11.4,4,38,6,49.0,0,0,133,36,Receiving,Eagles
290,Nelson Agholor WR,11,39,69,363,9.3,3,43,5,33.0,2,1,146,17,Receiving,Eagles
291,Greg Ward Jr. WR,7,28,40,254,9.1,1,38,1,36.3,0,0,105,18,Receiving,Eagles
292,Boston Scott RB,11,24,26,204,8.5,0,39,2,18.5,1,0,277,10,Receiving,Eagles
293,J.J. Arcega-Whiteside WR,16,10,22,169,16.9,1,30,4,10.6,0,0,21,7,Receiving,Eagles
294,DeSean Jackson WR,3,9,10,159,17.7,2,53,2,53.0,0,0,13,6,Receiving,Eagles
295,Mack Hollins WR,12,10,21,125,12.5,0,20,1,10.4,0,0,40,7,Receiving,Eagles
296,Josh Perkins TE,5,9,13,87,9.7,1,24,1,17.4,0,0,28,5,Receiving,Eagles
297,Jordan Howard RB,10,10,14,69,6.9,1,20,1,6.9,0,0,72,3,Receiving,Eagles
298,Deontay Burnett WR,1,2,4,48,24.0,0,41,1,48.0,0,0,6,1,Receiving,Eagles
299,Jordan Matthews WR,2,4,12,33,8.3,0,10,0,16.5,0,0,5,1,Receiving,Eagles
300,Darren Sproles RB,6,6,10,24,4.0,0,7,0,4.0,0,0,31,1,Receiving,Eagles
301,Robert Davis WR,3,1,3,6,6.0,0,6,0,2.0,0,0,2,1,Receiving,Eagles
302,Terry McLaurin WR,14,58,93,919,15.8,7,75,15,65.6,0,0,220,43,Receiving,Redskins
303,Chris Thompson RB,11,42,58,378,9.0,0,39,3,34.4,1,0,347,16,Receiving,Redskins
304,Kelvin Harmon WR,16,30,44,365,12.2,0,30,8,22.8,0,0,98,16,Receiving,Redskins
305,Steven Sims Jr. WR,16,34,56,310,9.1,4,65,2,19.4,0,0,167,18,Receiving,Redskins
306,Paul Richardson Jr. WR,10,28,42,245,8.8,2,22,1,24.5,0,0,54,13,Receiving,Redskins
307,Jeremy Sprinkle TE,16,26,40,241,9.3,1,23,2,15.1,1,0,102,13,Receiving,Redskins
308,Trey Quinn WR,12,26,47,198,7.6,1,19,0,16.5,1,1,58,10,Receiving,Redskins
309,Adrian Peterson RB,15,17,23,142,8.4,0,22,3,9.5,1,1,160,7,Receiving,Redskins
310,Vernon Davis TE,4,10,19,123,12.3,1,48,1,30.8,0,0,78,4,Receiving,Redskins
311,Hale Hentges TE,11,8,14,103,12.9,1,24,2,9.4,0,0,48,6,Receiving,Redskins
312,Derrius Guice RB,5,7,9,79,11.3,1,45,1,15.8,0,0,88,2,Receiving,Redskins
313,Wendell Smallwood RB,15,9,13,64,7.1,0,18,0,4.3,0,0,53,4,Receiving,Redskins
314,Cam Sims WR,7,2,3,27,13.5,0,15,0,3.9,0,0,9,1,Receiving,Redskins
315,Robert Davis WR,3,1,2,11,11.0,0,11,0,3.7,0,0,0,1,Receiving,Redskins
316,Allen Robinson II WR,16,98,154,1147,11.7,7,49,15,71.7,0,0,279,63,Receiving,Bears
317,Anthony Miller WR,16,52,85,656,12.6,2,35,11,41.0,0,0,227,34,Receiving,Bears
318,Tarik Cohen RB,16,79,104,456,5.8,3,31,2,28.5,1,0,437,18,Receiving,Bears
319,Taylor Gabriel WR,9,29,48,353,12.2,4,53,4,39.2,0,0,79,17,Receiving,Bears
320,Javon Wims WR,16,18,39,186,10.3,1,37,1,11.6,0,0,42,9,Receiving,Bears
321,David Montgomery RB,16,25,35,185,7.4,1,30,2,11.6,0,0,169,7,Receiving,Bears
322,J.P. Holtz TE,14,7,8,91,13.0,0,30,1,6.5,0,0,81,4,Receiving,Bears
323,Jesper Horsted TE,6,8,10,87,10.9,1,20,1,14.5,0,0,36,4,Receiving,Bears
324,Trey Burton TE,8,14,24,84,6.0,0,16,0,10.5,0,0,39,5,Receiving,Bears
