Rank,Name,Salary
230.0,Case Keenum8,3500000
230.0,DeVante Parker11,3500000
230.0,Ricardo Allen37,3500000
230.0,Denico Autry96,3500000
239.0,Jimmy Graham80,3450000
240.0,Barkevious Mingo50,3400000
240.0,Giovani Bernard25,3400000
240.0,Abry Jones95,3400000
243.0,Nickell Robey-Coleman31,3300000
244.0,Johnny Hekker6,3250000
244.0,Corey Peters98,3250000
249.0,Ronnie Stanley79,3243318
250.0,Myles Garrett95,3229750
251.0,Mason Crosby2,3200000
251.0,Ty Nsekhe77,3200000
253.0,Sam Koch4,3150000
254.0,Ali Marpet74,3125000
255.0,Darnell Savage26,3120000
256.0,Carlos Dunlap96,3100000
257.0,Patrick Onwuasor48,3095000
257.0,B.J. Finney67,3095000
257.0,Jonathan Jones31,3095000
257.0,Robby Anderson11,3095000
257.0,Ka'imi Fairbairn7,3095000
257.0,Jalen Richard30,3095000
257.0,Matthias Farley41,3095000
257.0,Michael Pierce98,3095000
257.0,Shelby Harris96,3095000
257.0,Trey Hopkins66,3095000
257.0,George Fant74,3095000
257.0,Cory Littleton58,3095000
257.0,Anthony Harris41,3095000
257.0,Evan Boehm76,3095000
257.0,Daryl Worley20,3095000
273.0,Devin Funchess11,3000000
273.0,Gerald McCoy93,3000000
273.0,Kareem Jackson22,3000000
273.0,Jaquiski Tartt29,3000000
273.0,Colt McCoy12,3000000
273.0,Quinton Dunbar23,3000000
273.0,Cordarrelle Patterson84,3000000
285.0,Marquise Goodwin1,2950000
285.0,Jordan Poyer21,2950000
285.0,Thomas Morstead6,2950000
285.0,Tahir Whitehead52,2950000
290.0,Leonard Fournette27,2933258
291.0,Bradley McDougald30,2900000
291.0,Anthony Barr55,2900000
296.0,Brian Hoyer2,2800000
297.0,Davante Adams17,2750000
297.0,Matt Ryan2,2750000
297.0,Chris Thompson25,2750000
297.0,Chris Thompson2,2750000
297.0,Brandon McManus8,2750000
297.0,Senio Kelemete64,2750000
297.0,Chris Smith50,2750000
297.0,Allen Bailey93,2750000
305.0,Britton Colquitt2,2700000
306.0,Quandre Diggs37,2657000
307.0,Jack Conklin78,2617862
308.0,Leonard Floyd94,2602208
309.0,Lane Taylor65,2600000
310.0,Jack Crawford95,2550000
313.0,Rob Havenstein79,2500000
313.0,Duron Harmon21,2500000
313.0,Johnson Bademosi29,2500000
313.0,Terrance Mitchell39,2500000
313.0,Kenny Wiggins79,2500000
313.0,James White28,2500000
313.0,Jamon Brown68,2500000
313.0,Ben Roethlisberger7,2500000
313.0,Virgil Green88,2500000
327.0,Christian Jones52,2450000
329.0,Sam Martin5,2400000
329.0,Lawrence Guy93,2400000
329.0,Jon Feliciano76,2400000
329.0,Bobby Massie70,2400000
335.0,Kevin Huber10,2350000
336.0,Greg Zuerlein2,2325000
337.0,Khalil Mack52,2300000
339.0,Dustin Hopkins3,2275000
340.0,Mike Williams81,2260448
342.0,Jordan Phillips97,2250000
342.0,Buster Skrine24,2250000
342.0,Ryan Griffin84,2250000
342.0,Ryan Griffin4,2250000
853.0,Ryan Griffin84,805000
853.0,Ryan Griffin4,805000
342.0,Daryl Williams60,2250000
342.0,Eddie Goldman91,2250000
342.0,Justin Ellis71,2250000
349.0,Cole Beasley10,2200000
349.0,Matt Prater5,2200000
351.0,Sheldon Rankins98,2195680
352.0,Laremy Tunsil78,2148770
353.0,Karl Joseph42,2070589
355.0,Christian McCaffrey22,2032390
356.0,Rashod Hill69,2025000
356.0,Will Parks28,2025000
356.0,Quinton Jefferson99,2025000
356.0,Jordan Howard24,2025000
356.0,De'Vondre Campbell59,2025000
356.0,Kenyan Drake41,2025000
356.0,Blake Martinez54,2025000
356.0,D.J. Reader98,2025000
356.0,Jordan Jenkins48,2025000
356.0,Justin Simmons31,2025000
356.0,Joe Schobert47,2025000
356.0,Austin Hooper81,2025000
356.0,Ryan Smith29,2025000
356.0,Wes Schweitzer71,2025000
356.0,Elandon Roberts52,2025000
356.0,Brennan Scarlett57,2025000
356.0,Connor McGovern60,2025000
356.0,Connor McGovern66,2025000
356.0,Graham Glasgow61,2025000
356.0,Brandon Dunn92,2025000
356.0,Caleb Benenoch74,2025000
356.0,Carl Nassib94,2025000
356.0,Tajae Sharpe19,2025000
356.0,Anthony Brown30,2025000
356.0,Xavier Grimble85,2025000
356.0,Troy Hill22,2025000
356.0,Maliek Collins96,2025000
356.0,Ken Crawley32,2025000
356.0,Dean Lowry94,2025000
356.0,Halapoulivaati Vaitai72,2025000
356.0,Peyton Barber25,2025000
356.0,Jatavis Brown53,2025000
356.0,Austin Blythe66,2025000
356.0,Yannick Ngakoue91,2025000
356.0,Brandon Shell72,2025000
356.0,Nick Kwiatkoski44,2025000
356.0,Kevin Byard31,2025000
356.0,Dak Prescott4,2025000
356.0,Joe Haeg73,2025000
356.0,Javon Hargrave93,2025000
356.0,Trevor Williams41,2025000
356.0,David Onyemata93,2025000
356.0,Tyler Higbee89,2025000
356.0,Jalen Mills21,2025000
356.0,Kendall Fuller29,2025000
356.0,Alex Lewis71,2025000
356.0,Jordan Lucas21,2025000
408.0,Eric Murray22,2015500
408.0,Demarcus Robinson11,2015500
410.0,Kyler Fackrell51,2010000
411.0,Jordan Hicks58,2000000
411.0,Beau Allen91,2000000
411.0,Jacoby Brissett7,2000000
411.0,Lerentee McCray55,2000000
411.0,Nate Ebner43,2000000
411.0,Adam Humphries10,2000000
411.0,Jeff Heath38,2000000
411.0,Stephen Hauschka4,2000000
411.0,Ereck Flowers77,2000000
411.0,Nick Easton62,2000000
411.0,Henry Anderson96,2000000
411.0,Randall Cobb18,2000000
411.0,Nick Vigil59,2000000
411.0,Angelo Blackson97,2000000
411.0,Laken Tomlinson75,2000000
411.0,Kevin Johnson29,2000000
411.0,Jared Cook87,2000000
411.0,Jimmie Ward20,2000000
411.0,Andre Roberts18,2000000
411.0,Jeff Heuerman82,2000000
411.0,Ty Sambrailo74,2000000
411.0,Andy Lee4,2000000
411.0,Ha Ha Clinton-Dix27,2000000
411.0,Jason Witten82,2000000
411.0,Le'Veon Bell26,2000000
411.0,Sean Lee50,2000000
411.0,Jason McCourty30,2000000
411.0,Breshad Perriman19,2000000
411.0,James Carpenter77,2000000
446.0,Joe Thuney62,1995000
447.0,Golden Tate15,1975000
448.0,Tyreek Hill10,1965036
449.0,Taylor Decker68,1945498
450.0,Keanu Neal22,1914224
452.0,Greg Olsen88,1900000
452.0,Lee Smith85,1900000
452.0,Michael Thomas31,1900000
452.0,Michael Thomas13,1900000
606.0,Michael Thomas31,1148041
606.0,Michael Thomas13,1148041
452.0,Patrick Chung23,1900000
456.0,Saquon Barkley26,1897943
457.0,Ryan Kelly78,1875134
459.0,Marshon Lattimore23,1861324
460.0,Shaq Lawson90,1851679
463.0,Josh Doctson13,1820405
464.0,Denzel Ward21,1805698
465.0,Laquon Treadwell80,1804770
466.0,Brett Kern6,1800000
466.0,Chris Jones95,1800000
466.0,Chris Jones25,1800000
466.0,Chris Jones6,1800000
596.0,Chris Jones95,1199714
596.0,Chris Jones25,1199714
596.0,Chris Jones6,1199714
1326.0,Chris Jones95,570000
1326.0,Chris Jones25,570000
1326.0,Chris Jones6,570000
466.0,Duke Johnson25,1800000
466.0,Tyler Kroft81,1800000
472.0,Artie Burns25,1757861
473.0,Kwon Alexander56,1750000
473.0,Joe Thomas48,1750000
473.0,Cody Davis22,1750000
473.0,Rex Burkhead34,1750000
473.0,Ryan Tannehill17,1750000
473.0,Quinton Spain67,1750000
479.0,Kenny Clark97,1726588
481.0,Deshaun Watson4,1724480
482.0,Seth Roberts15,1700000
485.0,Haason Reddick43,1690270
486.0,Derek Barnett96,1633252
487.0,Malik Hooker29,1610446
488.0,Derek Carrier85,1600000
488.0,Matthew Slater18,1600000
488.0,Patrick DiMarco42,1600000
491.0,Germain Ifedi74,1577060
492.0,K'Waun Williams24,1550000
492.0,Tevin Coleman26,1550000
494.0,Marlon Humphrey44,1542044
495.0,Jonathan Allen93,1519216
496.0,J.R. Sweezy64,1500000
496.0,DeMarcus Lawrence90,1500000
496.0,Jamison Crowder82,1500000
496.0,Sherrick McManis27,1500000
496.0,Jonotthan Harrison78,1500000
496.0,Justin Bethel29,1500000
496.0,Tress Way5,1500000
496.0,Mark Glowinski64,1500000
496.0,Steve McLendon99,1500000
496.0,Carl Davis79,1500000
496.0,Zach Kerr92,1500000
496.0,Jason Myers5,1500000
496.0,Rodney McLeod23,1500000
496.0,Greg Mancz65,1500000
496.0,K.J. Wright50,1500000
496.0,Adrian Phillips31,1500000
496.0,Brandon Copeland51,1500000
496.0,C.J. Uzomah87,1500000
496.0,Steven Nelson22,1500000
496.0,Ryan Fitzpatrick14,1500000
526.0,Adoree' Jackson25,1490708
527.0,Ben Banogu52,1482500
528.0,Randy Bullock4,1475000
529.0,O.J. Howard80,1473602
530.0,Garett Bolles72,1467900
531.0,Jarrad Davis40,1462198
532.0,Charles Harris,1450794
533.0,Geronimo Allison81,1450000
533.0,Jarrod Wilson26,1450000
541.0,Evan Engram88,1439391
542.0,Gareon Conley22,1416584
543.0,Tom Compton66,1410000
544.0,Jabrill Peppers21,1405181
545.0,Drew Brees9,1400000
545.0,Raheem Mostert31,1400000
545.0,Keith Smith40,1400000
545.0,Alex Erickson12,1400000
552.0,Takkarist McKinley98,1393775
553.0,Tre'Davious White27,1382374
554.0,Taco Charlton96,1376672
555.0,Eric Rowe21,1375000
555.0,Nick Dzubnar48,1375000
557.0,Emmanuel Ogbah90,1351315
558.0,Dennis Kelly71,1350000
558.0,Billy Turner77,1350000
558.0,Spencer Long61,1350000
562.0,Jaylon Smith54,1335678
563.0,David Njoku85,1330918
564.0,Roquan Smith58,1319871
565.0,Myles Jack44,1313787
566.0,T.J. Watt90,1306688
567.0,Rashaan Melvin22,1300000
568.0,Xavien Howard25,1285642
569.0,Erik Harris25,1275000
570.0,Ryan Ramczyk71,1273323
571.0,Noah Spence57,1273132
572.0,Sterling Shepard87,1260623
573.0,Pat O'Donnell16,1250000
573.0,Adrian Amos31,1250000
573.0,Stefen Wisniewski61,1250000
573.0,Al Woods97,1250000
573.0,Roosevelt Nix33,1250000
573.0,Beau Brinkley48,1250000
573.0,Matt Barkley5,1250000
573.0,Teddy Bridgewater5,1250000
573.0,Demetrius Harris86,1250000
573.0,Tyson Alualu94,1250000
573.0,Kenny Vaccaro24,1250000
573.0,Bruce Irvin51,1250000
589.0,Kamalei Correa44,1234043
590.0,Minkah Fitzpatrick39,1227626
591.0,Deshazor Everett22,1225000
592.0,Austin Johnson98,1222122
593.0,Kendall Lamm70,1200000
597.0,Reggie Ragland59,1196551
598.0,Derrick Henry22,1187445
599.0,Hunter Henry86,1170042
600.0,A'Shawn Robinson91,1163678
601.0,Vita Vea50,1153829
602.0,Kyle Wilber58,1150000
602.0,Jordan Berry4,1150000
607.0,Vernon Butler92,1144980
609.0,Tre Boston33,1125000
609.0,Mike Remmers75,1125000
609.0,Brett Hundley7,1125000
614.0,Jarran Reed91,1116769
615.0,Kevin King20,1108717
616.0,Cam Robinson74,1103015
617.0,Nick Martin66,1101133
618.0,Mark Nzeocha53,1100000
618.0,Max Garcia73,1100000
618.0,Aaron Rodgers12,1100000
618.0,Jason Verrett22,1100000
618.0,Eric Kush72,1100000
625.0,Kolton Miller74,1092333
626.0,Budda Baker32,1085910
627.0,Zay Jones12,1081348
629.0,Forrest Lamp77,1071084
630.0,Deion Jones45,1069860
631.0,Marcus Maye20,1060822
632.0,Tremaine Edmunds49,1055434
633.0,Curtis Samuel10,1051698
634.0,Marcedes Lewis89,1050000
634.0,Damien Williams26,1050000
638.0,Derwin James33,1043134
639.0,Dalvin Cook33,1042576
640.0,Mackensie Alexander21,1038587
641.0,Marcus Williams43,1032313
642.0,Richie Incognito64,1030000
642.0,Adrian Peterson26,1030000
642.0,Clark Harris46,1030000
642.0,Andre Smith57,1030000
642.0,Andre Smith76,1030000
1326.0,Andre Smith57,570000
1326.0,Andre Smith76,570000
642.0,DeSean Jackson10,1030000
642.0,L.P. Ladouceur91,1030000
