,Tremaine Edmunds LB,"('Unnamed: 0_level_0', 'GP')","('Tackles', 'SOLO')","('Tackles', 'AST')","('Tackles', 'TOT')","('Sacks', 'SACK')","('Sacks', 'SCKYDS')","('Sacks', 'TFL')","('Interceptions', 'PD')","('Interceptions', 'INT')","('Interceptions', 'YDS')","('Interceptions', 'LNG')","('Interceptions', 'TD')","('Fumbles', 'FF')","('Fumbles', 'FR')","('Fumbles', 'FTD')","('Unnamed: 15_level_0', 'KB')",class,team,Jerome Baker LB,Jamie Collins Sr. LB,James Burgess LB,Chuck Clark S,Shawn Williams S,Joe Schobert LB,Devin Bush LB,Zach Cunningham LB,Anthony Walker LB,Jarrod Wilson S,Logan Ryan CB,Todd Davis LB,Anthony Hitchens LB,Tahir Whitehead LB,Thomas Davis Sr. LB,Jaylon Smith LB,Antoine Bethea S,Malcolm Jenkins S,Landon Collins S,Roquan Smith LB,Tracy Walker S,Blake Martinez LB,Eric Kendricks LB,De'Vondre Campbell LB,Luke Kuechly LB,Demario Davis LB,Lavonte David LB,Jordan Hicks LB,Cory Littleton LB,Fred Warner LB,Bobby Wagner LB
30,Zay Jones WR,16,2,0,2,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Defense,Bills,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,T.J. Yeldon RB,5,2,0,2,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Defense,Bills,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Spencer Long C,6,1,1,2,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Defense,Bills,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Jon Feliciano G,14,1,1,2,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Defense,Bills,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Reid Ferguson LS,16,2,0,2,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Defense,Bills,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Dion Dawkins OT,16,1,0,1,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Defense,Bills,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Josh Allen QB,16,1,0,1,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Defense,Bills,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Patrick DiMarco FB,16,1,0,1,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Defense,Bills,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,16,76,50,126,1.5,13,6.5,4,1,34,34,0,2,0,0,0,Defense,Dolphins,Eric Rowe CB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,16,54,27,81,0.0,0,1.0,8,1,35,35,1,1,0,0,0,Defense,Dolphins,Davon Godchaux DT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,16,33,42,75,2.0,9,5.0,1,0,0,0,0,0,0,0,0,Defense,Dolphins,Raekwon McMillan LB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,13,35,37,72,0.0,0,2.0,1,0,0,0,0,0,0,0,0,Defense,Dolphins,Vince Biegel LB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,15,27,32,59,2.5,18,6.0,1,1,7,7,0,0,0,0,0,Defense,Dolphins,Jamal Perry CB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,14,39,19,58,0.0,0,2.5,6,1,0,0,0,0,0,0,0,Defense,Dolphins,Christian Wilkins DT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,16,30,26,56,2.0,14,4.0,2,0,0,0,0,0,0,0,0,Defense,Dolphins,Nik Needham CB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,12,41,13,54,1.0,7,1.0,11,2,23,23,0,1,0,0,0,Defense,Dolphins,Sam Eguavoen LB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,16,22,20,42,3.5,22,7.0,1,0,0,0,0,0,1,0,0,Defense,Dolphins,John Jenkins DT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
