,Tremaine Edmunds LB,"('Unnamed: 0_level_0', 'GP')","('Tackles', 'SOLO')","('Tackles', 'AST')","('Tackles', 'TOT')","('Sacks', 'SACK')","('Sacks', 'SCKYDS')","('Sacks', 'TFL')","('Interceptions', 'PD')","('Interceptions', 'INT')","('Interceptions', 'YDS')","('Interceptions', 'LNG')","('Interceptions', 'TD')","('Fumbles', 'FF')","('Fumbles', 'FR')","('Fumbles', 'FTD')","('Unnamed: 15_level_0', 'KB')",class,team,Jerome Baker LB,Jamie Collins Sr. LB,James Burgess LB,Chuck Clark S,Shawn Williams S,Joe Schobert LB,Devin Bush LB,Zach Cunningham LB,Anthony Walker LB,Jarrod Wilson S,Logan Ryan CB,Todd Davis LB,Anthony Hitchens LB,Tahir Whitehead LB,Thomas Davis Sr. LB,Jaylon Smith LB,Antoine Bethea S,Malcolm Jenkins S,Landon Collins S,Roquan Smith LB,Tracy Walker S,Blake Martinez LB,Eric Kendricks LB,De'Vondre Campbell LB,Luke Kuechly LB,Demario Davis LB,Lavonte David LB,Jordan Hicks LB,Cory Littleton LB,Fred Warner LB,Bobby Wagner LB
1,,12,44,31,75,3.0,18,6.0,5,2,13,9,0,0,0,0,0,Defense,Jets,,,Jamal Adams S,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,14,61,14,75,6.5,45,13.5,7,1,61,61,1,2,1,1,0,Defense,Jets,,,Marcus Maye S,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,16,50,15,65,0.0,0,1.0,7,1,0,0,0,0,0,0,0,Defense,Jets,,,Darryl Roberts CB,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,13,58,5,63,0.0,0,2.0,6,1,13,13,0,0,0,0,0,Defense,Jets,,,Brian Poole CB,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,14,48,11,59,0.0,0,4.5,5,1,15,15,1,1,0,0,0,Defense,Jets,,,Brandon Copeland LB,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,12,27,15,42,1.5,8,6.5,2,0,0,0,0,1,0,0,0,Defense,Jets,,,Blake Cashman LB,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,7,27,13,40,0.5,4,4.0,1,0,0,0,0,0,1,0,0,Defense,Jets,,,Kyle Phillips DE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,15,21,18,39,1.5,5,9.0,1,0,0,0,0,0,0,0,0,Defense,Jets,,,Arthur Maulet CB,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,12,26,12,38,0.0,0,4.5,2,1,13,13,0,0,1,1,0,Defense,Jets,,,Steve McLendon DT,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,16,21,15,36,2.5,23,10.0,0,0,0,0,0,0,1,0,0,Defense,Jets,,,Tarell Basham LB,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,16,18,15,33,2.0,10,4.0,6,1,1,1,0,0,1,0,1,Defense,Jets,,,Jordan Jenkins LB,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,14,21,11,32,8.0,42,12.0,3,0,0,0,0,2,0,0,0,Defense,Jets,,,Quinnen Williams DT,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,13,15,13,28,2.5,16,6.0,1,0,0,0,0,0,1,0,0,Defense,Jets,,,Folorunso Fatukasi DT,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,14,14,13,27,1.0,5,8.0,1,0,0,0,0,0,0,0,0,Defense,Jets,,,Trumaine Johnson CB,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,7,22,3,25,0.0,0,1.0,2,1,3,3,0,0,0,0,0,Defense,Jets,,,Blessuan Austin CB,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,7,19,6,25,0.0,0,0.0,4,0,0,0,0,1,0,0,0,Defense,Jets,,,Henry Anderson DE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,,13,14,11,25,1.0,3,2.0,0,0,0,0,0,0,0,0,0,Defense,Jets,,,Maurice Canady CB,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,,8,18,7,25,0.0,0,1.0,2,0,0,0,0,0,0,0,0,Defense,Jets,,,Nate Hairston CB,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,,11,21,3,24,0.0,0,2.0,3,1,0,0,0,0,0,0,0,Defense,Jets,,,Leonard Williams DE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,7,8,12,20,0.0,0,1.0,1,0,0,0,0,0,0,0,0,Defense,Jets,,,Harvey Langi LB,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,,16,10,6,16,0.0,0,1.5,1,0,0,0,0,0,0,0,0,Defense,Jets,,,Frankie Luvu LB,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,,13,10,2,12,1.0,9,1.0,0,0,0,0,0,0,0,0,0,Defense,Jets,,,Nathan Shepherd DT,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,,9,6,5,11,2.0,23,5.0,0,0,0,0,0,0,0,0,0,Defense,Jets,,,Albert McClellan LB,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,,5,5,4,9,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Defense,Jets,,,C.J. Mosley LB,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,,2,4,5,9,0.0,0,0.0,2,1,17,17,1,0,1,0,0,Defense,Jets,,,Jordan Willis DE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,,9,4,3,7,1.0,1,1.5,0,0,0,0,0,1,0,0,0,Defense,Jets,,,Rontez Miles S,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,,7,3,4,7,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Defense,Jets,,,Ryan Griffin TE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,,13,5,1,6,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Defense,Jets,,,Matthias Farley S,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,,13,5,1,6,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Defense,Jets,,,Daniel Brown TE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,,16,4,2,6,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Defense,Jets,,,B.J. Bello LB,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,,8,3,2,5,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Defense,Jets,,,Kyron Brown CB,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,,3,5,0,5,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Defense,Jets,,,Jamison Crowder WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,,16,5,0,5,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Defense,Jets,,,Thomas Hennessy LS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,,16,3,1,4,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Defense,Jets,,,Josh Bellamy WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,,7,1,2,3,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Defense,Jets,,,Vyncint Smith WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,,13,2,1,3,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Defense,Jets,,,Trenton Cannon RB,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,,4,1,2,3,0.0,0,0.0,0,0,0,0,0,0,1,0,0,Defense,Jets,,,Trevon Wesco TE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,,16,2,1,3,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Defense,Jets,,,Bronson Kaufusi DE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,,3,2,1,3,0.5,4,0.5,0,0,0,0,0,0,0,0,0,Defense,Jets,,,Robby Anderson WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,,16,3,0,3,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Defense,Jets,,,Braxton Berrios WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,,16,1,1,2,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Defense,Jets,,,Lachlan Edwards P,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,,16,1,1,2,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Defense,Jets,,,Ty Montgomery RB,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,,16,2,0,2,0.0,0,0.0,0,0,0,0,0,1,0,0,0,Defense,Jets,,,Sam Ficken PK,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,,15,2,0,2,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Defense,Jets,,,Bilal Powell RB,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,,13,1,0,1,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Defense,Jets,,,Brandon Shell OT,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,,15,1,0,1,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Defense,Jets,,,Alex Lewis G,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,,15,0,1,1,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Defense,Jets,,,Kelechi Osemele G,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,,3,0,1,1,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Defense,Jets,,,Bennett Jackson S,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,,2,1,0,1,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Defense,Jets,,,Chuma Edoga OT,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,16,45,28,73,1.0,8,3.5,9,1,12,12,0,2,0,0,0,Defense,Ravens,,,,Marlon Humphrey CB,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,16,53,12,65,0.0,0,5.0,14,3,14,14,0,2,3,2,1,Defense,Ravens,,,,Patrick Onwuasor LB,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,14,48,16,64,3.0,23,5.0,1,0,0,0,0,1,0,0,0,Defense,Ravens,,,,Matthew Judon LB,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,16,43,11,54,9.5,85,18.0,0,0,0,0,0,4,0,0,0,Defense,Ravens,,,,Earl Thomas III S,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,15,32,17,49,2.0,12,3.5,4,2,38,24,0,1,1,0,0,Defense,Ravens,,,,Brandon Carr CB,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,16,41,8,49,2.0,14,4.0,6,0,0,0,0,0,0,0,0,Defense,Ravens,,,,Josh Bynes LB,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,12,23,23,46,1.0,0,7.0,4,2,7,6,0,0,0,0,0,Defense,Ravens,,,,Marcus Peters CB,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,10,31,8,39,0.0,0,0.0,10,3,178,89,2,0,0,0,0,Defense,Ravens,,,,L.J. Fort LB,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,12,21,14,35,2.0,12,4.0,1,0,0,0,0,0,0,0,0,Defense,Ravens,,,,Michael Pierce DT,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,14,19,16,35,0.5,3,4.0,0,0,0,0,0,0,1,0,0,Defense,Ravens,,,,Brandon Williams DT,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,14,13,21,34,1.0,6,2.0,0,0,0,0,0,0,1,0,0,Defense,Ravens,,,,Chris Wormley NT,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,16,17,16,33,1.5,7,3.0,2,0,0,0,0,0,0,0,0,Defense,Ravens,,,,Jaylon Ferguson LB,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,14,20,11,31,2.5,18,6.5,1,0,0,0,0,0,1,0,0,Defense,Ravens,,,,Jimmy Smith CB,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,9,28,2,30,1.0,8,1.5,6,1,7,7,0,0,0,0,0,Defense,Ravens,,,,Tyus Bowser LB,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,16,20,4,24,5.0,35,4.5,2,0,0,0,0,1,1,1,0,Defense,Ravens,,,,Tony Jefferson S,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,5,11,10,21,0.0,0,0.0,3,0,0,0,0,0,0,0,0,Defense,Ravens,,,,Maurice Canady CB,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,5,19,2,21,0.0,0,0.0,3,1,3,3,0,1,0,0,0,Defense,Ravens,,,,Pernell McPhee LB,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,,7,17,2,19,3.0,18,6.0,1,0,0,0,0,0,0,0,0,Defense,Ravens,,,,Anthony Averett CB,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,,9,14,1,15,0.0,0,1.0,2,0,0,0,0,0,0,0,0,Defense,Ravens,,,,Anthony Levine Sr. S,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,,16,12,2,14,0.0,0,1.0,0,0,0,0,0,0,0,0,0,Defense,Ravens,,,,Domata Peko Sr. DT,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,7,7,7,14,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Defense,Ravens,,,,Kenny Young LB,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,,5,11,2,13,0.0,0,3.0,0,0,0,0,0,1,0,0,0,Defense,Ravens,,,,Chris Board LB,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,,15,6,4,10,0.0,0,2.0,0,0,0,0,0,1,0,0,0,Defense,Ravens,,,,Patrick Ricard FB,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,,16,8,1,9,1.0,10,2.0,1,0,0,0,0,1,0,0,1,Defense,Ravens,,,,Jihad Ward DE,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,,11,3,4,7,1.0,8,1.0,0,0,0,0,0,0,2,0,0,Defense,Ravens,,,,Brynden Trawick S,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,,6,5,1,6,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Defense,Ravens,,,,DeShon Elliott S,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,,6,6,0,6,0.0,0,0.0,1,0,0,0,0,0,0,0,0,Defense,Ravens,,,,Justin Ellis DT,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,,4,2,4,6,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Defense,Ravens,,,,Justin Bethel CB,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,,7,4,2,6,0.0,0,0.0,0,0,0,0,0,0,1,0,0,Defense,Ravens,,,,De'Anthony Thomas WR,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,,8,5,0,5,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Defense,Ravens,,,,Jordan Richards S,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,,9,4,1,5,0.0,0,0.0,0,0,0,0,0,0,1,1,0,Defense,Ravens,,,,Bennett Jackson S,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,,4,2,3,5,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Defense,Ravens,,,,Cyrus Jones CB,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,,8,3,1,4,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Defense,Ravens,,,,Chris Moore WR,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,,14,2,2,4,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Defense,Ravens,,,,Zach Sieler DT,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,,4,2,1,3,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Defense,Ravens,,,,Gus Edwards RB,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,,16,3,0,3,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Defense,Ravens,,,,Tim Williams LB,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,,4,2,0,2,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Defense,Ravens,,,,Nick Boyle TE,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,,16,2,0,2,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Defense,Ravens,,,,Ronnie Stanley OT,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,,14,1,0,1,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Defense,Ravens,,,,Justice Hill RB,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,,16,1,0,1,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Defense,Ravens,,,,Mark Ingram II RB,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,,15,1,0,1,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Defense,Ravens,,,,Marshal Yanda G,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,,15,1,0,1,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Defense,Ravens,,,,Patrick Mekari G,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,,11,1,0,1,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Defense,Ravens,,,,Sam Koch P,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,,16,1,0,1,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Defense,Ravens,,,,Bradley Bozeman G,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,,16,1,0,1,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Defense,Ravens,,,,Lamar Jackson QB,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,,15,1,0,1,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Defense,Ravens,,,,Iman Marshall CB,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,,3,1,0,1,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Defense,Ravens,,,,Mark Andrews TE,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,,15,1,0,1,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Defense,Ravens,,,,Willie Snead IV WR,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,16,80,34,114,1.0,3,6.0,3,1,12,12,0,0,0,0,0,Defense,Bengals,,,,,Nick Vigil LB,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,16,60,51,111,1.0,0,5.0,5,1,34,34,0,1,2,0,0,Defense,Bengals,,,,,Jessie Bates III S,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,16,70,29,99,0.0,0,0.5,9,3,33,20,0,1,1,0,0,Defense,Bengals,,,,,Germaine Pratt LB,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,16,50,26,76,0.0,0,3.5,0,0,0,0,0,0,0,0,0,Defense,Bengals,,,,,Sam Hubbard DE,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,15,46,30,76,8.5,56,11.0,3,0,0,0,0,1,0,0,0,Defense,Bengals,,,,,Carlos Dunlap DE,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,14,39,24,63,9.0,63,17.0,8,0,0,0,0,2,0,0,0,Defense,Bengals,,,,,Preston Brown LB,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,9,27,27,54,0.0,0,0.5,0,0,0,0,0,1,1,0,0,Defense,Bengals,,,,,Geno Atkins DT,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,16,18,29,47,4.5,23,6.5,0,0,0,0,0,0,0,0,0,Defense,Bengals,,,,,B.W. Webb CB,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,15,30,7,37,0.0,0,1.0,7,1,1,1,0,0,0,0,0,Defense,Bengals,,,,,Darqueze Dennard CB,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,9,25,12,37,0.0,0,2.0,5,0,0,0,0,0,0,0,0,Defense,Bengals,,,,,William Jackson III CB,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,14,26,11,37,0.0,0,1.0,3,1,19,19,0,0,0,0,0,Defense,Bengals,,,,,Andrew Billings DT,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,16,18,17,35,1.0,13,5.0,0,0,0,0,0,0,0,0,0,Defense,Bengals,,,,,Dre Kirkpatrick CB,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,6,27,6,33,1.0,9,2.0,4,0,0,0,0,0,1,0,0,Defense,Bengals,,,,,Josh Tupou DT,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,16,14,13,27,0.0,0,4.0,0,0,0,0,0,1,0,0,0,Defense,Bengals,,,,,Brandon Wilson S,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,12,14,10,24,0.0,0,0.0,0,0,0,0,0,2,0,0,0,Defense,Bengals,,,,,Carl Lawson DE,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,12,17,6,23,5.0,36,6.5,0,0,0,0,0,0,0,0,0,Defense,Bengals,,,,,Tony McRae CB,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,16,17,5,22,0.0,0,1.0,1,0,0,0,0,0,0,0,0,Defense,Bengals,,,,,Clayton Fejedelem S,,,,,,,,,,,,,,,,,,,,,,,,,,
17,,16,13,2,15,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Defense,Bengals,,,,,Andrew Brown DE,,,,,,,,,,,,,,,,,,,,,,,,,,
18,,14,10,4,14,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Defense,Bengals,,,,,Jordan Evans LB,,,,,,,,,,,,,,,,,,,,,,,,,,
19,,16,6,6,12,0.0,0,0.0,1,0,0,0,0,0,0,0,0,Defense,Bengals,,,,,Renell Wren DT,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,11,4,4,8,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Defense,Bengals,,,,,Ryan Glasgow DT,,,,,,,,,,,,,,,,,,,,,,,,,,
21,,5,1,6,7,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Defense,Bengals,,,,,Cethan Carter TE,,,,,,,,,,,,,,,,,,,,,,,,,,
22,,15,4,3,7,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Defense,Bengals,,,,,Hardy Nickerson LB,,,,,,,,,,,,,,,,,,,,,,,,,,
23,,7,5,1,6,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Defense,Bengals,,,,,LaRoy Reynolds LB,,,,,,,,,,,,,,,,,,,,,,,,,,
24,,15,5,1,6,0.0,0,0.0,1,0,0,0,0,0,0,0,0,Defense,Bengals,,,,,Stanley Morgan WR,,,,,,,,,,,,,,,,,,,,,,,,,,
25,,11,4,1,5,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Defense,Bengals,,,,,Anthony Zettel DE,,,,,,,,,,,,,,,,,,,,,,,,,,
26,,4,3,2,5,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Defense,Bengals,,,,,Darius Phillips CB,,,,,,,,,,,,,,,,,,,,,,,,,,
27,,8,4,1,5,0.0,0,0.0,7,4,82,28,0,0,0,0,0,Defense,Bengals,,,,,Samaje Perine RB,,,,,,,,,,,,,,,,,,,,,,,,,,
28,,6,3,1,4,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Defense,Bengals,,,,,Kerry Wynn DE,,,,,,,,,,,,,,,,,,,,,,,,,,
29,,2,0,3,3,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Defense,Bengals,,,,,Tyler Eifert TE,,,,,,,,,,,,,,,,,,,,,,,,,,
30,,16,3,0,3,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Defense,Bengals,,,,,Tyler Boyd WR,,,,,,,,,,,,,,,,,,,,,,,,,,
31,,16,3,0,3,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Defense,Bengals,,,,,Trey Hopkins G,,,,,,,,,,,,,,,,,,,,,,,,,,
32,,16,1,1,2,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Defense,Bengals,,,,,Greg Mabin CB,,,,,,,,,,,,,,,,,,,,,,,,,,
33,,9,2,0,2,0.0,0,0.0,1,0,0,0,0,0,0,0,0,Defense,Bengals,,,,,Torry McTyer CB,,,,,,,,,,,,,,,,,,,,,,,,,,
34,,5,2,0,2,0.0,0,1.0,0,0,0,0,0,0,0,0,0,Defense,Bengals,,,,,Andy Dalton QB,,,,,,,,,,,,,,,,,,,,,,,,,,
35,,13,2,0,2,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Defense,Bengals,,,,,C.J. Uzomah TE,,,,,,,,,,,,,,,,,,,,,,,,,,
36,,16,1,1,2,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Defense,Bengals,,,,,Drew Sample TE,,,,,,,,,,,,,,,,,,,,,,,,,,
37,,9,1,0,1,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Defense,Bengals,,,,,Alex Erickson WR,,,,,,,,,,,,,,,,,,,,,,,,,,
38,,16,1,0,1,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Defense,Bengals,,,,,John Ross III WR,,,,,,,,,,,,,,,,,,,,,,,,,,
39,,8,1,0,1,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Defense,Bengals,,,,,Trayvon Henderson S,,,,,,,,,,,,,,,,,,,,,,,,,,
40,,4,0,1,1,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Defense,Bengals,,,,,Andre Smith OT,,,,,,,,,,,,,,,,,,,,,,,,,,
41,,6,1,0,1,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Defense,Bengals,,,,,Giovani Bernard RB,,,,,,,,,,,,,,,,,,,,,,,,,,
42,,16,1,0,1,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Defense,Bengals,,,,,John Miller G,,,,,,,,,,,,,,,,,,,,,,,,,,
43,,13,0,1,1,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Defense,Bengals,,,,,John Jerry G,,,,,,,,,,,,,,,,,,,,,,,,,,
44,,11,1,0,1,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Defense,Bengals,,,,,Cordy Glenn OT,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,16,89,44,133,2.0,19,6.5,9,4,24,20,0,2,1,0,0,Defense,Browns,,,,,,Mack Wilson LB,,,,,,,,,,,,,,,,,,,,,,,,,
1,,16,57,25,82,1.0,8,5.0,7,1,21,21,0,1,0,0,0,Defense,Browns,,,,,,Sheldon Richardson DT,,,,,,,,,,,,,,,,,,,,,,,,,
2,,16,43,19,62,3.0,17,5.5,4,0,0,0,0,3,0,0,0,Defense,Browns,,,,,,Damarious Randall S,,,,,,,,,,,,,,,,,,,,,,,,,
3,,11,45,16,61,2.5,13,3.5,6,0,0,0,0,0,0,0,0,Defense,Browns,,,,,,T.J. Carrie CB,,,,,,,,,,,,,,,,,,,,,,,,,
4,,16,40,12,52,1.0,3,4.0,4,1,0,0,0,1,1,0,0,Defense,Browns,,,,,,Larry Ogunjobi DT,,,,,,,,,,,,,,,,,,,,,,,,,
5,,15,35,15,50,5.5,40,10.0,1,0,0,0,0,0,0,0,0,Defense,Browns,,,,,,Greedy Williams CB,,,,,,,,,,,,,,,,,,,,,,,,,
6,,12,37,10,47,0.0,0,3.0,2,0,0,0,0,0,0,0,0,Defense,Browns,,,,,,Denzel Ward CB,,,,,,,,,,,,,,,,,,,,,,,,,
7,,12,38,6,44,0.0,0,1.0,11,2,61,61,1,0,1,0,1,Defense,Browns,,,,,,Sheldrick Redwine S,,,,,,,,,,,,,,,,,,,,,,,,,
8,,12,28,14,42,0.0,0,0.0,2,0,0,0,0,0,0,0,0,Defense,Browns,,,,,,Morgan Burnett S,,,,,,,,,,,,,,,,,,,,,,,,,
9,,8,26,15,41,2.0,19,4.5,2,1,43,43,0,0,0,0,0,Defense,Browns,,,,,,Jermaine Whitehead S,,,,,,,,,,,,,,,,,,,,,,,,,
