,Stephen Hauschka PK,"('Unnamed: 0_level_0', 'GP')","('Touchdowns', 'RUSH')","('Touchdowns', 'REC')","('Touchdowns', 'RET')","('Touchdowns', 'TD')","('Scoring', 'FG')","('Scoring', 'PAT')","('Scoring', '2PT')","('Scoring', 'PTS')","('Scoring', 'TP/G')",class,team,Jason Sanders PK,Nick Folk PK,Sam Ficken PK,Justin Tucker PK,Randy Bullock PK,Austin Seibert PK,Chris Boswell PK,Ka'imi Fairbairn PK,Adam Vinatieri PK,Josh Lambo PK,Derrick Henry RB,Brandon McManus PK,Harrison Butker PK,Daniel Carlson PK,Austin Ekeler RB,Brett Maher PK,Aldrick Rosas PK,Jake Elliott PK,Dustin Hopkins PK,Eddy Pineiro PK,Matt Prater PK,Aaron Jones RB,Dan Bailey PK,Younghoe Koo PK,Christian McCaffrey RB,Wil Lutz PK,Matt Gay PK,Zane Gonzalez PK,Greg Zuerlein PK,Robbie Gould PK,Jason Myers PK
11,,7,0,2,0,2,0,0,0,12,1.7,Scoring,Patriots,,Kyle Van Noy LB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,15,0,0,1,1,0,0,0,6,0.4,Scoring,Patriots,,Matt LaCosse TE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,11,0,1,0,1,0,0,0,6,0.5,Scoring,Patriots,,Ryan Izzo TE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,6,0,1,0,1,0,0,0,6,1.0,Scoring,Patriots,,Mohamed Sanu Sr. WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,8,0,1,0,1,0,0,0,6,0.8,Scoring,Patriots,,Dont'a Hightower LB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,15,0,0,1,1,0,0,0,6,0.4,Scoring,Patriots,,Jamie Collins Sr. LB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,,16,0,0,1,1,0,0,0,6,0.4,Scoring,Patriots,,Josh Gordon WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,,6,0,1,0,1,0,0,0,6,1.0,Scoring,Patriots,,Chase Winovich DE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,,16,0,0,1,1,0,0,0,6,0.4,Scoring,Patriots,,Antonio Brown WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,1,0,1,0,1,0,0,0,6,6.0,Scoring,Patriots,,Elandon Roberts LB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,,16,0,1,0,1,0,0,0,6,0.4,Scoring,Patriots,,Matthew Slater WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,,16,0,0,1,1,0,0,0,6,0.4,Scoring,Patriots,,Kai Forbath PK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,15,0,0,0,0,19,23,0,80,5.3,Scoring,Jets,,,Jamison Crowder WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,16,0,6,0,6,0,0,0,36,2.3,Scoring,Jets,,,Ryan Griffin TE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,13,0,5,0,5,0,0,1,32,2.5,Scoring,Jets,,,Robby Anderson WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,16,0,5,0,5,0,0,1,32,2.0,Scoring,Jets,,,Le'Veon Bell RB,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,15,3,1,0,4,0,0,1,26,1.7,Scoring,Jets,,,Jamal Adams S,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,14,0,0,2,2,0,0,0,12,0.9,Scoring,Jets,,,Sam Darnold QB,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,13,2,0,0,2,0,0,0,12,0.9,Scoring,Jets,,,Brian Poole CB,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,14,0,0,1,1,0,0,0,8,0.6,Scoring,Jets,,,Demaryius Thomas WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,11,0,1,0,1,0,0,0,6,0.5,Scoring,Jets,,,Daniel Brown TE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,16,0,1,0,1,0,0,0,6,0.4,Scoring,Jets,,,Vyncint Smith WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,13,1,0,0,1,0,0,0,6,0.5,Scoring,Jets,,,Arthur Maulet CB,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,12,0,0,1,1,0,0,0,6,0.5,Scoring,Jets,,,C.J. Mosley LB,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,2,0,0,1,1,0,0,0,6,3.0,Scoring,Jets,,,B.J. Bello LB,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,8,0,0,1,1,0,0,0,6,0.8,Scoring,Jets,,,James Burgess LB,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,16,0,0,0,0,28,57,0,141,8.8,Scoring,Ravens,,,,Mark Ingram II RB,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,15,10,5,0,15,0,0,2,94,6.3,Scoring,Ravens,,,,Mark Andrews TE,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,15,0,10,0,10,0,0,0,60,4.0,Scoring,Ravens,,,,Marquise Brown WR,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,14,0,7,0,7,0,0,0,42,3.0,Scoring,Ravens,,,,Lamar Jackson QB,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,15,7,0,0,7,0,0,0,42,2.8,Scoring,Ravens,,,,Willie Snead IV WR,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,16,0,5,0,5,0,0,0,30,1.9,Scoring,Ravens,,,,Miles Boykin WR,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,16,0,3,0,3,0,0,0,18,1.1,Scoring,Ravens,,,,Justice Hill RB,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,16,2,0,0,2,0,0,0,12,0.8,Scoring,Ravens,,,,Hayden Hurst TE,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,16,0,2,0,2,0,0,0,12,0.8,Scoring,Ravens,,,,Gus Edwards RB,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,16,2,0,0,2,0,0,0,12,0.8,Scoring,Ravens,,,,Nick Boyle TE,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,16,0,2,0,2,0,0,0,12,0.8,Scoring,Ravens,,,,Marcus Peters CB,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,10,0,0,2,2,0,0,0,12,1.2,Scoring,Ravens,,,,Seth Roberts WR,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,16,0,2,0,2,0,0,0,12,0.8,Scoring,Ravens,,,,Marlon Humphrey CB,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,16,0,0,2,2,0,0,0,12,0.8,Scoring,Ravens,,,,Tyus Bowser LB,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,16,0,0,1,1,0,0,0,6,0.4,Scoring,Ravens,,,,Patrick Ricard FB,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,16,0,1,0,1,0,0,0,6,0.4,Scoring,Ravens,,,,Jordan Richards S,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,16,0,0,0,0,27,24,0,105,6.6,Scoring,Bengals,,,,,Joe Mixon RB,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,16,5,3,0,8,0,0,0,48,3.0,Scoring,Bengals,,,,,Tyler Boyd WR,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,16,0,5,0,5,0,0,0,30,1.9,Scoring,Bengals,,,,,Andy Dalton QB,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,13,4,0,0,4,0,0,1,26,2.0,Scoring,Bengals,,,,,Tyler Eifert TE,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,16,0,3,0,3,0,0,1,20,1.3,Scoring,Bengals,,,,,John Ross III WR,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,8,0,3,0,3,0,0,0,18,2.3,Scoring,Bengals,,,,,C.J. Uzomah TE,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,16,0,2,0,2,0,0,0,12,0.8,Scoring,Bengals,,,,,Auden Tate WR,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,12,0,1,0,1,0,0,0,6,0.5,Scoring,Bengals,,,,,Brandon Wilson S,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,12,0,0,1,1,0,0,0,6,0.5,Scoring,Bengals,,,,,Cethan Carter TE,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,16,0,0,0,0,25,30,0,105,6.6,Scoring,Browns,,,,,,Nick Chubb RB,,,,,,,,,,,,,,,,,,,,,,,,,
1,,16,8,0,0,8,0,0,0,48,3.0,Scoring,Browns,,,,,,Jarvis Landry WR,,,,,,,,,,,,,,,,,,,,,,,,,
2,,16,0,6,0,6,0,0,0,36,2.3,Scoring,Browns,,,,,,Ricky Seals-Jones TE,,,,,,,,,,,,,,,,,,,,,,,,,
3,,14,0,4,0,4,0,0,0,24,1.7,Scoring,Browns,,,,,,Odell Beckham Jr. WR,,,,,,,,,,,,,,,,,,,,,,,,,
4,,16,0,4,0,4,0,0,0,24,1.5,Scoring,Browns,,,,,,Demetrius Harris TE,,,,,,,,,,,,,,,,,,,,,,,,,
5,,15,0,3,0,3,0,0,1,20,1.3,Scoring,Browns,,,,,,Baker Mayfield QB,,,,,,,,,,,,,,,,,,,,,,,,,
6,,16,3,0,0,3,0,0,0,18,1.1,Scoring,Browns,,,,,,Kareem Hunt RB,,,,,,,,,,,,,,,,,,,,,,,,,
7,,8,2,1,0,3,0,0,0,18,2.3,Scoring,Browns,,,,,,Dontrell Hilliard RB,,,,,,,,,,,,,,,,,,,,,,,,,
8,,14,2,0,0,2,0,0,0,12,0.9,Scoring,Browns,,,,,,Damion Ratley WR,,,,,,,,,,,,,,,,,,,,,,,,,
9,,13,0,1,0,1,0,0,0,6,0.5,Scoring,Browns,,,,,,David Njoku TE,,,,,,,,,,,,,,,,,,,,,,,,,
10,,4,0,1,0,1,0,0,0,6,1.5,Scoring,Browns,,,,,,Denzel Ward CB,,,,,,,,,,,,,,,,,,,,,,,,,
11,,12,0,0,1,1,0,0,0,6,0.5,Scoring,Browns,,,,,,Stephen Carlson TE,,,,,,,,,,,,,,,,,,,,,,,,,
12,,9,0,1,0,1,0,0,0,6,0.7,Scoring,Browns,,,,,,Rashard Higgins WR,,,,,,,,,,,,,,,,,,,,,,,,,
0,,16,0,0,0,0,29,28,0,115,7.2,Scoring,Steelers,,,,,,,James Conner RB,,,,,,,,,,,,,,,,,,,,,,,,
1,,10,4,3,0,7,0,0,0,42,4.2,Scoring,Steelers,,,,,,,Diontae Johnson WR,,,,,,,,,,,,,,,,,,,,,,,,
2,,16,0,5,1,6,0,0,0,36,2.3,Scoring,Steelers,,,,,,,James Washington WR,,,,,,,,,,,,,,,,,,,,,,,,
3,,15,0,3,0,3,0,0,0,18,1.2,Scoring,Steelers,,,,,,,Vance McDonald TE,,,,,,,,,,,,,,,,,,,,,,,,
4,,14,0,3,0,3,0,0,0,18,1.3,Scoring,Steelers,,,,,,,JuJu Smith-Schuster WR,,,,,,,,,,,,,,,,,,,,,,,,
5,,12,0,3,0,3,0,0,0,18,1.5,Scoring,Steelers,,,,,,,Jaylen Samuels RB,,,,,,,,,,,,,,,,,,,,,,,,
6,,14,1,1,0,2,0,0,0,12,0.9,Scoring,Steelers,,,,,,,Benny Snell Jr. RB,,,,,,,,,,,,,,,,,,,,,,,,
7,,13,2,0,0,2,0,0,0,12,0.9,Scoring,Steelers,,,,,,,Minkah Fitzpatrick S,,,,,,,,,,,,,,,,,,,,,,,,
8,,14,0,0,2,2,0,0,0,12,0.9,Scoring,Steelers,,,,,,,Devin Bush LB,,,,,,,,,,,,,,,,,,,,,,,,
0,,16,0,0,0,0,20,40,0,100,6.3,Scoring,Texans,,,,,,,,Deshaun Watson QB,,,,,,,,,,,,,,,,,,,,,,,
1,,15,7,1,0,8,0,0,0,48,3.2,Scoring,Texans,,,,,,,,DeAndre Hopkins WR,,,,,,,,,,,,,,,,,,,,,,,
2,,15,0,7,0,7,0,0,1,44,2.9,Scoring,Texans,,,,,,,,Darren Fells TE,,,,,,,,,,,,,,,,,,,,,,,
3,,16,0,7,0,7,0,0,0,42,2.6,Scoring,Texans,,,,,,,,Carlos Hyde RB,,,,,,,,,,,,,,,,,,,,,,,
4,,16,6,0,0,6,0,0,0,36,2.3,Scoring,Texans,,,,,,,,Duke Johnson RB,,,,,,,,,,,,,,,,,,,,,,,
5,,16,2,3,0,5,0,0,0,30,1.9,Scoring,Texans,,,,,,,,Kenny Stills WR,,,,,,,,,,,,,,,,,,,,,,,
6,,13,0,4,0,4,0,0,0,24,1.8,Scoring,Texans,,,,,,,,Will Fuller V WR,,,,,,,,,,,,,,,,,,,,,,,
7,,11,0,3,0,3,0,0,0,18,1.6,Scoring,Texans,,,,,,,,Jordan Akins TE,,,,,,,,,,,,,,,,,,,,,,,
8,,16,0,2,0,2,0,0,0,12,0.8,Scoring,Texans,,,,,,,,Tashaun Gipson Sr. S,,,,,,,,,,,,,,,,,,,,,,,
9,,14,0,0,1,1,0,0,0,6,0.4,Scoring,Texans,,,,,,,,Keke Coutee WR,,,,,,,,,,,,,,,,,,,,,,,
10,,9,1,0,0,1,0,0,0,6,0.7,Scoring,Texans,,,,,,,,AJ McCarron QB,,,,,,,,,,,,,,,,,,,,,,,
11,,2,1,0,0,1,0,0,0,6,3.0,Scoring,Texans,,,,,,,,Bradley Roby CB,,,,,,,,,,,,,,,,,,,,,,,
0,,12,0,0,0,0,17,22,0,73,6.1,Scoring,Colts,,,,,,,,,Marlon Mack RB,,,,,,,,,,,,,,,,,,,,,,
1,,14,8,0,0,8,0,0,1,50,3.6,Scoring,Colts,,,,,,,,,Zach Pascal WR,,,,,,,,,,,,,,,,,,,,,,
2,,16,0,5,0,5,0,0,1,34,2.1,Scoring,Colts,,,,,,,,,T.Y. Hilton WR,,,,,,,,,,,,,,,,,,,,,,
3,,10,0,5,0,5,0,0,0,30,3.0,Scoring,Colts,,,,,,,,,Chase McLaughlin PK,,,,,,,,,,,,,,,,,,,,,,
4,,4,0,0,0,0,5,11,0,26,6.5,Scoring,Colts,,,,,,,,,Jacoby Brissett QB,,,,,,,,,,,,,,,,,,,,,,
5,,15,4,0,0,4,0,0,0,24,1.6,Scoring,Colts,,,,,,,,,Nyheim Hines RB,,,,,,,,,,,,,,,,,,,,,,
6,,16,2,0,2,4,0,0,0,24,1.5,Scoring,Colts,,,,,,,,,Jack Doyle TE,,,,,,,,,,,,,,,,,,,,,,
7,,16,0,4,0,4,0,0,0,24,1.5,Scoring,Colts,,,,,,,,,Eric Ebron TE,,,,,,,,,,,,,,,,,,,,,,
8,,11,0,3,0,3,0,0,0,18,1.6,Scoring,Colts,,,,,,,,,Chester Rogers WR,,,,,,,,,,,,,,,,,,,,,,
