,Stephen Hauschka PK,"('Unnamed: 0_level_0', 'GP')","('Touchdowns', 'RUSH')","('Touchdowns', 'REC')","('Touchdowns', 'RET')","('Touchdowns', 'TD')","('Scoring', 'FG')","('Scoring', 'PAT')","('Scoring', '2PT')","('Scoring', 'PTS')","('Scoring', 'TP/G')",class,team,Jason Sanders PK,Nick Folk PK,Sam Ficken PK,Justin Tucker PK,Randy Bullock PK,Austin Seibert PK,Chris Boswell PK,Ka'imi Fairbairn PK,Adam Vinatieri PK,Josh Lambo PK,Derrick Henry RB,Brandon McManus PK,Harrison Butker PK,Daniel Carlson PK,Austin Ekeler RB,Brett Maher PK,Aldrick Rosas PK,Jake Elliott PK,Dustin Hopkins PK,Eddy Pineiro PK,Matt Prater PK,Aaron Jones RB,Dan Bailey PK,Younghoe Koo PK,Christian McCaffrey RB,Wil Lutz PK,Matt Gay PK,Zane Gonzalez PK,Greg Zuerlein PK,Robbie Gould PK,Jason Myers PK
9,,12,0,2,0,2,0,0,0,12,1.0,Scoring,Titans,,,,,,,,,,,Corey Davis WR,,,,,,,,,,,,,,,,,,,,
10,,15,0,2,0,2,0,0,0,12,0.8,Scoring,Titans,,,,,,,,,,,Greg Joseph PK,,,,,,,,,,,,,,,,,,,,
11,,2,0,0,0,0,0,9,0,9,4.5,Scoring,Titans,,,,,,,,,,,Malcolm Butler CB,,,,,,,,,,,,,,,,,,,,
12,,9,0,0,1,1,0,0,0,6,0.7,Scoring,Titans,,,,,,,,,,,Jayon Brown LB,,,,,,,,,,,,,,,,,,,,
13,,14,0,0,1,1,0,0,0,6,0.4,Scoring,Titans,,,,,,,,,,,MyCole Pruitt TE,,,,,,,,,,,,,,,,,,,,
14,,16,0,1,0,1,0,0,0,6,0.4,Scoring,Titans,,,,,,,,,,,David Quessenberry G,,,,,,,,,,,,,,,,,,,,
15,,4,0,1,0,1,0,0,0,6,1.5,Scoring,Titans,,,,,,,,,,,Anthony Firkser TE,,,,,,,,,,,,,,,,,,,,
16,,15,0,1,0,1,0,0,0,6,0.4,Scoring,Titans,,,,,,,,,,,Dennis Kelly OT,,,,,,,,,,,,,,,,,,,,
17,,15,0,1,0,1,0,0,0,6,0.4,Scoring,Titans,,,,,,,,,,,Rashaan Evans LB,,,,,,,,,,,,,,,,,,,,
18,,16,0,0,1,1,0,0,0,6,0.4,Scoring,Titans,,,,,,,,,,,Tye Smith CB,,,,,,,,,,,,,,,,,,,,
19,,9,0,0,1,1,0,0,0,6,0.7,Scoring,Titans,,,,,,,,,,,Kalif Raymond WR,,,,,,,,,,,,,,,,,,,,
20,,8,0,1,0,1,0,0,0,6,0.8,Scoring,Titans,,,,,,,,,,,Dion Lewis RB,,,,,,,,,,,,,,,,,,,,
21,,16,0,1,0,1,0,0,0,6,0.4,Scoring,Titans,,,,,,,,,,,Cameron Wake DE,,,,,,,,,,,,,,,,,,,,
0,,16,0,0,0,0,29,25,0,112,7.0,Scoring,Broncos,,,,,,,,,,,,Phillip Lindsay RB,,,,,,,,,,,,,,,,,,,
1,,16,7,0,0,7,0,0,0,42,2.6,Scoring,Broncos,,,,,,,,,,,,Courtland Sutton WR,,,,,,,,,,,,,,,,,,,
2,,16,0,6,0,6,0,0,0,36,2.3,Scoring,Broncos,,,,,,,,,,,,Royce Freeman RB,,,,,,,,,,,,,,,,,,,
3,,16,3,1,0,4,0,0,0,24,1.5,Scoring,Broncos,,,,,,,,,,,,Noah Fant TE,,,,,,,,,,,,,,,,,,,
4,,16,0,3,0,3,0,0,0,18,1.1,Scoring,Broncos,,,,,,,,,,,,Emmanuel Sanders WR,,,,,,,,,,,,,,,,,,,
5,,7,0,2,0,2,0,0,1,14,2.0,Scoring,Broncos,,,,,,,,,,,,Jeff Heuerman TE,,,,,,,,,,,,,,,,,,,
6,,14,0,1,0,1,0,0,0,6,0.4,Scoring,Broncos,,,,,,,,,,,,Troy Fumagalli TE,,,,,,,,,,,,,,,,,,,
7,,11,0,1,0,1,0,0,0,6,0.5,Scoring,Broncos,,,,,,,,,,,,Andy Janovich FB,,,,,,,,,,,,,,,,,,,
8,,7,1,0,0,1,0,0,0,6,0.9,Scoring,Broncos,,,,,,,,,,,,Kareem Jackson CB,,,,,,,,,,,,,,,,,,,
9,,13,0,0,1,1,0,0,0,6,0.5,Scoring,Broncos,,,,,,,,,,,,Andrew Beck TE,,,,,,,,,,,,,,,,,,,
10,,16,0,1,0,1,0,0,0,6,0.4,Scoring,Broncos,,,,,,,,,,,,DaeSean Hamilton WR,,,,,,,,,,,,,,,,,,,
0,,16,0,0,0,0,34,45,0,147,9.2,Scoring,Chiefs,,,,,,,,,,,,,Mecole Hardman WR,,,,,,,,,,,,,,,,,,
1,,16,0,6,1,7,0,0,0,42,2.6,Scoring,Chiefs,,,,,,,,,,,,,Damien Williams RB,,,,,,,,,,,,,,,,,,
2,,11,5,2,0,7,0,0,0,42,3.8,Scoring,Chiefs,,,,,,,,,,,,,Tyreek Hill WR,,,,,,,,,,,,,,,,,,
3,,12,0,7,0,7,0,0,0,42,3.5,Scoring,Chiefs,,,,,,,,,,,,,Travis Kelce TE,,,,,,,,,,,,,,,,,,
4,,16,1,5,0,6,0,0,0,36,2.3,Scoring,Chiefs,,,,,,,,,,,,,LeSean McCoy RB,,,,,,,,,,,,,,,,,,
5,,13,4,1,0,5,0,0,0,30,2.3,Scoring,Chiefs,,,,,,,,,,,,,Demarcus Robinson WR,,,,,,,,,,,,,,,,,,
6,,16,0,4,0,4,0,0,0,24,1.5,Scoring,Chiefs,,,,,,,,,,,,,Darrel Williams RB,,,,,,,,,,,,,,,,,,
7,,12,3,1,0,4,0,0,0,24,2.0,Scoring,Chiefs,,,,,,,,,,,,,Sammy Watkins WR,,,,,,,,,,,,,,,,,,
8,,14,0,3,0,3,0,0,1,20,1.4,Scoring,Chiefs,,,,,,,,,,,,,Patrick Mahomes QB,,,,,,,,,,,,,,,,,,
9,,14,2,0,0,2,0,0,0,12,0.9,Scoring,Chiefs,,,,,,,,,,,,,Reggie Ragland LB,,,,,,,,,,,,,,,,,,
10,,14,0,0,1,1,0,0,0,6,0.4,Scoring,Chiefs,,,,,,,,,,,,,Darwin Thompson RB,,,,,,,,,,,,,,,,,,
11,,12,1,0,0,1,0,0,0,6,0.5,Scoring,Chiefs,,,,,,,,,,,,,Juan Thornhill S,,,,,,,,,,,,,,,,,,
12,,16,0,0,1,1,0,0,0,6,0.4,Scoring,Chiefs,,,,,,,,,,,,,Bashaud Breeland CB,,,,,,,,,,,,,,,,,,
13,,16,0,0,1,1,0,0,0,6,0.4,Scoring,Chiefs,,,,,,,,,,,,,Byron Pringle WR,,,,,,,,,,,,,,,,,,
14,,16,0,1,0,1,0,0,0,6,0.4,Scoring,Chiefs,,,,,,,,,,,,,Charvarius Ward CB,,,,,,,,,,,,,,,,,,
0,,16,0,0,0,0,19,34,0,91,5.7,Scoring,Raiders,,,,,,,,,,,,,,Josh Jacobs RB,,,,,,,,,,,,,,,,,
1,,13,7,0,0,7,0,0,0,42,3.2,Scoring,Raiders,,,,,,,,,,,,,,Tyrell Williams WR,,,,,,,,,,,,,,,,,
2,,14,0,6,0,6,0,0,0,36,2.6,Scoring,Raiders,,,,,,,,,,,,,,Foster Moreau TE,,,,,,,,,,,,,,,,,
3,,13,0,5,0,5,0,0,0,30,2.3,Scoring,Raiders,,,,,,,,,,,,,,Hunter Renfrow WR,,,,,,,,,,,,,,,,,
4,,13,0,4,0,4,0,0,0,24,1.8,Scoring,Raiders,,,,,,,,,,,,,,Darren Waller TE,,,,,,,,,,,,,,,,,
5,,16,0,3,0,3,0,0,0,18,1.1,Scoring,Raiders,,,,,,,,,,,,,,DeAndre Washington RB,,,,,,,,,,,,,,,,,
6,,16,3,0,0,3,0,0,0,18,1.1,Scoring,Raiders,,,,,,,,,,,,,,Erik Harris S,,,,,,,,,,,,,,,,,
7,,16,0,0,2,2,0,0,0,12,0.8,Scoring,Raiders,,,,,,,,,,,,,,Derek Carr QB,,,,,,,,,,,,,,,,,
8,,16,2,0,0,2,0,0,0,12,0.8,Scoring,Raiders,,,,,,,,,,,,,,J.J. Nelson WR,,,,,,,,,,,,,,,,,
9,,2,0,1,0,1,0,0,0,6,3.0,Scoring,Raiders,,,,,,,,,,,,,,Derek Carrier TE,,,,,,,,,,,,,,,,,
10,,16,0,1,0,1,0,0,0,6,0.4,Scoring,Raiders,,,,,,,,,,,,,,Trevor Davis WR,,,,,,,,,,,,,,,,,
11,,9,1,0,0,1,0,0,0,6,0.7,Scoring,Raiders,,,,,,,,,,,,,,Alec Ingold FB,,,,,,,,,,,,,,,,,
12,,16,0,1,0,1,0,0,0,6,0.4,Scoring,Raiders,,,,,,,,,,,,,,Rico Gafford WR,,,,,,,,,,,,,,,,,
0,,16,3,8,0,11,0,0,0,66,4.1,Scoring,Chargers,,,,,,,,,,,,,,,Michael Badgley PK,,,,,,,,,,,,,,,,
1,,8,0,0,0,0,13,19,0,58,7.3,Scoring,Chargers,,,,,,,,,,,,,,,Melvin Gordon RB,,,,,,,,,,,,,,,,
2,,12,8,1,0,9,0,0,0,54,4.5,Scoring,Chargers,,,,,,,,,,,,,,,Keenan Allen WR,,,,,,,,,,,,,,,,
3,,16,0,6,0,6,0,0,0,36,2.3,Scoring,Chargers,,,,,,,,,,,,,,,Hunter Henry TE,,,,,,,,,,,,,,,,
4,,12,0,5,0,5,0,0,1,32,2.7,Scoring,Chargers,,,,,,,,,,,,,,,Ty Long P,,,,,,,,,,,,,,,,
5,,16,0,0,0,0,7,9,0,30,1.9,Scoring,Chargers,,,,,,,,,,,,,,,Chase McLaughlin PK,,,,,,,,,,,,,,,,
6,,4,0,0,0,0,6,7,0,25,6.3,Scoring,Chargers,,,,,,,,,,,,,,,Mike Williams WR,,,,,,,,,,,,,,,,
7,,15,0,2,0,2,0,0,0,12,0.8,Scoring,Chargers,,,,,,,,,,,,,,,Virgil Green TE,,,,,,,,,,,,,,,,
8,,15,0,1,0,1,0,0,0,6,0.4,Scoring,Chargers,,,,,,,,,,,,,,,Troymaine Pope RB,,,,,,,,,,,,,,,,
9,,14,0,1,0,1,0,0,0,6,0.4,Scoring,Chargers,,,,,,,,,,,,,,,Desmond King II CB,,,,,,,,,,,,,,,,
10,,15,0,0,1,1,0,0,0,6,0.4,Scoring,Chargers,,,,,,,,,,,,,,,Derek Watt FB,,,,,,,,,,,,,,,,
0,,13,0,0,0,0,20,36,0,96,7.4,Scoring,Cowboys,,,,,,,,,,,,,,,,Ezekiel Elliott RB,,,,,,,,,,,,,,,
1,,16,12,2,0,14,0,0,0,84,5.3,Scoring,Cowboys,,,,,,,,,,,,,,,,Amari Cooper WR,,,,,,,,,,,,,,,
2,,16,0,8,0,8,0,0,0,48,3.0,Scoring,Cowboys,,,,,,,,,,,,,,,,Kai Forbath PK,,,,,,,,,,,,,,,
3,,3,0,0,0,0,10,10,0,40,13.3,Scoring,Cowboys,,,,,,,,,,,,,,,,Michael Gallup WR,,,,,,,,,,,,,,,
4,,14,0,6,0,6,0,0,0,36,2.6,Scoring,Cowboys,,,,,,,,,,,,,,,,Jason Witten TE,,,,,,,,,,,,,,,
5,,16,0,4,0,4,0,0,1,26,1.6,Scoring,Cowboys,,,,,,,,,,,,,,,,Tony Pollard RB,,,,,,,,,,,,,,,
6,,15,2,1,0,3,0,0,1,20,1.3,Scoring,Cowboys,,,,,,,,,,,,,,,,Dak Prescott QB,,,,,,,,,,,,,,,
7,,16,3,0,0,3,0,0,0,18,1.1,Scoring,Cowboys,,,,,,,,,,,,,,,,Blake Jarwin TE,,,,,,,,,,,,,,,
8,,16,0,3,0,3,0,0,0,18,1.1,Scoring,Cowboys,,,,,,,,,,,,,,,,Randall Cobb WR,,,,,,,,,,,,,,,
9,,15,0,3,0,3,0,0,0,18,1.2,Scoring,Cowboys,,,,,,,,,,,,,,,,Tavon Austin WR,,,,,,,,,,,,,,,
10,,14,1,1,0,2,0,0,0,12,0.9,Scoring,Cowboys,,,,,,,,,,,,,,,,Devin Smith WR,,,,,,,,,,,,,,,
11,,4,0,1,0,1,0,0,0,6,1.5,Scoring,Cowboys,,,,,,,,,,,,,,,,Ventell Bryant WR,,,,,,,,,,,,,,,
12,,12,0,1,0,1,0,0,0,6,0.5,Scoring,Cowboys,,,,,,,,,,,,,,,,Jourdan Lewis CB,,,,,,,,,,,,,,,
0,,16,0,0,0,0,12,35,0,71,4.4,Scoring,Giants,,,,,,,,,,,,,,,,,Saquon Barkley RB,,,,,,,,,,,,,,
1,,13,6,2,0,8,0,0,0,48,3.7,Scoring,Giants,,,,,,,,,,,,,,,,,Darius Slayton WR,,,,,,,,,,,,,,
2,,14,0,8,0,8,0,0,0,48,3.4,Scoring,Giants,,,,,,,,,,,,,,,,,Golden Tate WR,,,,,,,,,,,,,,
3,,11,0,6,0,6,0,0,0,36,3.3,Scoring,Giants,,,,,,,,,,,,,,,,,Sterling Shepard WR,,,,,,,,,,,,,,
4,,10,0,3,0,3,0,0,1,20,2.0,Scoring,Giants,,,,,,,,,,,,,,,,,Kaden Smith TE,,,,,,,,,,,,,,
5,,9,0,3,0,3,0,0,0,18,2.0,Scoring,Giants,,,,,,,,,,,,,,,,,Wayne Gallman RB,,,,,,,,,,,,,,
6,,10,2,1,0,3,0,0,0,18,1.8,Scoring,Giants,,,,,,,,,,,,,,,,,Evan Engram TE,,,,,,,,,,,,,,
7,,8,0,3,0,3,0,0,0,18,2.3,Scoring,Giants,,,,,,,,,,,,,,,,,Cody Latimer WR,,,,,,,,,,,,,,
8,,15,0,2,0,2,0,0,0,12,0.8,Scoring,Giants,,,,,,,,,,,,,,,,,Daniel Jones QB,,,,,,,,,,,,,,
9,,13,2,0,0,2,0,0,0,12,0.9,Scoring,Giants,,,,,,,,,,,,,,,,,Markus Golden LB,,,,,,,,,,,,,,
10,,16,0,0,1,1,0,0,0,6,0.4,Scoring,Giants,,,,,,,,,,,,,,,,,Jabrill Peppers S,,,,,,,,,,,,,,
11,,11,0,0,1,1,0,0,0,6,0.5,Scoring,Giants,,,,,,,,,,,,,,,,,Rhett Ellison TE,,,,,,,,,,,,,,
12,,10,0,1,0,1,0,0,0,6,0.6,Scoring,Giants,,,,,,,,,,,,,,,,,Javorius Allen RB,,,,,,,,,,,,,,
13,,10,1,0,0,1,0,0,0,6,0.6,Scoring,Giants,,,,,,,,,,,,,,,,,TJ Jones WR,,,,,,,,,,,,,,
14,,3,0,1,0,1,0,0,0,6,2.0,Scoring,Giants,,,,,,,,,,,,,,,,,Elijhaa Penny RB,,,,,,,,,,,,,,
15,,16,0,0,1,1,0,0,0,6,0.4,Scoring,Giants,,,,,,,,,,,,,,,,,Sam Beal CB,,,,,,,,,,,,,,
16,,6,0,0,0,0,0,0,0,2,0.3,Scoring,Giants,,,,,,,,,,,,,,,,,Bennie Fowler WR,,,,,,,,,,,,,,
0,,16,0,0,0,0,22,35,0,101,6.3,Scoring,Eagles,,,,,,,,,,,,,,,,,,Jordan Howard RB,,,,,,,,,,,,,
1,,10,6,1,0,7,0,0,0,42,4.2,Scoring,Eagles,,,,,,,,,,,,,,,,,,Miles Sanders RB,,,,,,,,,,,,,
2,,16,3,3,0,6,0,0,1,38,2.4,Scoring,Eagles,,,,,,,,,,,,,,,,,,Zach Ertz TE,,,,,,,,,,,,,
3,,15,0,6,0,6,0,0,1,38,2.5,Scoring,Eagles,,,,,,,,,,,,,,,,,,Boston Scott RB,,,,,,,,,,,,,
4,,11,5,0,0,5,0,0,0,30,2.7,Scoring,Eagles,,,,,,,,,,,,,,,,,,Alshon Jeffery WR,,,,,,,,,,,,,
5,,10,1,4,0,5,0,0,0,30,3.0,Scoring,Eagles,,,,,,,,,,,,,,,,,,Dallas Goedert TE,,,,,,,,,,,,,
6,,15,0,5,0,5,0,0,0,30,2.0,Scoring,Eagles,,,,,,,,,,,,,,,,,,Nelson Agholor WR,,,,,,,,,,,,,
7,,11,0,3,0,3,0,0,1,20,1.8,Scoring,Eagles,,,,,,,,,,,,,,,,,,DeSean Jackson WR,,,,,,,,,,,,,
8,,3,0,2,0,2,0,0,0,12,4.0,Scoring,Eagles,,,,,,,,,,,,,,,,,,Greg Ward Jr. WR,,,,,,,,,,,,,
9,,7,0,1,0,1,0,0,0,6,0.9,Scoring,Eagles,,,,,,,,,,,,,,,,,,Carson Wentz QB,,,,,,,,,,,,,
10,,16,1,0,0,1,0,0,0,6,0.4,Scoring,Eagles,,,,,,,,,,,,,,,,,,J.J. Arcega-Whiteside WR,,,,,,,,,,,,,
11,,16,0,1,0,1,0,0,0,6,0.4,Scoring,Eagles,,,,,,,,,,,,,,,,,,Nigel Bradham LB,,,,,,,,,,,,,
12,,12,0,0,1,1,0,0,0,6,0.5,Scoring,Eagles,,,,,,,,,,,,,,,,,,Orlando Scandrick CB,,,,,,,,,,,,,
13,,3,0,0,1,1,0,0,0,6,2.0,Scoring,Eagles,,,,,,,,,,,,,,,,,,Josh Perkins TE,,,,,,,,,,,,,
14,,5,0,1,0,1,0,0,0,6,1.2,Scoring,Eagles,,,,,,,,,,,,,,,,,,Nathan Gerry LB,,,,,,,,,,,,,
15,,16,0,0,1,1,0,0,0,6,0.4,Scoring,Eagles,,,,,,,,,,,,,,,,,,Darren Sproles RB,,,,,,,,,,,,,
0,,16,0,0,0,0,25,21,0,96,6.0,Scoring,Redskins,,,,,,,,,,,,,,,,,,,Terry McLaurin WR,,,,,,,,,,,,
1,,14,0,7,0,7,0,0,0,42,3.0,Scoring,Redskins,,,,,,,,,,,,,,,,,,,Steven Sims Jr. WR,,,,,,,,,,,,
2,,16,1,4,1,6,0,0,0,36,2.3,Scoring,Redskins,,,,,,,,,,,,,,,,,,,Adrian Peterson RB,,,,,,,,,,,,
3,,15,5,0,0,5,0,0,0,30,2.0,Scoring,Redskins,,,,,,,,,,,,,,,,,,,Derrius Guice RB,,,,,,,,,,,,
4,,5,2,1,0,3,0,0,0,18,3.6,Scoring,Redskins,,,,,,,,,,,,,,,,,,,Paul Richardson Jr. WR,,,,,,,,,,,,
5,,10,0,2,0,2,0,0,0,12,1.2,Scoring,Redskins,,,,,,,,,,,,,,,,,,,Trey Quinn WR,,,,,,,,,,,,
6,,12,0,1,0,1,0,0,1,8,0.7,Scoring,Redskins,,,,,,,,,,,,,,,,,,,Case Keenum QB,,,,,,,,,,,,
7,,10,1,0,0,1,0,0,0,6,0.6,Scoring,Redskins,,,,,,,,,,,,,,,,,,,Jeremy Sprinkle TE,,,,,,,,,,,,
8,,16,0,1,0,1,0,0,0,6,0.4,Scoring,Redskins,,,,,,,,,,,,,,,,,,,Hale Hentges TE,,,,,,,,,,,,
9,,11,0,1,0,1,0,0,0,6,0.5,Scoring,Redskins,,,,,,,,,,,,,,,,,,,Vernon Davis TE,,,,,,,,,,,,
0,,16,0,0,0,0,23,27,0,96,6.0,Scoring,Bears,,,,,,,,,,,,,,,,,,,,Allen Robinson II WR,,,,,,,,,,,
1,,16,0,7,0,7,0,0,0,42,2.6,Scoring,Bears,,,,,,,,,,,,,,,,,,,,David Montgomery RB,,,,,,,,,,,
2,,16,6,1,0,7,0,0,0,42,2.6,Scoring,Bears,,,,,,,,,,,,,,,,,,,,Taylor Gabriel WR,,,,,,,,,,,
3,,9,0,4,0,4,0,0,0,24,2.7,Scoring,Bears,,,,,,,,,,,,,,,,,,,,Tarik Cohen RB,,,,,,,,,,,
4,,16,0,3,0,3,0,0,0,18,1.1,Scoring,Bears,,,,,,,,,,,,,,,,,,,,Anthony Miller WR,,,,,,,,,,,
5,,16,0,2,0,2,0,0,0,12,0.8,Scoring,Bears,,,,,,,,,,,,,,,,,,,,Mitchell Trubisky QB,,,,,,,,,,,
6,,15,2,0,0,2,0,0,0,12,0.8,Scoring,Bears,,,,,,,,,,,,,,,,,,,,Ben Braunecker TE,,,,,,,,,,,
7,,11,0,1,0,1,0,0,0,6,0.5,Scoring,Bears,,,,,,,,,,,,,,,,,,,,Cordarrelle Patterson WR,,,,,,,,,,,
8,,16,0,0,1,1,0,0,0,6,0.4,Scoring,Bears,,,,,,,,,,,,,,,,,,,,Jesper Horsted TE,,,,,,,,,,,
9,,6,0,1,0,1,0,0,0,6,1.0,Scoring,Bears,,,,,,,,,,,,,,,,,,,,Ha Ha Clinton-Dix S,,,,,,,,,,,
10,,16,0,0,1,1,0,0,0,6,0.4,Scoring,Bears,,,,,,,,,,,,,,,,,,,,Javon Wims WR,,,,,,,,,,,
11,,16,0,1,0,1,0,0,0,6,0.4,Scoring,Bears,,,,,,,,,,,,,,,,,,,,Nick Kwiatkoski LB,,,,,,,,,,,
12,,16,0,0,0,0,0,0,0,2,0.1,Scoring,Bears,,,,,,,,,,,,,,,,,,,,Adam Shaheen TE,,,,,,,,,,,
0,,16,0,0,0,0,26,35,0,113,7.1,Scoring,Lions,,,,,,,,,,,,,,,,,,,,,Kenny Golladay WR,,,,,,,,,,
1,,16,0,11,0,11,0,0,0,66,4.1,Scoring,Lions,,,,,,,,,,,,,,,,,,,,,Marvin Jones Jr. WR,,,,,,,,,,
2,,13,0,9,0,9,0,0,0,54,4.2,Scoring,Lions,,,,,,,,,,,,,,,,,,,,,Kerryon Johnson RB,,,,,,,,,,
3,,8,3,1,0,4,0,0,0,24,3.0,Scoring,Lions,,,,,,,,,,,,,,,,,,,,,T.J. Hockenson TE,,,,,,,,,,
4,,12,0,2,0,2,0,0,0,12,1.0,Scoring,Lions,,,,,,,,,,,,,,,,,,,,,Wes Hills RB,,,,,,,,,,
5,,1,2,0,0,2,0,0,0,12,12.0,Scoring,Lions,,,,,,,,,,,,,,,,,,,,,Jamal Agnew CB,,,,,,,,,,
6,,13,0,0,2,2,0,0,0,12,0.9,Scoring,Lions,,,,,,,,,,,,,,,,,,,,,Jeff Driskel QB,,,,,,,,,,
7,,3,1,0,0,1,0,0,0,6,2.0,Scoring,Lions,,,,,,,,,,,,,,,,,,,,,Danny Amendola WR,,,,,,,,,,
8,,15,0,1,0,1,0,0,0,6,0.4,Scoring,Lions,,,,,,,,,,,,,,,,,,,,,J.D. McKissic RB,,,,,,,,,,
9,,16,0,1,0,1,0,0,0,6,0.4,Scoring,Lions,,,,,,,,,,,,,,,,,,,,,Logan Thomas TE,,,,,,,,,,
10,,16,0,1,0,1,0,0,0,6,0.4,Scoring,Lions,,,,,,,,,,,,,,,,,,,,,David Blough QB,,,,,,,,,,
11,,5,0,1,0,1,0,0,0,6,1.2,Scoring,Lions,,,,,,,,,,,,,,,,,,,,,Devon Kennard LB,,,,,,,,,,
12,,16,0,0,1,1,0,0,0,6,0.4,Scoring,Lions,,,,,,,,,,,,,,,,,,,,,Marvin Hall WR,,,,,,,,,,
13,,9,0,1,0,1,0,0,0,6,0.7,Scoring,Lions,,,,,,,,,,,,,,,,,,,,,Bo Scarbrough RB,,,,,,,,,,
0,,16,16,3,0,19,0,0,0,114,7.1,Scoring,Packers,,,,,,,,,,,,,,,,,,,,,,Mason Crosby PK,,,,,,,,,
1,,16,0,0,0,0,22,40,0,106,6.6,Scoring,Packers,,,,,,,,,,,,,,,,,,,,,,Jamaal Williams RB,,,,,,,,,
2,,14,1,5,0,6,0,0,0,36,2.6,Scoring,Packers,,,,,,,,,,,,,,,,,,,,,,Davante Adams WR,,,,,,,,,
3,,12,0,5,0,5,0,0,1,32,2.7,Scoring,Packers,,,,,,,,,,,,,,,,,,,,,,Jimmy Graham TE,,,,,,,,,
4,,16,0,3,0,3,0,0,0,18,1.1,Scoring,Packers,,,,,,,,,,,,,,,,,,,,,,Allen Lazard WR,,,,,,,,,
5,,16,0,3,0,3,0,0,0,18,1.1,Scoring,Packers,,,,,,,,,,,,,,,,,,,,,,Geronimo Allison WR,,,,,,,,,
6,,16,0,2,0,2,0,0,1,14,0.9,Scoring,Packers,,,,,,,,,,,,,,,,,,,,,,Marquez Valdes-Scantling WR,,,,,,,,,
7,,16,0,2,0,2,0,0,0,12,0.8,Scoring,Packers,,,,,,,,,,,,,,,,,,,,,,Aaron Rodgers QB,,,,,,,,,
8,,16,1,0,0,1,0,0,1,8,0.5,Scoring,Packers,,,,,,,,,,,,,,,,,,,,,,Marcedes Lewis TE,,,,,,,,,
9,,16,0,1,0,1,0,0,0,6,0.4,Scoring,Packers,,,,,,,,,,,,,,,,,,,,,,Robert Tonyan TE,,,,,,,,,
10,,11,0,1,0,1,0,0,0,6,0.5,Scoring,Packers,,,,,,,,,,,,,,,,,,,,,,Jake Kumerow WR,,,,,,,,,
0,,16,0,0,0,0,27,40,0,121,7.6,Scoring,Vikings,,,,,,,,,,,,,,,,,,,,,,,Dalvin Cook RB,,,,,,,,
1,,14,13,0,0,13,0,0,0,78,5.6,Scoring,Vikings,,,,,,,,,,,,,,,,,,,,,,,Adam Thielen WR,,,,,,,,
2,,10,1,6,0,7,0,0,0,42,4.2,Scoring,Vikings,,,,,,,,,,,,,,,,,,,,,,,Kyle Rudolph TE,,,,,,,,
3,,16,0,6,0,6,0,0,1,38,2.4,Scoring,Vikings,,,,,,,,,,,,,,,,,,,,,,,Stefon Diggs WR,,,,,,,,
4,,15,0,6,0,6,0,0,0,36,2.4,Scoring,Vikings,,,,,,,,,,,,,,,,,,,,,,,Bisi Johnson WR,,,,,,,,
5,,16,0,3,0,3,0,0,0,18,1.1,Scoring,Vikings,,,,,,,,,,,,,,,,,,,,,,,Mike Boone RB,,,,,,,,
6,,16,3,0,0,3,0,0,0,18,1.1,Scoring,Vikings,,,,,,,,,,,,,,,,,,,,,,,Irv Smith Jr. TE,,,,,,,,
7,,16,0,2,0,2,0,0,0,12,0.8,Scoring,Vikings,,,,,,,,,,,,,,,,,,,,,,,Kirk Cousins QB,,,,,,,,
8,,15,1,0,0,1,0,0,0,6,0.4,Scoring,Vikings,,,,,,,,,,,,,,,,,,,,,,,Anthony Harris S,,,,,,,,
9,,14,0,0,1,1,0,0,0,6,0.4,Scoring,Vikings,,,,,,,,,,,,,,,,,,,,,,,C.J. Ham FB,,,,,,,,
10,,16,0,1,0,1,0,0,0,6,0.4,Scoring,Vikings,,,,,,,,,,,,,,,,,,,,,,,Ifeadi Odenigbo DE,,,,,,,,
11,,16,0,0,1,1,0,0,0,6,0.4,Scoring,Vikings,,,,,,,,,,,,,,,,,,,,,,,Alexander Mattison RB,,,,,,,,
12,,13,1,0,0,1,0,0,0,6,0.5,Scoring,Vikings,,,,,,,,,,,,,,,,,,,,,,,Laquon Treadwell WR,,,,,,,,
13,,13,0,1,0,1,0,0,0,6,0.5,Scoring,Vikings,,,,,,,,,,,,,,,,,,,,,,,Ameer Abdullah RB,,,,,,,,
14,,16,0,1,0,1,0,0,0,6,0.4,Scoring,Vikings,,,,,,,,,,,,,,,,,,,,,,,Anthony Barr LB,,,,,,,,
0,,8,0,0,0,0,23,15,0,84,10.5,Scoring,Falcons,,,,,,,,,,,,,,,,,,,,,,,,Calvin Ridley WR,,,,,,,
1,,13,0,7,0,7,0,0,1,44,3.4,Scoring,Falcons,,,,,,,,,,,,,,,,,,,,,,,,Matt Bryant PK,,,,,,,
2,,7,0,0,0,0,9,14,0,41,5.9,Scoring,Falcons,,,,,,,,,,,,,,,,,,,,,,,,Austin Hooper TE,,,,,,,
3,,13,0,6,0,6,0,0,1,38,2.9,Scoring,Falcons,,,,,,,,,,,,,,,,,,,,,,,,Julio Jones WR,,,,,,,
4,,15,0,6,0,6,0,0,0,36,2.4,Scoring,Falcons,,,,,,,,,,,,,,,,,,,,,,,,Devonta Freeman RB,,,,,,,
5,,14,2,4,0,6,0,0,0,36,2.6,Scoring,Falcons,,,,,,,,,,,,,,,,,,,,,,,,Qadree Ollison RB,,,,,,,
