,Name,PlayerID,Height,Height Percentile,Weight,Weight Percentile,Forty Yard Dash,Forty Yard Dash Percentile,Shuttle Time,Shuttle TIme Percentile,Cone Drill,Cone Drill Percentile,Vertical Jump,Vertical Jump Percentile,Broad Jump,Broad Jump Percentile,Bench Press,Bench Press Percentile,Hand Length,Hand Length Percentil,Arm Length,Arm Length Percentile
6536,Akeem Ayers,7475,"6' 3""",70%,247 lbs,80%,4.81 sec,26%,4.28 sec,60%,7.49 sec,6%,31.0 in,20%,116 in,50%,18 reps,15%,NaN,NaN,NaN,NaN
6537,Justin Houston,7476,"6' 3""",20%,258 lbs,24%,4.62 sec,91%,4.37 sec,65%,6.50 sec,100%,36.5 in,87%,125 in,92%,30 reps,85%,NaN,NaN,NaN,NaN
6538,Bruce Carter,7477,"6' 2""",50%,240 lbs,40%,4.57 sec,85%,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25 reps,70%,9.25 in,20%,32.63 in,50%
6539,Mason Foster,7478,"6' 1""",10%,250 lbs,86%,4.75 sec,40%,4.45 sec,17%,7.14 sec,52%,31.0 in,20%,110 in,15%,22 reps,45%,9.63 in,50%,31.00 in,10%
6540,Mark Herzlich,7479,"6' 4""",90%,246 lbs,75%,4.96 sec,7%,4.46 sec,16%,7.32 sec,25%,32.5 in,35%,112 in,25%,29 reps,90%,10.00 in,80%,32.38 in,43%
6542,Dontay Moch,7481,"6' 2""",10%,255 lbs,18%,4.40 sec,100%,4.38 sec,62%,7.09 sec,73%,42.0 in,100%,128 in,94%,21 reps,30%,NaN,NaN,NaN,NaN
6543,Colin McCarthy,7482,"6' 1""",10%,243 lbs,60%,4.59 sec,82%,4.20 sec,75%,6.93 sec,84%,36.5 in,75%,119 in,70%,23 reps,50%,NaN,NaN,NaN,NaN
6544,K.J. Wright,7483,"6' 4""",90%,246 lbs,75%,4.75 sec,40%,4.46 sec,16%,7.26 sec,33%,32.0 in,30%,120 in,75%,20 reps,30%,9.00 in,10%,34.88 in,100%
6545,Lawrence Wilson,7484,"6' 1""",10%,229 lbs,9%,4.71 sec,50%,4.50 sec,11%,7.31 sec,26%,32.5 in,35%,113 in,30%,24 reps,60%,NaN,NaN,NaN,NaN
6546,T.J. Yates,7485,"6' 4""",70%,217 lbs,27%,5.06 sec,10%,4.12 sec,87%,NaN,NaN,29.5 in,30%,104 in,17%,NaN,NaN,10.25 in,80%,32.50 in,60%
6548,Doug Hogue,7487,"6' 2""",50%,235 lbs,20%,4.62 sec,75%,4.57 sec,7%,7.09 sec,58%,36.0 in,70%,121 in,80%,18 reps,15%,NaN,NaN,NaN,NaN
6550,Jonas Mouton,7489,"6' 2""",50%,240 lbs,40%,4.84 sec,23%,4.34 sec,40%,7.08 sec,59%,31.5 in,25%,115 in,45%,NaN,NaN,NaN,NaN,NaN,NaN
6551,D.J. Smith,7490,"5' 10""",0%,239 lbs,37%,4.71 sec,50%,4.45 sec,17%,7.35 sec,21%,31.0 in,20%,104 in,9%,20 reps,30%,NaN,NaN,NaN,NaN
6556,Martez Wilson,7495,"6' 4""",90%,252 lbs,90%,4.49 sec,94%,4.28 sec,60%,7.04 sec,68%,36.0 in,70%,124 in,90%,23 reps,50%,9.75 in,60%,34.68 in,99%
6558,Greg Jones,7497,"6' 0""",7%,242 lbs,50%,4.75 sec,40%,4.27 sec,62%,7.27 sec,31%,31.5 in,25%,117 in,55%,21 reps,40%,NaN,NaN,NaN,NaN
6559,Kelvin Sheppard,7498,"6' 2""",50%,249 lbs,84%,4.70 sec,52%,4.28 sec,60%,NaN,NaN,33.5 in,50%,110 in,15%,22 reps,45%,NaN,NaN,NaN,NaN
6560,Nate Irving,7499,"6' 1""",10%,253 lbs,91%,4.74 sec,42%,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6561,Casey Matthews,7500,"6' 1""",10%,245 lbs,70%,4.78 sec,30%,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13 reps,4%,NaN,NaN,NaN,NaN
6562,Akeem Dent,7501,"6' 1""",10%,250 lbs,86%,4.73 sec,45%,NaN,NaN,NaN,NaN,37.5 in,83%,123 in,87%,24 reps,60%,NaN,NaN,NaN,NaN
6563,Chris White,7502,"6' 3""",70%,238 lbs,33%,4.65 sec,67%,4.25 sec,65%,6.95 sec,81%,34.0 in,53%,115 in,45%,17 reps,10%,NaN,NaN,NaN,NaN
6564,Mike Mohamed,7503,"6' 3""",70%,238 lbs,33%,4.65 sec,67%,4.00 sec,96%,6.70 sec,100%,32.0 in,30%,115 in,45%,21 reps,40%,NaN,NaN,NaN,NaN
6565,Nick Bellore,7504,"6' 1""",30%,250 lbs,73%,4.84 sec,32%,4.00 sec,100%,6.98 sec,92%,32.5 in,50%,109 in,30%,23 reps,50%,NaN,NaN,NaN,NaN
6566,Bruce Miller,7505,"6' 2""",0%,248 lbs,30%,4.85 sec,26%,4.34 sec,62%,7.05 sec,86%,31.0 in,30%,113 in,40%,35 reps,100%,9.00 in,6%,30.25 in,0%
6569,Elijah Joseph,7508,"6' 1""",10%,243 lbs,60%,4.80 sec,28%,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6570,Prince Amukamara,7509,"6' 0""",65%,206 lbs,91%,4.38 sec,87%,4.08 sec,68%,6.97 sec,20%,38.0 in,77%,128 in,85%,15 reps,50%,8.50 in,15%,30.50 in,20%
6571,Brandon Harris,7510,"5' 10""",20%,189 lbs,30%,4.46 sec,57%,4.12 sec,60%,6.77 sec,64%,35.5 in,50%,113 in,8%,13 reps,30%,NaN,NaN,NaN,NaN
6572,Jimmy Smith,7511,"6' 2""",93%,210 lbs,94%,4.42 sec,73%,4.06 sec,75%,6.93 sec,31%,36.0 in,60%,123 in,60%,24 reps,96%,NaN,NaN,NaN,NaN
6573,Ras-I Dowling,7512,"6' 1""",70%,200 lbs,82%,4.40 sec,80%,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19 reps,85%,NaN,NaN,NaN,NaN
6574,Johnny Patrick,7513,"5' 11""",50%,190 lbs,40%,4.59 sec,18%,4.16 sec,48%,NaN,NaN,32.0 in,10%,110 in,3%,13 reps,30%,NaN,NaN,NaN,NaN
6575,Curtis Brown,7514,"5' 11""",50%,185 lbs,18%,4.51 sec,40%,4.00 sec,86%,6.59 sec,91%,39.5 in,87%,128 in,85%,10 reps,10%,NaN,NaN,NaN,NaN
6576,Brandon Burton,7515,"6' 0""",65%,185 lbs,18%,4.50 sec,43%,4.07 sec,70%,6.93 sec,31%,32.0 in,10%,118 in,30%,18 reps,80%,NaN,NaN,NaN,NaN
6577,Chimdi Chekwa,7516,"6' 0""",65%,190 lbs,40%,4.38 sec,87%,NaN,NaN,NaN,NaN,34.5 in,40%,126 in,75%,NaN,NaN,NaN,NaN,NaN,NaN
6578,Shareece Wright,7517,"5' 11""",50%,184 lbs,15%,4.41 sec,77%,NaN,NaN,NaN,NaN,34.5 in,40%,113 in,8%,16 reps,60%,NaN,NaN,NaN,NaN
