,Name,Height,Height Percentile,Weight,Weight Percentile,Forty Yard Dash,Forty Yard Dash Percentile,Shuttle Time,Shuttle TIme Percentile,Cone Drill,Cone Drill Percentile,Vertical Jump,Vertical Jump Percentile,Broad Jump,Broad Jump Percentile,Bench Press,Bench Press Percentile,Hand Length,Hand Length Percentil,Arm Length,Arm Length Percentile
11664,Ronnie Harrison,"6' 3""",93%,214 lbs,73%,NaN,NaN,NaN,NaN,NaN,NaN,34.0 in,30%,120 in,50%,NaN,NaN,NaN,NaN,NaN,NaN
11666,Javon Wims,"6' 2""",60%,221 lbs,89%,4.53 sec,40%,NaN,NaN,7.00 sec,32%,33.5 in,30%,113 in,9%,NaN,NaN,9.25 in,50%,31.50 in,30%
11667,Allen Lazard,"6' 5""",93%,227 lbs,93%,4.55 sec,33%,NaN,NaN,NaN,NaN,38.0 in,83%,122 in,65%,17 reps,70%,9.75 in,80%,32.25 in,50%
11668,Mason Rudolph,"6' 5""",80%,235 lbs,86%,4.90 sec,33%,NaN,NaN,NaN,NaN,26.0 in,9%,NaN,NaN,NaN,NaN,9.13 in,10%,32.38 in,55%
11669,Nyheim Hines,"5' 9""",20%,196 lbs,10%,4.38 sec,91%,NaN,NaN,NaN,NaN,35.5 in,65%,119 in,60%,NaN,NaN,8.88 in,25%,30.75 in,50%
11670,Trenton Thompson,"6' 3""",40%,288 lbs,9%,5.06 sec,60%,5.46 sec,0%,7.68 sec,28%,32.5 in,85%,111 in,85%,NaN,NaN,10.68 in,94%,34.00 in,70%
11671,Rasheem Green,"6' 4""",50%,279 lbs,83%,4.73 sec,72%,4.39 sec,60%,7.24 sec,37%,32.5 in,45%,118 in,70%,NaN,NaN,9.88 in,45%,33.75 in,48%
11674,Will Richardson,"6' 6""",60%,303 lbs,13%,5.22 sec,60%,NaN,NaN,NaN,NaN,31.0 in,85%,108 in,70%,NaN,NaN,9.88 in,35%,35.25 in,75%
11675,Marcell Harris,"6' 0""",35%,208 lbs,43%,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16 reps,40%,NaN,NaN,NaN,NaN
11676,Will Clapp,"6' 5""",90%,311 lbs,83%,5.39 sec,16%,NaN,NaN,NaN,NaN,29.0 in,60%,NaN,NaN,25 reps,35%,9.68 in,61%,31.25 in,9%
11677,Chase Litton,"6' 5""",80%,233 lbs,82%,4.90 sec,33%,4.53 sec,18%,7.49 sec,2%,29.5 in,30%,106 in,25%,NaN,NaN,9.38 in,30%,32.25 in,50%
11678,Eddy Wilson,"6' 3""",40%,301 lbs,35%,5.37 sec,10%,NaN,NaN,NaN,NaN,NaN,NaN,96 in,7%,26 reps,30%,9.38 in,15%,33.88 in,60%
11679,Joel Iyiegbuniwe,"6' 1""",10%,226 lbs,7%,4.60 sec,80%,4.28 sec,60%,7.06 sec,63%,35.0 in,60%,117 in,55%,19 reps,20%,10.25 in,90%,32.67 in,51%
11680,Jordan Whitehead,"5' 10""",10%,198 lbs,12%,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,21 reps,80%,NaN,NaN,NaN,NaN
11682,Tavares Martin,"6' 1""",40%,185 lbs,15%,4.80 sec,0%,NaN,NaN,NaN,NaN,31.5 in,10%,NaN,NaN,NaN,NaN,9.13 in,40%,32.13 in,45%
11683,Roquan Smith,"6' 0""",7%,230 lbs,10%,4.51 sec,92%,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.00 in,80%,32.00 in,30%
11686,Riley Ferguson,"6' 2""",30%,196 lbs,0%,4.98 sec,18%,4.40 sec,42%,6.96 sec,79%,29.0 in,25%,110 in,50%,NaN,NaN,9.68 in,52%,30.88 in,13%
11691,Quinton Flowers,"5' 10""",50%,211 lbs,43%,4.63 sec,28%,4.57 sec,6%,6.81 sec,86%,NaN,NaN,112 in,20%,NaN,NaN,9.75 in,83%,30.88 in,55%
11692,Jester Weah,"6' 3""",80%,209 lbs,63%,4.43 sec,75%,4.41 sec,14%,7.24 sec,6%,38.0 in,83%,129 in,92%,15 reps,50%,9.68 in,77%,31.13 in,20%
11693,DaeSean Hamilton,"6' 1""",40%,203 lbs,48%,NaN,NaN,4.15 sec,70%,6.84 sec,60%,34.5 in,40%,118 in,40%,NaN,NaN,9.38 in,60%,31.00 in,17%
11695,Brian Allen,"6' 2""",10%,303 lbs,50%,5.34 sec,25%,NaN,NaN,NaN,NaN,26.5 in,35%,NaN,NaN,27 reps,50%,9.25 in,0%,32.38 in,35%
11696,J.T. Barrett,"6' 2""",30%,220 lbs,37%,4.70 sec,74%,4.44 sec,34%,7.38 sec,8%,30.0 in,35%,108 in,35%,NaN,NaN,9.88 in,60%,32.00 in,40%
11701,Jason Cabinda,"6' 1""",10%,243 lbs,60%,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19 reps,20%,9.68 in,54%,32.00 in,30%
11705,Dee Delaney,"5' 11""",50%,200 lbs,82%,4.46 sec,57%,4.25 sec,28%,6.95 sec,27%,32.5 in,13%,120 in,40%,13 reps,30%,NaN,NaN,NaN,NaN
11706,Chase Edmonds,"5' 9""",20%,210 lbs,40%,4.50 sec,65%,4.07 sec,91%,6.79 sec,89%,34.0 in,40%,122 in,80%,19 reps,40%,9.13 in,40%,31.13 in,72%
11708,Brandon Facyson,"6' 2""",93%,197 lbs,70%,4.53 sec,30%,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16 reps,60%,NaN,NaN,NaN,NaN
11709,Folorunso Fatukasi,"6' 4""",60%,318 lbs,81%,5.29 sec,18%,4.53 sec,73%,7.44 sec,63%,30.0 in,60%,112 in,88%,33 reps,80%,10.25 in,70%,34.13 in,73%
11710,Tre Flowers,"6' 3""",97%,203 lbs,88%,4.45 sec,60%,NaN,NaN,NaN,NaN,34.5 in,40%,122 in,55%,18 reps,80%,NaN,NaN,NaN,NaN
11714,Grant Haley,"5' 9""",10%,190 lbs,40%,4.44 sec,65%,3.94 sec,92%,6.51 sec,98%,34.0 in,30%,119 in,35%,15 reps,50%,NaN,NaN,NaN,NaN
11718,Jaryd Jones-Smith,"6' 7""",80%,345 lbs,95%,5.27 sec,52%,NaN,NaN,NaN,NaN,27.0 in,40%,109 in,75%,16 reps,7%,10.25 in,60%,36.25 in,93%
11719,Dalton Keene,"6' 2""",10%,282 lbs,86%,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,21 reps,30%,9.75 in,30%,32.25 in,9%
11722,Avonte Maddox,"5' 9""",10%,184 lbs,15%,4.39 sec,83%,4.00 sec,86%,6.51 sec,98%,37.0 in,70%,125 in,70%,13 reps,30%,NaN,NaN,NaN,NaN
11726,K.C. McDermott,"6' 5""",20%,311 lbs,40%,5.31 sec,40%,NaN,NaN,NaN,NaN,23.5 in,10%,NaN,NaN,26 reps,55%,9.75 in,30%,32.50 in,5%
